timestamp,x,y,z
808411,-1.365,-1.295,-0.175
,-2.135,-1.12,-0.525
,-2.835,-1.12,-0.49
,-2.415,-0.91,-0.105000004
808490,-1.225,-0.595,0.175
,-0.805,-0.595,0.21000001
,-2.59,-0.945,0.14
,-3.85,-1.575,0
808569,-3.255,-1.6800001,-0.07
,-1.54,-1.295,-0.14
,-1.085,-1.05,-0.105000004
,-2.52,-1.365,-0.07
808648,-3.78,-1.715,0.035
,-2.94,-1.715,0.245
,-1.015,-1.085,0.21000001
,-0.7,-0.875,0.035
808727,-3.29,-1.505,-0.105000004
,-4.795,-1.82,-0.105000004
,-3.7450001,-1.645,-0.035
,-1.89,-0.98,-0.175
808807,-1.855,-0.595,-0.28
,-3.325,-0.805,-0.21000001
,-3.85,-0.84000003,0.105000004
,-2.59,-0.49,0.245
808886,-1.47,-0.28,0.245
,-1.96,-0.385,0.07
,-3.57,-0.7,-0.105000004
,-3.605,-0.77,-0.14
808965,-2.415,-0.455,-0.07
,-1.89,-0.665,-0.175
,-2.24,-0.595,-0.175
,-3.255,-0.875,-0.175
809044,-3.43,-0.91,-0.21000001
,-2.38,-0.665,-0.14
,-1.12,-0.35,-0.14
,-1.225,-0.525,0.035
809124,-2.345,-0.7,0.35
,-2.695,-1.015,0.49
,-2.1,-0.98,0.07
,-2.275,-1.05,-0.56
809204,-5.215,-0.63,-1.75
,-6.6150002,-1.015,-3.01
,-6.44,-1.085,-4.165
,-6.86,-1.05,-5.25
809283,-6.3,-0.56,-5.985
,-4.69,-0.63,-6.09
,-3.115,-0.735,-5.7400002
,-2.17,-0.84000003,-5.005
809362,-1.295,-0.665,-4.095
,-1.365,-0.84000003,-3.08
,-1.61,-1.05,-2.38
,-1.4,-1.085,-1.89
809442,-1.12,-0.63,-2.1
,-2.59,-0.84000003,-3.71
,-4.305,-0.98,-7.945
,-6.755,-1.855,-13.895
809521,-10.535,-3.01,-21.35
,-14.56,-3.85,-28.385
,-16.45,-5.285,-34.545002
,-16.485,-6.93,-40.74
809600,-17.815,-9.31,-47.74
,-19.81,-12.39,-55.3
,-21.945,-15.575,-63.420002
,-23.345,-17.29,-71.12
809679,-25.06,-18.55,-77.665
,-24.465,-19.845,-84.175
,-20.475,-19.355,-91.105
,-17.325,-18.69,-98.21
809758,-14.805,-17.92,-105.77
,-11.9,-17.395,-112.805
,-9.555,-16.065,-119.21
,-9.205,-14.7,-124.11
809838,-9.03,-13.93,-127.995
,-8.05,-13.93,-131.11
,-6.685,-14.175,-133.14
,-7.665,-13.755,-133.91
809917,-7.77,-12.6,-132.86
,-4.305,-11.165,-131.285
,1.295,-10.29,-130.34
,5.075,-9.94,-129.64
809997,1.785,-10.465,-129.36
,-0.735,-9.835,-128.31
,0.595,-9.59,-125.37
,4.935,-9.1,-122.115
810076,7.665,-8.19,-119.49
,7.315,-7.5950003,-118.055
,7.175,-6.09,-115.5
,6.6150002,-5.635,-111.335
810156,8.015,-5.32,-105.595
,11.585,-4.305,-99.89
,11.375,-4.655,-93.135
,12.95,-4.97,-83.93
810235,14.245,-4.48,-74.795
,12.285,-5.075,-65.590004
,8.05,-5.355,-55.195
,4.585,-4.655,-44.485
810314,3.08,-4.165,-33.74
,2.555,-3.535,-22.61
,0.245,-3.045,-12.985
,-2.205,-2.625,-4.27
810393,-3.185,-2.03,3.3600001
,-1.295,-2.03,9.135
,3.85,-1.96,13.545
,3.815,-1.4,15.365
810473,-0.49,-0.735,15.4
,-3.57,-0.385,14.245
,-3.57,-0.14,12.39
,-2.31,-0.21000001,9.94
810552,-1.295,-0.245,7.21
,-1.995,-0.42000002,4.76
,-3.01,-0.875,3.115
,-3.255,-1.4350001,1.96
810631,-2.485,-1.645,0.805
,-3.15,-2.065,-0.175
,-6.335,-2.625,-0.805
,-11.97,-2.485,-1.19
810710,-17.675,-2.24,-1.645
,-21.525,-1.61,-2.03
,-18.445,-1.155,-2.1
,-9.275,-0.56,-2.17
810790,0.35,-0.105000004,-1.61
,4.165,0.42000002,-0.63
,2.135,0.385,0.28
,-2.695,0.735,0.91
810870,-4.41,0.49,1.225
,-2.695,1.015,1.61
,-0.875,1.19,1.75
,-0.77,0.84000003,1.785
810949,-2.59,0.7,1.6800001
,-4.165,0.49,1.855
,-3.115,0.735,2.275
,-1.26,0.98,2.625
