time,phi,theta,psi
0,-0.032388147,0.030593622,5.09E-05
0,-0.067408732,0.062157104,-0.001584645
0,-0.104891816,0.093809941,-0.00067212
0,-0.142088909,0.125297794,0.00107293
0,-0.173789234,0.158448564,0.00625541
0,-0.203785571,0.191813137,0.009998423
0,-0.242088727,0.222887251,0.011210673
0,-0.284304488,0.25214213,0.014496722
0,-0.323925841,0.281156945,0.017853851
0,-0.358225013,0.310426206,0.022205345
0,-0.389213283,0.342210767,0.02134557
0,-0.425961381,0.372444119,0.024781228
0,-0.468777396,0.400428872,0.028484634
0,-0.507179046,0.429421687,0.031587577
0,-0.539151836,0.460057609,0.033947232
0,-0.569152917,0.492082363,0.035836173
0,-0.607252003,0.52302885,0.038378503
0,-0.65240086,0.551862702,0.041455633
0,-0.694402093,0.580518552,0.045950564
0,-0.728457294,0.612594971,0.046612186
0,-0.762076153,0.646296607,0.048333284
0,-0.800901404,0.679693904,0.04721347
0,-0.842686438,0.711948161,0.052362383
0,-0.880697865,0.745009565,0.054421415
0,-0.913195479,0.77974217,0.057051314
0,-0.94746967,0.814196779,0.058233324
0,-0.987282452,0.847654207,0.062369361
0,-1.029014935,0.879697731,0.06454186
0,-1.066976686,0.912373893,0.065202602
0,-1.099936539,0.946298655,0.067935844
0,-1.134843426,0.980218316,0.068986175
0,-1.173317949,1.013315357,0.070232273
0,-1.214102374,1.045094063,0.070922626
0,-1.250935007,1.077764488,0.070334388
0,-1.282638539,1.111800043,0.070692721
0,-1.314203333,1.145515349,0.07281646
0,-1.350393714,1.178451918,0.073840664
0,-1.388238494,1.209699617,0.079414187
0,-1.424261,1.24081523,0.081890233
0,-1.460400393,1.272162546,0.080410459
0,-1.508045976,1.304962043,0.076292169
0,-1.563561414,1.334384319,0.06515099
0,-1.616123386,1.365133816,0.052319313
0,-1.670118502,1.395782489,0.037596958
0,-1.72189444,1.42884981,0.015170256
0,-1.767899163,1.461140943,-0.006165338
0,-1.809453203,1.491690963,-0.026543626
0,-1.845074303,1.523503932,-0.042634327
0,-1.876620445,1.556317818,-0.053652444
0,-1.908847272,1.588181252,-0.060617196
0,-1.941510696,1.619604875,-0.064600708
0,-1.973836819,1.650666429,-0.067398286
0,-2.005379781,1.683623874,-0.075317041
