epoch (ms),time (-07:00),elapsed (s),X-Axis (g),Y-Axis (g),Z-Axis (g)
1533078186498,2018-07-31T16:03:06.498,0.000,-0.311,-0.192,0.936
1533078186498,2018-07-31T16:03:06.498,0.000,-0.315,-0.195,0.942
1533078186498,2018-07-31T16:03:06.498,0.000,-0.316,-0.192,0.941
1533078186618,2018-07-31T16:03:06.618,0.120,-0.314,-0.193,0.943
1533078186618,2018-07-31T16:03:06.618,0.120,-0.313,-0.192,0.943
1533078186618,2018-07-31T16:03:06.618,0.120,-0.314,-0.193,0.944
1533078186738,2018-07-31T16:03:06.738,0.240,-0.313,-0.190,0.946
1533078186738,2018-07-31T16:03:06.738,0.240,-0.301,-0.200,0.945
1533078186738,2018-07-31T16:03:06.738,0.240,-0.292,-0.204,0.947
1533078186859,2018-07-31T16:03:06.859,0.361,-0.341,-0.205,0.931
1533078186859,2018-07-31T16:03:06.859,0.361,-0.326,-0.197,0.932
1533078186859,2018-07-31T16:03:06.859,0.361,-0.315,-0.170,0.953
1533078186978,2018-07-31T16:03:06.978,0.480,-0.315,-0.176,0.945
1533078186978,2018-07-31T16:03:06.978,0.480,-0.318,-0.178,0.942
1533078186978,2018-07-31T16:03:06.978,0.480,-0.316,-0.186,0.943
1533078187098,2018-07-31T16:03:07.098,0.600,-0.324,-0.154,0.946
1533078187098,2018-07-31T16:03:07.098,0.600,-0.316,-0.164,0.944
1533078187098,2018-07-31T16:03:07.098,0.600,-0.317,-0.182,0.942
1533078187248,2018-07-31T16:03:07.248,0.750,-0.320,-0.172,0.945
1533078187248,2018-07-31T16:03:07.248,0.750,-0.317,-0.174,0.944
1533078187248,2018-07-31T16:03:07.248,0.750,-0.314,-0.173,0.944
1533078187368,2018-07-31T16:03:07.368,0.870,-0.317,-0.175,0.945
1533078187368,2018-07-31T16:03:07.368,0.870,-0.317,-0.176,0.944
1533078187368,2018-07-31T16:03:07.368,0.870,-0.315,-0.173,0.945
1533078187488,2018-07-31T16:03:07.488,0.990,-0.316,-0.175,0.944
1533078187488,2018-07-31T16:03:07.488,0.990,-0.318,-0.176,0.944
1533078187488,2018-07-31T16:03:07.488,0.990,-0.318,-0.174,0.944
1533078187608,2018-07-31T16:03:07.608,1.110,-0.315,-0.173,0.944
1533078187608,2018-07-31T16:03:07.608,1.110,-0.316,-0.175,0.944
1533078187608,2018-07-31T16:03:07.608,1.110,-0.319,-0.172,0.947
1533078187728,2018-07-31T16:03:07.728,1.230,-0.316,-0.177,0.944
1533078187728,2018-07-31T16:03:07.728,1.230,-0.316,-0.175,0.946
1533078187728,2018-07-31T16:03:07.728,1.230,-0.317,-0.177,0.944
1533078187848,2018-07-31T16:03:07.848,1.350,-0.316,-0.180,0.944
1533078187848,2018-07-31T16:03:07.848,1.350,-0.316,-0.175,0.946
1533078187848,2018-07-31T16:03:07.848,1.350,-0.316,-0.176,0.945
1533078187968,2018-07-31T16:03:07.968,1.470,-0.317,-0.178,0.945
1533078187968,2018-07-31T16:03:07.968,1.470,-0.317,-0.179,0.945
1533078187968,2018-07-31T16:03:07.968,1.470,-0.317,-0.179,0.945
1533078188088,2018-07-31T16:03:08.088,1.590,-0.316,-0.176,0.946
1533078188088,2018-07-31T16:03:08.088,1.590,-0.317,-0.177,0.946
1533078188088,2018-07-31T16:03:08.088,1.590,-0.317,-0.179,0.945
1533078188208,2018-07-31T16:03:08.208,1.710,-0.315,-0.176,0.945
1533078188208,2018-07-31T16:03:08.208,1.710,-0.315,-0.177,0.945
1533078188208,2018-07-31T16:03:08.208,1.710,-0.317,-0.179,0.944
1533078188328,2018-07-31T16:03:08.328,1.830,-0.316,-0.176,0.944
1533078188328,2018-07-31T16:03:08.328,1.830,-0.316,-0.176,0.946
1533078188328,2018-07-31T16:03:08.328,1.830,-0.316,-0.177,0.945
1533078188448,2018-07-31T16:03:08.448,1.950,-0.317,-0.180,0.945
1533078188448,2018-07-31T16:03:08.448,1.950,-0.319,-0.175,0.945
1533078188448,2018-07-31T16:03:08.448,1.950,-0.316,-0.175,0.945
1533078188568,2018-07-31T16:03:08.568,2.070,-0.315,-0.178,0.945
1533078188568,2018-07-31T16:03:08.568,2.070,-0.316,-0.176,0.944
1533078188568,2018-07-31T16:03:08.568,2.070,-0.316,-0.176,0.945
1533078188688,2018-07-31T16:03:08.688,2.190,-0.317,-0.176,0.944
