timestamp,x,y,z
1309074,-5.88,-1.505,0.42000002
,-5.425,-0.07,3.29
,-5.11,0.7,4.62
,-6.51,-1.61,-0.175
1309153,-5.635,-0.28,3.85
,-4.97,-0.595,3.465
,-3.99,0.35,1.33
,-3.255,1.295,4.48
1309232,-2.835,0.49,4.305
,-1.925,-0.525,2.45
,-1.015,-1.12,-0.14
,0.175,1.085,5.355
1309311,0.805,2.8,9.765
,0.945,1.505,7.455
,-0.42000002,0.665,4.34
,-2.17,0.595,0.35
1309391,-2.59,2.52,2.345
,-2.625,5.005,8.435
,-3.3600001,5.075,3.01
,-3.7450001,4.41,-4.655
1309470,-4.34,3.29,-6.58
,-5.53,3.57,-2.275
,-6.825,4.55,0.455
,-6.23,3.92,0.595
1309549,-5.285,2.835,-1.05
,-3.71,2.94,1.19
,-2.485,2.94,2.415
,0.07,3.92,5.32
1309628,0.42000002,2.695,-0.245
,-0.91,1.015,-4.48
,-0.7,1.995,0.665
,0.35,2.905,4.8650002
1309708,0.595,1.6800001,0.595
,-1.995,0.84000003,-2.205
,-4.725,0.0,-1.295
,-5.11,2.065,2.31
1309788,-5.32,1.6800001,-2.03
,-4.655,-0.21000001,-8.82
,-3.3600001,2.975,-2.52
,-2.38,5.635,1.26
1309867,0.595,7.0,5.25
,-1.715,1.26,-8.68
,-4.655,-4.9,-18.515
,-6.755,-5.775,-17.325
1309946,-10.36,-7.315,-16.485
,-11.655,-6.965,-10.99
,-12.04,-9.45,-21.0
,-14.1050005,-13.09,-34.055
1310025,-16.38,-15.015,-41.65
,-22.12,-17.64,-50.96
,-28.42,-20.65,-65.8
,-27.545,-22.54,-78.47
1310105,-23.975,-21.875,-83.965004
,-29.715,-30.59,-98.735
,-38.675,-27.93,-96.145
,-40.285,-23.73,-92.225
1310184,-34.335,-35.28,-129.29
,-26.285,-38.01,-130.9
,-26.18,-31.255001,-141.68001
,-30.275,-26.11,-134.26
1310263,-26.04,-18.935,-90.51
,-24.045,-12.565,-67.340004
,-26.95,-10.99,-92.89
,-21.91,-18.935,-130.41
1310342,-21.665,-16.66,-111.58
,-21.210001,-11.41,-99.82
,-19.53,-12.495,-109.9
,-18.27,-9.31,-79.135
1310422,-9.94,-3.115,-50.505
,-9.59,-1.015,-57.54
,-12.565,-2.1,-45.99
,-14.035,-0.875,-58.170002
1310501,-16.17,-2.415,-92.75
,-7.77,-11.165,-135.45
,1.785,-11.795,-169.295
,-0.14,-0.245,-137.69
1310581,-8.645,3.885,-68.005
,-4.97,3.955,-47.005
,-5.25,8.47,-40.04
,-13.09,11.4800005,-51.135
1310660,-11.095,4.62,-90.93
,-1.05,-0.35,-145.25
,3.3600001,3.85,-188.93001
,8.925,9.275,-188.475
1310740,1.05,19.6,-149.66
,-19.74,18.55,-60.62
,-17.78,4.305,-44.485
,-18.34,4.62,-63.84
1310819,-15.995,2.765,-61.565
,-2.835,4.165,-102.340004
,-8.61,10.955,-119.945
,-10.325,3.395,-108.325
1310898,-18.235,11.76,-111.265
,-30.1,14.77,-76.475
,-18.795,-0.945,-34.825
,-9.87,-2.135,-51.275
1310977,-5.565,6.685,-76.3
,-9.8,7.7,-98.735
,-12.145,6.79,-110.005
,-24.15,10.675,-89.075
1311056,-27.37,-5.005,-24.465
,-13.545,-8.715,-16.73
,-12.285,-3.815,-30.765
,-6.755,0.455,-38.64
1311136,-5.04,-3.71,-30.835001
,-4.585,-3.675,-39.2
,-5.81,4.06,-54.53
,-3.85,3.64,-35.84
1311215,2.555,-0.175,-21.665
,1.085,1.47,-27.51
,1.925,0.735,-19.565
,-0.875,3.71,-15.085
1311294,-4.235,0.035,8.54
,-5.32,0.49,8.26
,-4.655,2.66,-4.585
,-0.595,0.105000004,-12.81
1311374,-4.375,-0.28,-8.785
,-2.38,0.21000001,3.15
,-0.665,3.465,-2.94
,0.56,0.56,-5.11
1311454,1.925,1.785,-5.775
,-0.14,1.26,-10.36
,-2.345,0.35,-6.405
,-12.145,-1.015,15.645
1311533,-11.83,-1.96,21.315
,-13.685,-3.395,28.07
,-14.42,-1.365,38.64
,-15.365,-6.265,49.56
1311612,-21.7,-7.665,67.235
,-23.52,-9.275,90.65
,-21.035,-16.695,123.340004
,-12.425,-11.865,131.775
1311691,-3.01,-11.585,146.825
,5.95,-14.945,151.48
,12.565,-8.89,117.705
,13.965,-9.17,109.9
1311770,8.33,-5.635,123.48
,7.315,-2.73,122.535
,-1.05,-1.19,124.145004
,-1.855,2.765,96.81
1311850,-7.14,-0.735,108.85
,-7.105,2.345,108.605
,-10.15,5.635,107.695
,-9.905,7.7,123.340004
1311929,-3.43,8.925,105.175
,-1.295,5.005,95.165
,-6.755,7.245,89.6
,-8.295,11.06,92.785
1312008,-2.415,6.02,119.770004
,-3.255,10.185,114.590004
,-2.205,12.495,100.24
,-8.68,16.135,117.6
1312087,-6.3,17.08,136.815
,-0.7,12.565,117.635
,-0.315,12.005,109.725
,1.26,10.745,77.21
1312167,2.695,6.755,63.14
,3.815,8.82,68.985
,3.78,11.515,69.265
,3.535,13.265,83.615
1312247,1.4350001,15.82,88.235
,2.45,18.2,81.13
,6.37,19.425,75.075
,7.0,15.68,79.835
1312326,3.955,12.39,68.95
,5.565,11.9,74.935
,7.525,6.58,52.745
,5.285,8.295,55.545002
1312405,3.64,15.225,66.36
,5.7400002,19.39,74.27
,4.9,16.1,64.89
,3.85,11.62,47.81
1312484,3.78,8.015,34.86
,1.645,9.555,47.635
,1.015,9.45,39.62
,2.765,15.785,61.425
1312564,3.115,15.75,61.355
,3.255,12.39,45.465
,0.315,16.835001,64.645
,-1.575,14.595,57.505
1312643,-5.32,7.21,32.865
,-3.5,8.225,42.7
,-0.7,10.15,38.99
,0.595,5.565,18.655
1312722,-1.26,-3.535,-12.18
,-4.83,-5.04,-7.105
,-3.5,0.805,9.135
,-3.5,-1.89,2.1
1312801,-2.03,-1.715,0.91
,-3.43,-10.675,-26.25
,-3.92,-11.97,-28.56
,-2.45,-12.145,-27.65
1312881,-2.31,-7.35,-12.74
,-1.75,-3.325,-4.06
,-1.54,-1.61,-1.225
,-2.905,-4.235,-5.005
1312960,-3.185,-1.715,5.88
,-2.45,0.245,6.86
,-0.945,0.875,3.045
,0.14,0.77,6.195
1313040,-1.89,-1.61,-2.625
,-2.94,-3.92,-7.175
,-2.03,-1.47,1.54
