timestamp,x,y,z
800763,-0.057429794,0.07418015,10.107644
,-0.07896597,0.028714897,9.94014
,-0.12682413,0.13639577,9.844424
,0.105287954,-0.10289505,9.830067
800842,0.06460852,-0.043072347,10.0837145
,0.11485959,-0.031107806,9.798959
,-0.057429794,0.16750357,9.667349
,-0.13878867,0.15075321,9.88271
800922,-0.24646953,0.110073775,10.088501
,-0.16750357,-0.016750356,10.054999
,0.004785816,0.08135887,9.856388
,-0.06221561,0.1196454,9.9927845
801001,0.004785816,0.22014755,9.803744
,0.021536173,-0.18425392,10.11243
,-0.10050214,0.08375178,9.95689
,-0.07418015,0.11485959,9.820495
801081,-0.17707519,0.17707519,9.820495
,-0.24646953,0.21057591,9.868353
,-0.13400285,0.0,9.913818
,0.0,-0.0071787243,9.932961
801160,0.043072347,-0.12682413,9.909033
,-0.028714897,0.004785816,9.853995
,-0.16750357,0.16032484,9.796566
,-0.2584341,0.20339718,9.851603
801240,-0.11485959,-0.040679436,9.961677
,-0.11246668,-0.004785816,9.880318
,-0.13400285,0.08614469,9.837245
,-0.067001425,0.035893623,9.947319
801319,0.004785816,-0.016750356,9.94014
,0.040679436,-0.033500712,9.806137
,-0.047858164,0.019143265,9.901854
,-0.31347096,-0.06460852,10.076536
801398,0.011964541,-0.021536173,9.870746
,-0.069394335,0.08375178,10.057393
,0.09093051,-0.08614469,9.937747
,0.05025107,-0.11485959,9.796566
801477,-0.002392908,-0.16032484,9.887496
,-0.052643977,0.052643977,9.84921
,-0.08135887,0.040679436,9.978427
,-0.040679436,0.0071787243,9.794173
801557,-0.13160995,0.055036888,9.983212
,-0.14357449,-0.004785816,10.019106
,-0.14357449,0.040679436,9.978427
,0.055036888,-0.20339718,10.019106
801636,0.12203831,-0.071787246,9.777423
,-0.17468229,0.045465253,9.995177
,-0.12682413,-0.033500712,10.062179
,-0.004785816,-0.043072347,9.851603
801715,-0.031107806,-0.21536173,9.952105
,-0.16271774,0.035893623,9.818102
,-0.234505,0.105287954,9.789387
,-0.2368979,0.06221561,10.122002
801794,-0.06460852,-0.08135887,9.810924
,0.040679436,-0.25364825,10.045428
,0.07418015,-0.25125536,10.356506
,-0.16511066,-0.3326142,9.770244
801874,-0.2919348,-0.13400285,9.968855
,-0.24646953,-0.019143265,9.920997
,-0.37329367,0.107680865,9.9927845
,-0.19382556,-0.16511066,9.784601
801954,-0.16511066,-0.47618872,9.923389
,-0.24646953,-0.1483603,10.095679
,-0.14118157,-0.2368979,9.976034
,0.021536173,-0.21057591,9.916211
802033,0.09332342,-0.16750357,9.880318
,0.08614469,-0.571905,9.743921
,0.110073775,-0.48576033,9.820495
,0.11485959,-0.60540575,10.045428
802112,0.09332342,-0.6843717,10.023892
,0.13400285,-0.30868515,9.803744
,0.06221561,-0.7106937,9.873138
,0.22254045,-0.6843717,9.679314
802191,0.16750357,-1.1773108,9.880318
,0.16271774,-2.3474429,10.102858
,0.13878867,-1.0863802,9.935354
,-0.05025107,-2.1249025,9.621883
802271,0.0598227,-2.2325833,9.564454
,0.047858164,-2.4551237,9.547704
,0.07418015,-2.8930259,9.394557
,0.18186101,-3.050958,9.432844
802350,0.22971918,-3.1179593,9.2988405
,0.16750357,-2.9719918,9.200731
,0.34936458,-4.0488005,8.994942
,1.0313433,-4.50106,8.7053995
802429,0.5312256,-4.0488005,8.951869
,0.36850783,-4.300056,8.954262
,0.19143265,-4.682921,8.652756
,0.34457877,-4.656599,8.609683
802508,1.1127023,-5.75973,8.174174
,0.30868515,-5.49651,8.379964
,0.35893622,-5.8171597,8.23639
,0.66283554,-5.204575,7.9755626
802587,0.4402951,-5.704693,7.992313
,0.61497736,-6.1832747,7.6692705
,0.46901,-6.1282377,7.5950904
,0.63412064,-6.477602,7.267262
802667,0.71787244,-7.080615,7.4826236
,0.45943835,-6.9155045,6.848503
,0.43790218,-7.0949726,6.5661397
,0.18186101,-7.6716633,6.5709257
802747,0.3613291,-7.7960944,6.3866715
,0.36850783,-7.84156,6.1737027
,0.27757734,-7.8559175,5.647263
,0.21775463,-7.8774533,5.8243384
802826,0.19621846,-7.9516335,5.42233
,0.37568656,-8.190925,5.29072
,0.2967206,-8.60729,5.398401
,0.14357449,-8.695828,4.9820347
802905,0.208183,-8.741293,4.6015625
,0.24407662,-8.636005,4.6470275
,0.045465253,-8.698221,4.4412374
,-0.040679436,-9.035621,4.2665553
802985,0.3230426,-8.875296,4.034443
,0.5072965,-8.880082,4.0224786
,0.62454903,-9.181588,4.218697
,0.5934412,-9.140909,3.6755068
803064,0.62454903,-9.028442,4.1014442
,0.5910483,-8.61447,4.36945
,0.57429796,-8.72215,3.7879734
,0.7130866,-9.246197,3.6778998
803143,0.7441944,-9.317985,3.7042217
,0.9188767,-8.975799,3.799938
,0.90691215,-9.085872,3.3189635
,0.79205257,-9.040407,3.6228628
803222,0.7322299,-9.183981,3.5223608
,0.703515,-9.384986,3.2687125
,0.77290934,-9.267733,2.8714898
,0.78008807,-9.45438,2.9337053
803302,0.8231604,-9.2988405,2.940884
,0.77290934,-9.346699,3.4194658
,0.7130866,-9.39695,2.7279153
,0.5072965,-9.466345,2.627413
803381,0.5886554,-9.492666,2.3881223
,0.571905,-9.576418,2.4981961
,0.73701566,-9.54531,2.340264
,0.77290934,-9.490273,2.1751535
803460,0.75855184,-9.526167,2.060294
,0.8231604,-9.662563,1.9143264
,0.89734054,-9.765458,2.0650797
,0.6652284,-9.801352,1.509925
803540,0.8542682,-9.629062,1.6176059
,0.8159817,-9.629062,1.5841051
,1.014593,-9.5907755,1.0576653
,1.117488,-9.760673,1.0815945
803619,1.0050215,-9.739136,1.1270597
,1.0433079,-9.796566,0.80880296
,1.0313433,-9.609919,1.0122001
,1.1055236,-9.67692,0.5360114
803699,1.040915,-9.772636,0.43550926
,1.1103094,-9.885103,0.15314612
,1.1892753,-9.703242,0.13160995
,1.1916683,-9.686492,-0.067001425
803778,1.2155973,-9.712814,-0.22971918
,1.1342385,-9.779816,-0.067001425
,1.2275618,-9.753493,-0.4498667
,1.3256711,-9.7415285,-0.72744405
803857,1.3639576,-9.667349,-0.6748001
,1.14381,-9.784601,-0.63651353
,1.3137065,-9.729565,-1.1462029
,1.3232782,-9.652991,-1.1366314
803936,1.2921704,-9.655384,-1.0815945
,1.2825987,-9.552489,-1.0313433
,1.2036327,-9.648206,-1.5649619
,1.2108115,-9.664956,-1.2706342
804016,1.2108115,-9.609919,-1.4644598
,1.2347406,-9.605133,-1.6319634
,1.2634555,-9.533346,-1.6463208
,1.1677392,-9.56924,-1.7563945
804095,1.1246668,-9.588383,-1.8186102
,1.0433079,-9.530953,-1.8281817
,1.0026284,-9.813316,-1.9406484
,1.0122001,-9.516596,-2.165582
804174,0.8829831,-9.530953,-1.8521109
,0.81119585,-9.447201,-1.8042527
,0.7322299,-9.463951,-1.8521109
,0.58626246,-9.652991,-2.057901
804253,0.6484781,-9.652991,-2.2301903
,0.5886554,-9.712814,-2.0196145
,0.5288327,-9.621883,-2.0148287
,0.55036885,-9.664956,-2.2589052
804333,0.49293905,-9.636241,-2.1895108
,0.55036885,-9.559668,-2.1201165
,0.5168682,-9.432844,-1.8592896
,0.52165395,-9.399343,-2.0507221
804413,0.571905,-9.483095,-2.0267932
,0.6484781,-9.554882,-2.1368668
,0.5838696,-9.607526,-2.2541194
,0.51208234,-9.597955,-2.2277975
804492,0.6460852,-9.6912775,-2.1584032
,0.47140288,-9.43045,-2.0937946
,0.49533197,-9.509417,-2.0196145
,0.5431901,-9.511809,-2.134474
804571,0.51208234,-9.5500965,-2.1296883
,0.50968945,-9.507024,-2.2469406
,0.5336185,-9.4495945,-2.0220072
,0.51208234,-9.526167,-2.2325833
804650,0.46183127,-9.502238,-2.3546216
,0.34697166,-9.530953,-2.4886243
,0.42115182,-9.595561,-2.7997024
,0.37568656,-9.47113,-2.5436614
804730,0.30868515,-9.425665,-2.4072654
,0.2919348,-9.47113,-2.424016
,0.27039862,-9.509417,-2.5149465
,0.37329367,-9.4137,-2.3522286
804809,0.45465255,-9.401736,-2.28762
,0.5144752,-9.468738,-2.342657
,0.24407662,-9.47113,-2.4120514
,0.2632199,-9.466345,-2.5149465
804888,0.22971918,-9.530953,-2.5149465
,0.38765112,-9.425665,-2.474267
,0.43072346,-9.538132,-2.2230117
,0.2991135,-9.483095,-2.371372
804967,0.34218585,-9.485488,-2.450338
,0.22971918,-9.444808,-2.4072654
,0.28236315,-9.463951,-2.4551237
,0.30150643,-9.478309,-2.5125535
805047,0.2991135,-9.669742,-2.555626
,0.25125536,-9.353878,-2.3665862
,0.234505,-9.428058,-2.3618002
,0.208183,-9.490273,-2.3091564
805126,0.20100428,-9.466345,-2.4575167
,0.25604117,-9.523774,-2.4575167
,0.110073775,-9.4998455,-2.502982
,-0.19861138,-9.60274,-2.3235137
805206,-0.009571632,-9.389771,-2.450338
,0.07657306,-9.705635,-2.6010911
,0.24168372,-9.514202,-2.68245
,0.0071787243,-9.624276,-2.4623024
805285,-0.17468229,-9.416093,-2.0387578
,-0.15314612,-9.516596,-1.849718
,-0.0598227,-9.67692,-2.160796
,0.043072347,-9.56924,-1.8018597
805364,-0.045465253,-9.672134,-1.7133222
,-0.18186101,-9.779816,-1.4046371
,-0.3254355,-9.621883,-1.1844895
,-0.4450809,-9.777423,-0.885376
805444,-0.27518442,-9.80853,-0.9763065
,-0.28236315,-9.913818,-0.67001426
,-0.46183127,-9.839638,-0.5647263
,-0.42354473,-9.813316,-0.088537596
805523,-0.40679437,-9.782208,-0.13160995
,-0.57669085,-9.820495,0.45943835
,-0.66283554,-9.870746,0.442688
,-0.47140288,-9.7415285,0.677193
805602,-0.6101916,-9.894675,0.5431901
