timestamp,x,y,z
1645801,-0.105287954,0.052643977,-9.672134
,-0.09093051,0.026321989,-9.667349
,-0.11485959,0.035893623,-9.643419
,-0.10050214,0.023929082,-9.648206
1645880,-0.08614469,0.055036888,-9.69367
,-0.057429794,0.009571632,-9.715207
,-0.08614469,0.057429794,-9.69367
,-0.07418015,0.009571632,-9.662563
1645959,-0.11246668,0.002392908,-9.66017
,-0.09332342,0.0071787243,-9.605133
,-0.58626246,0.24886245,-9.688885
,-0.09332342,0.028714897,-9.631455
1646039,-0.10289505,0.019143265,-9.688885
,-0.11246668,0.047858164,-9.669742
,-0.21536173,0.033500712,-9.818102
,0.39004403,-0.20339718,-9.554882
1646119,4.5848117,-1.1653463,-9.451987
,-0.6652284,0.2368979,-9.652991
,0.6532639,0.39961565,-10.473759
,-1.0313433,-0.1483603,-11.335206
1646198,-0.16511066,0.93323416,-13.103564
,2.938491,1.0576653,-10.179431
,-1.0911661,-0.011964541,-9.870746
,-0.2943277,-0.28475606,-9.418487
1646277,-1.4501023,1.0600582,-10.775265
,-2.895419,0.36850783,-8.370393
,1.6487137,-0.7441944,-5.573083
,1.8473251,-0.3565433,-6.5852833
1646356,-0.30389932,-0.27279153,-8.760436
,1.0576653,-0.8279462,-6.568533
,-1.3160994,1.1270597,-14.536917
,-1.6558924,-0.7681235,-6.4153867
1646436,-1.5529974,-0.18903974,-10.648441
,0.18903974,1.2490981,-12.962383
,0.17946811,-1.1318455,-5.336185
,1.9813279,-0.5072965,-8.181353
1646515,-0.99066395,-0.057429794,-10.440258
,-1.7587874,0.17228939,-9.021263
,0.067001425,0.07657306,-9.822887
,-1.2825987,-0.1483603,-10.289505
1646594,-0.15075321,0.71787244,-14.032013
,-1.3998512,0.69633627,-9.906639
,-0.87580436,-0.4139731,-6.456066
,1.4429235,-0.6843717,-8.688649
1646673,0.25364825,0.2680057,-9.310805
,1.1031306,-0.7657306,-7.9205256
,0.0598227,0.90691215,-9.384986
,0.7154795,0.47140288,-11.359135
1646752,0.8638398,0.5599405,-10.9284115
,-0.73701566,0.55754757,-9.932961
,-2.08183,1.1725249,-13.177745
,1.6726427,0.2943277,-12.814023
1646832,-3.3213565,1.5123179,-11.433315
,-0.0071787243,0.8159817,-11.34717
,0.89734054,-0.16750357,-6.5804973
,-1.9908996,0.22014755,-8.356035
1646912,-1.6008555,0.77530223,-13.263889
,0.43072346,0.38765112,-10.263183
,0.28236315,0.2656128,-9.250982
,2.5125535,0.31347096,-10.9284115
1646991,1.9382555,1.0768087,-11.53621
