timestamp,x,y,z
1653019,-2.625,-0.7,0.21000001
,-3.29,-0.98,0.14
,-6.3,-2.695,0.14
,-3.22,-1.225,0.175
1653099,2.975,1.61,0.35
,1.225,0.21000001,0.455
,0.0,-0.735,0.49
,-0.315,-1.05,0.56
1653178,0.595,-2.03,0.7
,0.315,-2.94,0.945
,-1.82,-1.05,-1.96
,-2.975,0.07,4.025
1653257,-5.81,2.345,8.89
,-3.885,0.455,9.695
,-0.175,-1.47,1.89
,-2.765,0.175,-0.595
1653336,-6.58,0.91,7.4900002
,-6.09,-5.005,-1.82
,5.53,-4.8650002,-3.29
,1.015,-5.145,-0.525
1653416,1.6800001,-4.165,4.55
,1.575,4.97,2.38
,-0.805,0.315,4.41
,-1.89,-4.48,-5.635
1653496,0.63,2.415,-12.3550005
,0.105000004,3.5,0.77
,0.525,-4.025,1.715
,0.595,0.735,-3.885
1653575,0.77,-3.7450001,3.7450001
,-5.775,-2.8700001,-3.675
,0.7,-8.155,-5.32
,5.775,-10.255,-1.47
1653654,-1.82,-2.94,-5.81
,-1.19,-4.095,-8.155
,-5.95,-2.38,-14.7
,-4.515,5.7400002,1.925
1653734,-6.3,1.82,-3.92
,-0.455,-4.13,3.815
,-6.02,-1.82,-9.03
,-3.955,-1.505,-10.43
1653813,-5.565,4.13,-1.925
,1.295,4.515,-11.655
,0.98,-1.365,-3.045
,-3.64,-1.96,-0.14
1653892,-5.18,-3.535,-2.59
,-4.34,-6.37,1.54
,-2.66,-3.815,-5.075
,-1.4350001,8.05,-3.815
1653971,-1.645,-8.435,-8.505
,-3.815,-4.34,-17.01
,-1.54,2.8,-2.275
,-3.43,-0.595,5.005
1654050,-7.14,13.895,4.41
,-5.495,8.645,0.595
,-0.07,-3.57,-16.45
,-2.345,6.16,0.035
1654130,0.385,-3.7450001,3.99
,-2.835,-2.59,-5.04
,-0.35,-3.115,7.84
,-1.19,-7.4900002,19.145
1654209,3.5,-10.745,13.615
,0.35,-2.415,-6.09
,-3.185,2.24,-15.225
,-2.45,1.75,-0.98
1654289,1.225,0.595,-1.295
,-0.98,-0.595,-5.67
,-2.275,-1.33,-8.8550005
,-2.415,0.84000003,-16.905
1654368,-1.89,0.315,-16.625
,-6.65,10.57,-5.46
,4.41,-5.845,-1.05
,5.075,-12.25,-12.39
1654448,-2.065,0.945,-12.53
,-8.05,5.32,-5.775
,-5.95,0.105000004,-6.7200003
,-3.955,4.095,-5.915
1654527,-2.24,0.245,-10.85
,-3.15,2.555,-3.955
,-3.885,2.31,1.12
,-2.975,0.21000001,0.56
1654606,-2.555,-0.525,0.175
,-2.24,-0.63,0.42000002
,-2.065,-0.84000003,0.245
,-2.065,-1.12,0.105000004
1654685,-1.89,-1.05,-4.655
,-1.855,-0.98,-3.01
,-2.135,-0.56,-3.7450001
,-2.66,-0.07,-1.155
1654764,-2.625,-0.175,0.0
,-6.405,3.08,13.3
,-5.705,1.085,8.33
,-0.35,-3.08,1.575
1654844,-5.565,-0.35,-3.3600001
,-0.91,-0.315,2.345
,0.35,-1.89,-6.93
,-12.215,2.17,-18.13
1654923,-7.7,-0.035,-15.61
,-7.56,1.19,-15.015
,1.155,-1.6800001,-11.445
,0.56,-2.8,-8.505
1655002,-9.275,2.45,-13.405
,1.785,-1.12,-3.675
,-5.985,-1.295,3.22
,3.955,0.315,0.77
1655082,4.27,-1.61,-7.735
,-6.23,-2.975,-8.715
,-6.09,-0.56,8.575
,1.785,1.995,8.295
1655162,12.915,0.175,15.575
,-7.385,2.45,-1.19
,-3.85,0.21000001,-0.42000002
,-3.115,-0.945,-3.08
1655241,-5.915,2.065,-1.47
,-2.59,4.41,12.32
,0.49,1.4350001,-5.39
,-7.84,-0.28,-31.115
1655320,-1.05,-2.24,-37.975
,0.63,-2.835,-35.525
,-6.475,1.575,-7.175
,-7.105,1.75,0.21000001
1655399,8.05,-2.45,-6.65
,-0.84000003,-3.325,-4.235
,-9.485,-1.12,5.075
,-7.455,0.595,23.17
1655479,-3.92,-3.5,23.45
,-11.655,2.24,9.275
,-3.29,1.505,-7.0
,-6.895,-2.345,-3.71
1655558,-3.99,1.925,10.57
,-4.725,2.345,8.505
,-5.075,-1.575,9.1
,-5.565,-2.73,6.125
1655637,-9.87,2.765,-6.86
,4.41,6.3,4.69
,1.96,-1.33,5.565
,-12.145,-2.555,-13.405
1655716,-2.345,-6.44,4.165
,-8.155,-2.66,10.85
,-1.89,-0.665,9.625
,-0.315,-1.4350001,6.335
1655795,-2.555,-0.7,4.935
,9.205,-2.8,15.8550005
,2.485,-1.715,5.04
,-2.275,-0.805,0.07
1655875,-4.305,-0.56,0.105000004
,-4.095,-0.595,0.175
,-3.115,-0.875,1.82
,-2.45,-0.77,2.835
1655955,-1.855,-0.84000003,1.155
,-2.765,-0.7,0.35
,-2.485,-0.665,0.875
,-2.73,-0.805,0.595
1656034,-3.045,-0.945,0.315
,-3.115,-1.085,0.035
,-2.275,-0.7,0.21000001
,-1.575,-0.56,0.35
1656113,-1.75,-0.595,0.28
,-1.995,-0.665,0.245
,-1.785,-0.7,0.28
,-1.855,-0.7,0.28
1656193,-2.17,-0.665,0.245
,-1.995,-0.7,0.315
,-2.59,-0.84000003,0.14
,-2.205,-0.735,0.175
1656272,-2.38,-0.7,0.14
,-2.625,-0.7,0.245
,-2.275,-0.735,0.28
,-2.66,-0.805,0.21000001
