timestamp,x,y,z
465865,0.90451926,0.8829831,9.84921
,0.9499845,0.9212696,9.767851
,1.0265576,0.9571632,9.765458
,1.0074143,0.9188767,9.832459
465944,0.9834852,0.80162424,9.810924
,1.1605604,0.7226582,9.913818
,1.1414171,0.8231604,9.959284
,0.9691278,0.82076746,9.923389
466024,0.84948236,0.93562704,9.770244
,0.9021264,1.0241647,9.705635
,1.0193789,0.92366254,9.846817
,1.0313433,0.8542682,9.909033
466103,1.0815945,0.7944455,9.949712
,1.170132,0.7489802,9.973641
,1.2706342,0.77290934,9.885103
,1.1318455,0.81358874,9.818102
466182,0.9547703,0.99784267,9.638634
,0.9164838,0.96434194,9.834852
,0.96434194,0.9739136,9.875532
,0.99066395,0.93802,9.86596
466261,1.1007377,0.96194905,9.851603
,1.1103094,0.8255533,9.86596
,1.0026284,0.9404129,9.760673
,1.0576653,0.9763065,9.772636
466341,1.0026284,0.93562704,9.842031
,0.99066395,0.80880296,9.930569
,1.170132,0.7776951,9.949712
,1.2586696,0.9451987,9.894675
466420,1.1103094,0.9954498,9.69367
,0.9834852,1.0839874,9.626669
,0.9858781,1.0480938,9.913818
,1.0959519,0.8279462,10.059786
466500,1.0552725,0.9212696,9.830067
,1.0552725,1.1653463,9.681706
,0.95955616,1.251491,9.868353
,1.5075321,2.3665862,8.430215
466579,-0.37329367,0.86623275,9.26534
,-0.37568656,0.5814767,10.863803
,0.72983694,0.5934412,11.270597
,1.0528796,0.6532639,10.521617
466659,1.2275618,1.0480938,9.004513
,1.4477094,1.1485959,8.6048975
,1.0720228,1.304135,9.530953
,1.0098072,1.1653463,9.916211
466738,1.2179902,0.9164838,10.200967
,1.2562767,0.9451987,10.026285
,1.0337363,0.9858781,9.818102
,0.7776951,1.1940612,9.751101
466817,1.0792016,1.5051392,9.782208
,0.43072346,1.8353605,9.715207
,0.60540575,1.2610626,9.576418
,1.4189945,1.0217718,9.583597
466896,1.5817122,0.99784267,9.681706
,1.1007377,1.0193789,9.7917795
,0.8877689,1.1509888,9.609919
