timestamp,x,y,z
531070,-1.295,0.07,-0.665
,-0.805,-0.455,-0.56
,-1.19,-1.225,0.245
,-2.24,-1.12,0.77
531149,-3.3600001,-0.21000001,0.56
,-3.395,-0.875,0.525
,-2.135,-0.21000001,1.015
,-1.82,0.0,0.84000003
531228,-1.715,-0.42000002,0.0
,-1.645,0.56,0.035
,-2.345,-0.245,0.07
,-1.82,-1.085,0.35
531307,-1.33,0.035,1.61
,-2.555,-1.085,1.365
,-2.905,-1.05,-0.07
,-2.275,-0.385,-0.385
531387,-1.505,-0.77,0.7
,-1.05,-1.085,1.89
,-2.59,-0.455,1.61
,-2.625,-0.28,0.21000001
531466,-1.19,0.735,0.49
,0.0,-0.875,1.96
,-0.035,-1.82,2.695
,-2.415,-2.73,1.75
531545,-2.905,-1.54,0.525
,-0.42000002,-3.08,0.385
,4.2,-2.45,0.7
,6.37,0.49,1.575
531625,5.845,-0.91,1.925
,3.57,0.63,4.235
,-0.175,-1.085,4.34
,-1.855,0.63,3.955
531704,-0.665,1.225,3.99
,1.96,0.98,3.5
,3.78,0.63,2.31
,2.52,2.73,0.245
531784,1.575,3.255,-0.105000004
,1.12,2.065,1.6800001
,-1.26,1.785,2.38
,-4.025,2.31,1.365
531863,-4.97,1.995,0.035
,-3.57,0.07,-0.525
,-2.8,0.805,-0.105000004
,-1.05,1.155,-0.035
531942,0.7,1.785,-0.14
,0.49,-0.315,-1.365
,-1.015,-0.35,-1.645
,-1.785,1.155,-0.56
532021,-2.765,1.015,0.63
,-3.605,0.385,2.065
,-5.775,-0.805,3.15
,-6.7200003,-3.22,2.065
532101,-2.765,-4.025,-0.77
,4.2,-4.97,-1.89
,-7.35,-2.625,-3.5
,-10.5,0.735,-9.975
532180,-6.6150002,0.945,-5.355
,-1.6800001,-4.9,4.9
,3.885,-9.38,9.555
,-1.085,-11.025,5.705
532259,-10.36,-14.945,-2.31
,-11.69,-29.925,-4.935
,-9.485,-32.55,-1.47
,-9.03,-41.265,2.485
532338,-9.38,-48.65,2.73
,-10.15,-45.99,1.015
,-9.065,-45.465,-1.295
,-6.545,-48.265,-1.54
532417,-4.445,-58.66,0.21000001
,-7.5950003,-134.715,2.555
,-4.62,-160.965,12.495
,-2.73,-153.755,10.675
532497,-2.835,-126.21,5.11
,-1.54,-94.045,3.325
,-1.61,-70.805,1.785
,-4.55,-57.260002,-1.295
