timestamp,x,y,z
31580,-0.07,-1.12,-1.47
,-5.425,-1.47,-1.505
,-4.935,-0.245,-1.4350001
,-5.565,1.365,-0.455
31660,-6.475,1.4350001,-0.7
,-6.195,-0.385,-0.7
,0.175,2.59,1.47
,7.245,0.0,1.155
31739,3.605,-2.765,3.045
,1.155,-1.925,2.695
,-0.595,-1.225,3.08
,-4.375,-1.96,3.15
31818,-3.71,-1.96,1.89
,-0.595,-1.4350001,0.105000004
,-0.315,-1.12,-0.525
,-2.94,-0.385,-1.715
31898,-7.245,0.105000004,-1.54
,-8.8550005,0.0,-0.805
,-6.125,-0.595,-0.28
,-3.43,-1.925,0.84000003
31977,0.63,-1.05,0.595
,-2.31,-0.56,0.42000002
,-2.695,-1.155,-1.75
,-2.275,-0.98,-2.415
32056,-5.005,-0.77,-2.765
,-10.43,-1.12,-2.695
,-6.09,-1.575,-5.145
,-11.445,-0.63,-6.965
32135,-17.605,-0.945,-9.38
,-1.19,-1.19,-7.84
,5.985,-1.12,-4.375
,2.905,-0.385,-4.13
32214,4.725,0.56,-5.7400002
,1.12,0.21000001,-4.095
,-1.6800001,-1.05,-2.73
,1.61,1.4,-0.455
32294,3.045,1.26,0.56
,-5.25,-0.77,1.47
,-8.575,-2.275,1.715
,-7.91,-1.995,1.05
32374,-4.34,-2.03,0.875
,-4.69,-2.24,0.805
,-0.175,-2.24,0.49
,2.59,-1.96,0.49
32453,0.07,-2.8,0.91
,-2.695,-2.03,0.945
,-5.635,-2.24,1.6800001
,-3.045,-2.555,0.525
32532,-3.22,-2.485,0.91
,-3.5,-2.275,0.77
,-4.83,-1.995,0.385
,-6.965,-2.275,0.56
32612,-4.445,-1.47,-0.42000002
,-2.695,-0.805,0.805
,-1.61,-1.89,1.015
,-3.85,-1.75,0.385
32691,-3.78,-1.155,0.525
,2.73,-0.525,-0.07
,3.5,-0.07,-0.77
,4.725,-0.49,-1.19
32770,-1.855,-1.715,0.315
,-5.6,-1.925,0.805
,-2.345,-1.47,-0.28
,-5.88,-1.785,0.07
32849,-5.075,-1.995,-0.105000004
,0.105000004,-1.33,-1.365
,-1.89,-1.05,-1.155
,-2.975,0.805,-0.315
32928,-11.795,0.665,-2.135
,-23.765,1.295,-6.335
,-27.965,7.77,-13.335
,-32.41,12.915,-10.955
33008,-29.785,13.615,-8.575
,-17.815,13.615,-9.7300005
,-4.83,11.585,-13.125
,-10.01,6.405,-13.965
