timestamp,x,y,z
49824,-1.2108115,-0.6269419,9.906639
,-1.1868824,-0.5838696,9.684099
,-1.1844895,-0.63412064,9.789387
,-1.2275618,-0.68915755,9.897068
49903,-1.3065279,-0.5886554,9.832459
,-1.1677392,-0.78248096,9.669742
,-1.0887731,-0.61497736,9.408915
,-1.0959519,-0.8446966,9.719993
49982,-1.430959,-0.72983694,9.609919
,-1.1557746,-0.6173703,9.229446
,-1.4429235,-1.6702498,10.18661
,-1.952613,-0.9834852,11.832931
50061,-2.7135577,-0.57429796,14.063121
,-3.4003224,-0.9451987,13.579754
,-3.070101,-1.1820966,14.113372
,-2.8308103,-1.7587874,14.795351
50141,-2.443159,-3.0868514,15.218896
,-2.5460541,-2.4479449,13.780758
,-2.2517266,-3.3117847,14.905424
,-1.6008555,-4.400558,13.637183
50220,-1.117488,-4.3646646,11.1796665
,-1.6870002,-4.8887115,13.311748
,-1.1246668,-4.8528175,11.399815
,-0.73701566,-4.656599,9.669742
50299,-0.78248096,-4.5417395,10.122002
,-1.1892753,-3.567826,9.227054
,-1.0528796,-3.4577522,8.98537
,-0.69872916,-3.62047,8.765223
50378,-1.170132,-2.7757733,9.112194
,-0.9284483,-3.0677083,9.126552
,-0.208183,-3.098816,8.056922
,-0.42354473,-3.0940301,8.580969
50458,-0.16511066,-2.603484,7.7721653
,0.040679436,-1.9119335,6.9729342
,-0.110073775,-1.7563945,7.3557997
,0.2919348,-1.5936768,7.243333
50538,0.5240469,-1.665464,6.197632
,0.43072346,-1.3089207,6.513496
,0.2392908,-0.8518753,6.745608
,0.15793194,-0.46901,6.369921
50617,0.25125536,-0.7776951,6.932255
,0.07657306,-0.18186101,6.456066
,-0.49533197,0.2991135,7.78413
,-0.61497736,0.54079723,8.0617075
50696,-0.64129937,0.9475916,7.609448
,-0.4977249,0.93802,8.0641
,-0.25364825,0.89494765,7.9277043
,-0.3278284,1.304135,7.5400534
50775,-0.81119585,1.6463208,8.31057
,-1.1581675,1.3854938,9.112194
,-1.0193789,1.0839874,9.200731
,-0.8279462,0.8040171,9.669742
50855,-0.9499845,0.78487384,9.39695
,-1.1150951,0.7992313,9.794173
,-0.9547703,0.57908374,10.086107
,-0.5838696,0.42115182,9.652991
50934,-0.3278284,0.48097453,9.743921
,-0.16032484,0.39722276,9.495059
,-0.26082698,0.55036885,9.554882
,-0.2943277,0.34697166,9.830067
51013,-0.22014755,0.39722276,9.715207
,-0.2919348,0.5144752,9.86596
,-0.6484781,0.9739136,9.999963
,-0.72744405,0.67001426,10.33497
51092,-0.46422416,0.40440148,9.952105
,-0.5695121,0.30868515,10.519224
,-0.73701566,0.6269419,10.323006
,-0.72505116,0.61497736,10.358899
51172,-0.74658734,0.66283554,10.150716
,-0.416366,0.51208234,9.947319
,-0.22254045,0.5312256,9.643419
,-0.30629224,0.5288327,9.880318
51251,-0.5695121,0.6532639,10.098072
,-0.6795859,0.7992313,9.9927845
,-0.51208234,0.6795859,10.054999
,-0.31347096,0.66283554,9.638634
51331,-0.24646953,0.4785816,9.521381
,-0.6125845,0.7705164,9.889889
,-0.8901618,1.1557746,9.82528
,-0.9140909,1.0887731,10.047821
51410,-0.8255533,0.9284483,9.834852
,-0.5814767,0.6676214,10.002356
,-0.6652284,0.9140909,9.705635
,-0.64369226,1.0600582,10.016713
51489,-0.51208234,0.81119585,9.681706
,-0.4737958,0.7681235,10.054999
,-0.35415038,0.72744405,9.815709
,-0.34218585,0.7226582,9.715207
51569,-0.3254355,0.78248096,9.830067
,-0.43550926,0.8518753,9.779816
,-0.6939433,0.87580436,9.875532
,-0.571905,0.84230363,9.7917795
51648,-0.7226582,0.7968384,10.026285
,-0.7489802,1.0217718,9.775029
,-0.9188767,1.2610626,9.863567
,-0.64369226,1.0815945,9.605133
51727,-0.41875893,0.7681235,9.617098
,-0.48336744,0.82076746,9.767851
,-0.63412064,0.9763065,9.784601
,-0.677193,0.8518753,9.944926
51806,-0.43790218,0.571905,9.770244
,-0.45943835,0.7202653,9.779816
,-0.6843717,0.9691278,9.786994
,-0.9093051,1.2371335,10.004748
51886,-0.81119585,0.9475916,10.105251
,-0.6006199,0.6293348,10.074143
,-0.6580497,0.61497736,10.019106
,-0.8542682,1.0385221,9.901854
51965,-0.86623275,1.0600582,9.952105
,-0.4737958,0.57669085,9.88271
,-0.6197632,0.69872916,9.923389
,-0.7681235,1.0026284,9.976034
52044,-0.8183746,1.0504867,9.822887
,-0.5934412,0.8255533,9.801352
,-0.46183127,0.64369226,9.820495
,-0.6484781,1.1031306,9.772636
52124,-0.90451926,1.2275618,9.935354
,-0.7633377,0.9763065,9.906639
,-0.57908374,0.75376606,9.916211
,-0.5049036,0.7705164,9.863567
