epoch (ms),time (-07:00),elapsed (s),X-Axis (°/s),Y-Axis (°/s),Z-Axis (°/s)
1533078186408,2018-07-31T16:03:06.408,0.000,0.427,2.134,-0.366
1533078186408,2018-07-31T16:03:06.408,0.000,0.488,1.951,-0.244
1533078186408,2018-07-31T16:03:06.408,0.000,-1.280,1.890,-0.366
1533078186528,2018-07-31T16:03:06.528,0.120,-1.768,1.951,-0.122
1533078186528,2018-07-31T16:03:06.528,0.120,1.768,2.500,-0.732
1533078186528,2018-07-31T16:03:06.528,0.120,0.000,2.256,-0.732
1533078186678,2018-07-31T16:03:06.678,0.270,-0.427,2.195,-0.427
1533078186678,2018-07-31T16:03:06.678,0.270,-0.244,2.256,-0.488
1533078186678,2018-07-31T16:03:06.678,0.270,-0.976,2.073,-0.488
1533078186828,2018-07-31T16:03:06.828,0.420,-10.671,-0.793,1.951
1533078186828,2018-07-31T16:03:06.828,0.420,-2.683,0.732,8.171
1533078186828,2018-07-31T16:03:06.828,0.420,0.305,1.951,9.390
1533078186918,2018-07-31T16:03:06.918,0.510,9.878,4.207,-0.610
1533078186918,2018-07-31T16:03:06.918,0.510,20.366,5.854,-2.012
1533078186918,2018-07-31T16:03:06.918,0.510,0.244,2.256,-0.427
1533078187038,2018-07-31T16:03:07.038,0.630,-0.305,2.134,-0.427
1533078187038,2018-07-31T16:03:07.038,0.630,7.134,3.415,-0.854
1533078187038,2018-07-31T16:03:07.038,0.630,9.390,4.207,-3.902
1533078187158,2018-07-31T16:03:07.158,0.750,-7.683,0.854,-1.341
1533078187158,2018-07-31T16:03:07.158,0.750,-8.049,0.488,-0.305
1533078187158,2018-07-31T16:03:07.158,0.750,2.317,2.744,-0.488
1533078187278,2018-07-31T16:03:07.278,0.870,-1.402,1.951,-0.671
1533078187278,2018-07-31T16:03:07.278,0.870,-0.427,2.073,-0.488
1533078187278,2018-07-31T16:03:07.278,0.870,-0.061,2.195,-0.549
1533078187398,2018-07-31T16:03:07.398,0.990,-0.244,2.195,-0.549
1533078187398,2018-07-31T16:03:07.398,0.990,-0.122,2.195,-0.549
1533078187398,2018-07-31T16:03:07.398,0.990,-0.305,2.195,-0.488
1533078187518,2018-07-31T16:03:07.518,1.110,-0.183,2.195,-0.549
1533078187518,2018-07-31T16:03:07.518,1.110,-0.122,2.195,-0.549
1533078187518,2018-07-31T16:03:07.518,1.110,-0.183,2.195,-0.549
1533078187638,2018-07-31T16:03:07.638,1.230,-0.305,2.256,-0.549
1533078187638,2018-07-31T16:03:07.638,1.230,-0.366,2.256,-0.488
1533078187638,2018-07-31T16:03:07.638,1.230,-2.622,1.829,-0.427
1533078187758,2018-07-31T16:03:07.758,1.350,0.183,2.256,-0.488
1533078187758,2018-07-31T16:03:07.758,1.350,-1.037,2.134,-0.732
1533078187758,2018-07-31T16:03:07.758,1.350,-1.707,2.134,-0.976
1533078187878,2018-07-31T16:03:07.878,1.470,-1.159,2.195,-1.646
1533078187878,2018-07-31T16:03:07.878,1.470,-0.183,2.073,-0.610
1533078187878,2018-07-31T16:03:07.878,1.470,-0.244,2.073,-0.366
1533078187998,2018-07-31T16:03:07.998,1.590,-0.244,2.195,-0.549
1533078187998,2018-07-31T16:03:07.998,1.590,-0.122,2.134,-0.427
1533078187998,2018-07-31T16:03:07.998,1.590,0.244,2.256,-0.488
1533078188118,2018-07-31T16:03:08.118,1.710,0.183,2.317,-0.610
1533078188118,2018-07-31T16:03:08.118,1.710,0.183,2.317,-0.549
1533078188118,2018-07-31T16:03:08.118,1.710,0.244,2.317,-0.488
1533078188238,2018-07-31T16:03:08.238,1.830,-0.488,2.195,-0.427
1533078188238,2018-07-31T16:03:08.238,1.830,-0.427,2.195,-0.549
1533078188238,2018-07-31T16:03:08.238,1.830,-0.366,2.195,-0.488
1533078188358,2018-07-31T16:03:08.358,1.950,-0.183,2.256,-0.549
1533078188358,2018-07-31T16:03:08.358,1.950,0.244,2.317,-0.610
1533078188358,2018-07-31T16:03:08.358,1.950,-0.061,2.317,-0.549
1533078188508,2018-07-31T16:03:08.508,2.100,-0.732,1.890,-1.159
1533078188508,2018-07-31T16:03:08.508,2.100,-0.305,2.134,-0.610
1533078188508,2018-07-31T16:03:08.508,2.100,-0.061,2.256,-0.488
1533078188628,2018-07-31T16:03:08.628,2.220,0.183,2.317,-0.610
1533078188628,2018-07-31T16:03:08.628,2.220,-0.183,2.195,-0.610
1533078188628,2018-07-31T16:03:08.628,2.220,0.122,2.256,-0.549
1533078188748,2018-07-31T16:03:08.748,2.340,-0.122,2.195,-0.549
1533078188748,2018-07-31T16:03:08.748,2.340,-0.427,2.012,-0.488
1533078188748,2018-07-31T16:03:08.748,2.340,-0.488,2.134,-0.427
1533078188868,2018-07-31T16:03:08.868,2.460,-0.061,2.317,-0.610
1533078188868,2018-07-31T16:03:08.868,2.460,5.732,4.207,-0.854
1533078188868,2018-07-31T16:03:08.868,2.460,54.146,-5.244,5.061
1533078188988,2018-07-31T16:03:08.988,2.580,43.780,-58.659,-29.329
1533078188988,2018-07-31T16:03:08.988,2.580,32.256,-94.573,-45.610
1533078188988,2018-07-31T16:03:08.988,2.580,24.329,-93.171,-0.793
1533078189108,2018-07-31T16:03:09.108,2.700,4.878,-16.098,22.012
1533078189108,2018-07-31T16:03:09.108,2.700,-29.878,34.329,1.037
1533078189108,2018-07-31T16:03:09.108,2.700,-58.780,86.159,23.598
1533078189228,2018-07-31T16:03:09.228,2.820,33.598,-7.500,2.195
1533078189228,2018-07-31T16:03:09.228,2.820,63.841,-140.854,14.573
1533078189228,2018-07-31T16:03:09.228,2.820,36.220,-70.915,21.951
1533078189348,2018-07-31T16:03:09.348,2.940,-33.598,21.402,-23.293
1533078189348,2018-07-31T16:03:09.348,2.940,-110.061,80.305,-7.805
1533078189348,2018-07-31T16:03:09.348,2.940,-43.537,145.793,46.890
1533078189468,2018-07-31T16:03:09.468,3.060,25.488,-37.195,-16.951
1533078189468,2018-07-31T16:03:09.468,3.060,99.146,-161.646,-16.280
1533078189468,2018-07-31T16:03:09.468,3.060,96.829,-53.659,26.159
1533078189588,2018-07-31T16:03:09.588,3.180,-15.549,28.902,-4.756
1533078189588,2018-07-31T16:03:09.588,3.180,-127.988,46.037,-16.707
1533078189588,2018-07-31T16:03:09.588,3.180,-72.256,181.037,57.988
1533078189708,2018-07-31T16:03:09.708,3.300,6.890,3.841,-0.976
1533078189708,2018-07-31T16:03:09.708,3.300,40.915,-168.963,-29.390
1533078189708,2018-07-31T16:03:09.708,3.300,50.183,-105.244,16.951
1533078189828,2018-07-31T16:03:09.828,3.420,13.598,14.451,12.927
1533078189828,2018-07-31T16:03:09.828,3.420,-60.915,45.549,-9.268
1533078189828,2018-07-31T16:03:09.828,3.420,-64.268,144.024,28.354
