epoch (ms),time (-07:00),elapsed (s),Pressure (Pa)
1533078186257,2018-07-31T16:03:06.257,0.000,101561.359
1533078187279,2018-07-31T16:03:07.279,1.022,101559.594
1533078188298,2018-07-31T16:03:08.298,2.041,101563.633
1533078189318,2018-07-31T16:03:09.318,3.061,101564.156
1533078190308,2018-07-31T16:03:10.308,4.051,101559.789
1533078191328,2018-07-31T16:03:11.328,5.071,101561.422
1533078192348,2018-07-31T16:03:12.348,6.091,101564.875
1533078193368,2018-07-31T16:03:13.368,7.111,101565.328
1533078194388,2018-07-31T16:03:14.388,8.131,101565.625
1533078195378,2018-07-31T16:03:15.378,9.121,101561.781
1533078196397,2018-07-31T16:03:16.397,10.140,101564.219
1533078197418,2018-07-31T16:03:17.418,11.161,101561.070
1533078198439,2018-07-31T16:03:18.439,12.182,101560.688
1533078199458,2018-07-31T16:03:19.458,13.201,101564.445
1533078200478,2018-07-31T16:03:20.478,14.221,101566.656
1533078201468,2018-07-31T16:03:21.468,15.211,101564.594
1533078202489,2018-07-31T16:03:22.489,16.232,101563.258
