timestamp,x,y,z
238267,-9.535739,-1.6056414,2.7374868
,-9.47113,-1.6271775,2.708772
,-9.47113,-1.718108,2.759023
,-9.432844,-1.6870002,2.7877378
238345,-9.509417,-1.6846073,2.8020954
,-9.547704,-1.6032485,2.8403819
,-9.495059,-1.6582853,2.81406
,-9.459166,-1.6534995,2.8020954
238422,-9.487881,-1.6870002,2.730308
,-9.521381,-1.6750357,2.7279153
,-9.47113,-1.6870002,2.7470584
,-9.428058,-1.6367491,2.7973096
238500,-9.502238,-1.6343563,2.8762755
,-9.468738,-1.665464,2.7757733
,-9.4998455,-1.6582853,2.7973096
,-9.463951,-1.6152129,2.8044882
238578,-9.547704,-1.7372513,2.833203
,-9.509417,-1.6726427,2.7757733
,-9.435237,-1.6487137,2.7542372
,-9.523774,-1.5912839,2.81406
238656,-9.459166,-1.742037,2.7949166
,-9.461558,-1.7372513,2.7805593
,-9.523774,-1.5912839,2.8164527
,-9.526167,-1.6343563,2.8236315
238733,-9.509417,-1.7013576,2.7997024
,-9.451987,-1.691786,2.833203
,-9.502238,-1.7109293,2.7781663
,-9.526167,-1.7228938,2.7805593
238811,-9.490273,-1.6223917,2.7542372
,-9.542917,-1.6511066,2.8810613
,-9.526167,-1.7228938,2.8475606
,-9.466345,-1.8018597,2.8188457
238889,-9.514202,-1.742037,2.7470584
,-9.502238,-1.7061435,2.7733805
,-9.497452,-1.7252867,2.7685947
,-9.483095,-1.6893932,2.7422726
238966,-9.504631,-1.720501,2.7757733
,-9.480701,-1.7252867,2.759023
,-9.492666,-1.6247846,2.7446656
,-9.516596,-1.6965718,2.8188457
239044,-9.4998455,-1.6247846,2.7805593
,-9.518989,-1.6558924,2.8212388
,-9.463951,-1.7324655,2.7973096
,-9.566847,-1.7276796,2.7925239
239122,-9.516596,-1.7372513,2.7733805
,-9.487881,-1.7085364,2.7997024
,-9.526167,-1.715715,2.8475606
,-9.468738,-1.6822144,2.8451676
239200,-9.473523,-1.7396442,2.8499537
,-9.478309,-1.7994668,2.7733805
,-9.516596,-1.74443,2.7350938
,-9.547704,-1.6870002,2.7709875
239277,-9.45438,-1.6534995,2.785345
,-9.4495945,-1.6726427,2.8260245
,-9.475916,-1.715715,2.759023
,-9.521381,-1.6702498,2.7877378
239355,-9.478309,-1.7324655,2.7973096
,-9.538132,-1.7563945,2.761416
,-9.502238,-1.746823,2.8020954
,-9.440022,-1.7013576,2.7949166
239432,-9.507024,-1.665464,2.7997024
,-9.52856,-1.7803236,2.8403819
