timestamp,x,y,z
238267,-0.98,-4.935,-0.805
,-1.61,-4.76,-0.7
,-1.82,-4.375,-0.595
,-1.155,-4.025,-0.56
238345,-0.525,-3.64,-0.455
,-0.595,-3.85,-0.385
,-1.155,-3.815,-0.315
,-0.7,-3.71,-0.245
238422,-0.56,-3.955,-0.245
,-0.665,-3.5,-0.175
,-0.91,-3.29,-0.385
,-1.505,-3.815,-0.595
238500,-2.17,-3.5,-0.56
,-2.275,-3.43,-0.56
,-1.4,-3.22,-0.49
,-0.98,-3.185,-0.56
238578,-1.33,-3.395,-0.49
,-1.365,-3.535,-0.49
,-0.735,-3.22,-0.35
,-0.98,-2.765,-0.21000001
238656,-1.89,-3.08,-0.385
,-0.7,-3.535,-0.385
,0.0,-2.59,-0.245
,-0.525,-2.905,-0.105000004
238733,-0.875,-3.185,-0.14
,-1.47,-3.395,-0.105000004
,-0.805,-3.22,-0.175
,0.14,-3.29,-0.21000001
238811,0.0,-3.71,-0.28
,-1.645,-4.13,-0.245
,-2.975,-4.55,-0.385
,-2.065,-5.145,-0.63
238889,-0.245,-5.425,-1.015
,-0.14,-4.795,-1.33
,-0.595,-4.13,-1.61
,-0.525,-3.92,-1.4350001
238966,-0.525,-3.85,-1.26
,-0.56,-3.465,-1.33
,-0.665,-3.255,-1.33
,-0.595,-3.465,-1.295
239044,-0.735,-3.57,-1.295
,-1.085,-3.43,-1.12
,-0.875,-3.29,-0.735
,-0.84000003,-2.975,-0.49
239122,-0.525,-3.01,-0.455
,-0.42000002,-2.8700001,-0.42000002
,-0.385,-3.115,-0.385
,-0.175,-2.94,-0.245
239200,0.105000004,-2.8700001,-0.175
,0.07,-2.52,-0.14
,0.315,-2.555,-0.35
,0.28,-2.695,-0.525
239277,-0.455,-3.395,-0.7
,-1.225,-3.045,-0.49
,-1.645,-3.01,-0.455
,-2.17,-3.045,-0.455
239355,-1.995,-2.52,-0.595
,-1.645,-2.31,-0.42000002
,-1.015,-3.08,-0.42000002
,-1.015,-3.22,-0.455
239432,-1.96,-2.8,-0.385
,-2.45,-3.045,-0.315
,-1.4350001,-2.205,-0.105000004
,-1.225,-1.19,-0.105000004
239510,-0.805,-2.94,-0.315
,-1.085,-2.66,-0.14
,-0.7,-2.38,-0.49
,0.105000004,-1.925,-0.665
239588,-0.385,-1.995,-0.84000003
,-1.33,-1.085,-1.225
,0.56,-2.205,-0.98
,3.15,-1.61,-0.98
239666,0.245,0.28,-1.05
,-0.35,1.575,-0.455
,-2.1,2.38,-0.77
,0.77,2.94,-0.63
239744,3.115,4.62,-0.63
,3.29,2.66,-0.945
,9.1,1.295,-1.19
,11.06,2.205,-1.365
239821,12.985,3.115,-0.77
,18.62,4.375,-0.735
,22.365,6.02,-1.96
,23.345,5.635,-3.605
239899,24.605,7.0,-4.62
,22.785,8.645,-5.495
,25.69,9.94,-6.02
,30.66,9.975,-5.53
239976,32.865,10.325,-6.265
,37.45,10.325,-8.015
,41.16,11.9,-9.555
,43.505,12.3550005,-11.27
240054,46.935,11.725,-14.14
,50.575,10.85,-16.765
,50.89,10.255,-18.2
,48.93,18.06,-18.2
240132,46.795002,22.435,-18.06
,44.24,24.710001,-15.365
,38.745,26.11,-11.375
,29.82,26.74,-5.53
240209,25.655,28.595,1.47
,21.49,28.455,7.525
,13.37,23.94,12.635
,3.7450001,18.27,16.695
240287,1.575,13.545,19.460001
,2.625,8.155,19.775
,0.77,4.06,18.865
,-3.7450001,1.33,16.275
240365,-6.055,-2.135,13.335
,-6.65,-5.075,9.975
,-6.125,-7.105,6.825
,-8.155,-8.925,4.8650002
240443,-10.185,-10.185,3.255
,-8.68,-12.88,1.4
,-6.545,-12.075,-0.175
,-5.67,-9.625,-0.805
240520,-6.125,-8.715,-1.19
,-4.585,-9.415,-1.54
,-3.115,-9.345,-1.61
,-4.27,-8.61,-1.295
240598,-4.8650002,-6.755,-0.91
,-3.57,-5.88,-1.015
,-1.085,-6.195,-0.7
,-1.4350001,-5.81,-0.945
240675,-3.3600001,-6.51,-1.12
,-4.83,-6.265,-1.05
,-2.765,-4.935,-0.7
,-1.155,-5.425,-0.21000001
240753,-1.155,-4.8650002,-0.07
,-0.56,-4.795,0.07
,-1.155,-4.025,0.28
,-1.12,-4.165,0.35
240831,-0.42000002,-8.645,1.575
,-1.155,-9.275,2.24
,-2.555,-8.575,2.205
,-3.885,-8.26,1.645
240909,-5.005,-6.755,0.875
,-4.55,-5.425,0.175
,-0.595,-5.005,-0.35
,2.345,-4.62,-1.19
240987,-0.21000001,-5.005,-1.12
,-2.695,-5.11,-1.085
,-2.03,-3.7450001,-1.015
,0.525,-2.695,-1.47
241064,0.805,-2.625,-1.47
,-1.61,-3.01,-1.015
,-1.54,-3.43,-0.735
,-0.56,-3.955,-0.525
241142,-1.085,-3.7450001,-0.35
,-0.945,-3.3600001,-0.07
,-1.33,-2.975,0.42000002
,-2.24,-3.465,0.525
241219,-6.79,-5.005,1.015
,-7.98,-5.04,1.085
,-3.7450001,-4.06,1.05
,-1.155,-2.765,0.35
241297,-0.455,-2.17,-0.175
,0.28,-2.275,-0.595
,0.0,-2.73,-0.98
,-0.245,-2.555,-0.98
