timestamp,x,y,z
295982,0.09810923,-9.554882,2.2517266
,0.107680865,-9.684099,2.2062612
,0.110073775,-9.538132,2.28762
,0.11485959,-9.542917,2.3211207
296061,0.08614469,-9.52856,2.3330853
,0.105287954,-9.674527,2.2947989
,0.17228939,-9.547704,2.2828343
,0.16511066,-9.56924,2.3641932
296140,0.1196454,-9.490273,2.3211207
,0.15314612,-9.686492,2.3067634
,0.057429794,-9.6410265,2.340264
,0.045465253,-9.708028,2.3067634
296220,0.105287954,-9.664956,2.3019776
,0.11246668,-9.729565,2.316335
,0.14118157,-9.60274,2.3067634
,0.16271774,-9.581204,2.3043704
296299,0.10050214,-9.669742,2.2277975
,0.107680865,-9.583597,2.266084
,0.08135887,-9.566847,2.268477
,0.15314612,-9.607526,2.2421548
296378,0.19861138,-9.523774,2.237369
,0.12203831,-9.547704,2.2971919
,0.09093051,-9.576418,2.2947989
,0.16032484,-9.645813,2.2421548
296458,0.20100428,-9.609919,2.2469406
,0.19382556,-9.605133,2.3139422
,0.16271774,-9.643419,2.318728
,0.17946811,-9.552489,2.2230117
296538,0.18186101,-9.619491,2.2612982
,0.18186101,-9.674527,2.2565124
,0.15793194,-9.5907755,2.2732627
,0.1459674,-9.609919,2.237369
296617,0.19382556,-9.574025,2.1751535
,0.16511066,-9.4137,2.234976
,0.09810923,-9.447201,2.3474429
,0.07657306,-9.406522,2.3450499
296696,0.088537596,-9.1480875,2.3019776
,0.107680865,-9.179195,2.2206187
,0.13400285,-9.164838,2.2804415
,0.1196454,-8.714972,2.3235137
296775,0.11246668,-8.547467,2.318728
,-0.09332342,-8.226818,2.3235137
,-0.22971918,-8.260319,2.2182257
,-0.39243692,-8.521146,2.160796
296854,-0.48097453,-8.731722,2.1512244
,-0.6006199,-8.63122,2.0985804
,-0.7633377,-8.143066,1.9406484
,-1.0265576,-8.04735,1.8042527
296934,-1.1055236,-8.533111,1.8162172
,-1.2490981,-8.686256,1.8281817
,-1.6247846,-8.650363,1.5601761
,-1.9573988,-8.49961,1.483603
297013,-2.3498356,-9.274912,1.5721406
,-2.452731,-9.315591,1.5003533
,-2.7255223,-9.004513,1.7013576
,-3.1634245,-8.293819,1.5745336
297092,-3.541504,-8.578575,1.6774286
,-3.7784019,-8.994942,1.7037506
,-4.115802,-8.884868,1.6630712
,-4.338342,-8.420644,1.5314612
297171,-4.637456,-7.97317,1.4883888
,-5.022714,-8.159817,1.7851094
,-5.4271154,-8.114351,1.5027462
,-5.809981,-7.604662,1.0600582
297251,-6.276598,-7.674056,1.2084186
,-6.6594634,-7.7960944,1.2586696
,-6.987292,-7.6429486,1.3184924
,-7.260083,-7.4275866,1.1653463
297331,-7.6261983,-6.9633627,1.0026284
,-8.009064,-6.5302463,1.1557746
,-8.5546465,-6.2072034,1.3639576
,-8.966227,-5.888947,1.5147108
297410,-9.279697,-6.0038066,1.4046371
,-9.755886,-6.176096,1.8640754
,-10.4354725,-6.008592,1.7563945
,-10.43308,-6.1593456,1.1270597
297489,-10.002356,-7.181117,1.0289505
,-9.765458,-8.085636,1.5051392
,-9.47113,-7.918133,1.40703
,-9.463951,-7.1141157,1.4381378
297569,-9.456773,-6.0373073,1.5434257
,-9.363449,-5.3960075,1.5458187
,-9.375414,-5.1327877,1.6511066
,-9.334735,-4.7834234,1.823396
297648,-8.920761,-4.3838077,1.5601761
,-9.085872,-4.524989,1.3567789
,-9.093051,-4.5225964,1.5242825
,-9.394557,-3.979406,1.4477094
297727,-9.487881,-3.7018287,1.117488
,-9.490273,-3.7329366,0.9093051
,-9.45438,-3.7544727,0.9763065
,-9.428058,-3.5797906,1.0002356
297806,-9.466345,-3.2711053,0.92605543
,-9.351485,-3.3404996,0.8279462
,-9.32277,-3.2160685,0.8734115
,-9.332341,-3.0270288,0.7705164
297886,-9.26534,-3.0940301,0.8901618
,-9.227054,-2.9935281,1.1079165
,-9.401736,-2.837989,1.1079165
,-9.250982,-3.254355,1.0265576
297965,-9.270126,-3.2232473,1.4668527
,-9.633848,-2.7925239,1.6439278
,-9.648206,-2.6369848,1.1390243
,-9.52856,-2.938491,1.1007377
298044,-9.459166,-3.3668218,1.3065279
,-9.444808,-3.330928,1.277813
,-9.554882,-3.1036017,1.0959519
,-9.387379,-3.1275308,1.1844895
298124,-9.440022,-2.9121692,1.3878866
,-9.466345,-3.0318146,1.3448143
,-9.4495945,-3.204104,1.301742
,-9.382592,-3.1347096,1.3113136
298203,-9.444808,-2.8906329,1.3376356
,-9.523774,-3.0102785,1.277813
,-9.406522,-3.1275308,1.2802058
,-9.485488,-2.9863493,1.3472073
298283,-9.406522,-3.0366004,1.2155973
,-9.341913,-3.1179593,1.2132044
,-9.389771,-3.0916374,1.2562767
,-9.363449,-3.0940301,1.2299547
298362,-9.380199,-3.3189635,1.1509888
,-9.327556,-3.4529665,1.3208853
,-9.418487,-3.1825678,1.3567789
