timestamp,x,y,z
314333,-37.01077,74.42522,42.31931
,-38.301846,73.58576,42.319336
,-38.201706,70.88779,39.877804
,-36.1429,69.77281,42.3299
314411,-36.334282,70.851654,41.26075
,-37.000137,71.22761,41.051483
,-37.091724,73.36782,41.431484
,-39.120197,71.84891,40.615074
314489,-39.443478,72.419205,39.45666
,-38.050964,71.4003,40.52839
,-37.22198,69.93955,40.964825
,-36.661842,71.70084,41.133102
314566,-36.424225,70.07215,41.26336
,-38.352013,70.655136,40.398315
,-36.18354,71.36418,41.911335
,-39.616016,73.502014,38.948833
314644,-39.10518,72.892426,39.53828
,-38.392223,72.52638,41.15085
,-36.544067,72.20642,40.80138
,-41.5173,72.49066,38.08136
314721,-38.12075,71.94518,40.765633
,-37.472088,68.645546,40.036186
,-36.876335,73.0546,40.5334
,-36.270416,73.50538,42.431667
314799,-40.092567,75.43896,39.01501
,-38.39058,69.60667,40.773457
,-39.645164,72.45552,39.604637
,-38.651745,71.230385,39.94155
314876,-37.230087,71.25799,40.35748
,-37.96616,71.89895,39.214355
,-37.17104,69.39072,40.166264
,-37.96869,73.778114,41.08953
314954,-37.85267,72.68341,39.9134
,-37.74345,73.74675,41.643208
,-38.927822,76.3306,41.40824
,-37.872395,71.6389,40.84986
315032,-37.276752,71.527954,40.125275
,-36.389935,71.39951,41.91898
,-40.00526,73.57763,39.665775
,-36.46782,73.262825,41.548874
315110,-38.56016,69.09018,39.56155
,-38.383232,72.24849,40.260414
,-38.317726,71.9825,41.053936
,-39.378403,71.87334,39.07909
315188,-37.50452,73.438484,41.446774
,-36.13391,69.49492,41.43946
,-38.993008,72.35647,40.56401
,-39.502632,69.76647,38.426075
315265,-37.5996,72.37812,40.137955
,-37.95335,70.581505,39.962032
,-36.29407,68.98042,40.508217
,-36.810833,72.78861,41.326923
315343,-37.566635,72.385056,41.120266
,-35.84831,68.916695,41.475235
,-37.364624,68.108604,40.921585
,-39.10693,71.29213,38.69387
315420,-38.91544,74.733284,40.98482
,-37.028397,71.221664,40.209503
,-38.159748,70.61683,39.969677
,-37.59664,70.77882,39.433876
315498,-38.895393,71.53766,39.997654
,-36.55185,69.28472,40.143326
,-38.021816,72.4468,39.87259
,-35.86451,71.553566,40.26054
315576,-38.808838,73.6366,39.528027
,-37.32089,69.91874,38.017895
,-35.69361,73.390465,41.14576
,-38.340816,72.73821,37.683407
315654,-38.386623,73.56792,39.793396
,-37.055336,72.53614,39.040836
,-40.791073,71.56784,37.772728
,-36.117577,71.85886,40.03598
315732,-40.03395,73.29181,37.6527
,-34.73491,70.558105,39.655952
,-37.31739,73.119316,39.70671
,-37.28617,71.52597,39.844612
315809,-37.497276,71.56031,39.71193
,-35.809395,66.20584,37.20941
,-37.877537,71.35803,39.538433
,-37.60442,67.857124,38.775826
315887,-36.79756,72.231834,39.405724
,-37.93319,71.90589,40.196667
,-37.238182,72.57642,39.75013
,-37.74948,72.42535,41.829563
315964,-39.965057,71.70639,38.91324
,-39.543274,71.357834,38.00751
,-35.17292,73.06273,43.186962
,-38.833706,72.311226,39.153065
316042,-40.18251,74.659454,39.01762
,-40.21209,73.33309,38.502323
,-39.681526,73.768005,38.155308
,-36.65285,71.42295,40.242664
316120,-38.4598,75.43221,39.56362
,-39.07988,74.497665,41.08434
,-37.90964,71.91084,40.898315
,-37.376545,70.46658,38.676125
316198,-39.156986,72.881516,37.99465
,-40.392406,71.4942,37.336445
,-38.694916,74.70093,41.398163
,-38.91587,74.453415,39.813725
316276,-37.689976,71.31873,38.969467
,-37.99267,73.493286,39.216785
,-37.235226,70.97712,39.04605
,-37.36363,73.66915,40.645603
316353,-40.272457,73.87995,39.020226
,-38.009865,70.5696,38.278072
,-39.10222,71.29312,38.8342
,-38.11943,73.2656,40.438946
316431,-37.539665,71.55139,38.44896
,-37.60388,72.657,41.168724
,-38.211124,70.8858,39.597145
,-37.77653,69.21981,39.439095
316508,-38.009434,70.84948,39.44917
,-39.035824,72.06767,38.129944
,-38.900856,75.496925,38.73693
,-40.01982,73.294785,38.07369
316586,-36.288475,70.02195,39.15076
,-39.010525,73.67292,39.676003
,-37.768753,72.14151,40.097145
,-37.802933,75.33415,40.663322
316664,-34.28148,68.89607,40.059223
,-37.31696,73.39919,40.877808
,-36.628414,72.468445,39.446533
,-37.112312,71.76357,40.025753
316742,-38.022243,72.16692,38.701492
,-38.054356,72.719734,40.061375
,-37.32517,70.19762,39.04866
,-38.590492,71.724075,37.925865
316819,-38.190968,72.21019,39.83178
,-36.855858,70.13885,40.71733
,-38.493336,70.1446,40.02839
,-35.69668,70.46976,40.628036
316897,-39.374123,71.594444,38.048325
,-40.069126,70.92391,38.494858
,-37.078453,72.81105,39.51028
,-38.225685,70.60295,38.00506
316975,-37.053265,69.89629,39.834538
,-36.865597,74.377,40.487373
,-37.824837,72.409485,39.584282
,-37.52126,71.275475,37.839184
