timestamp,x,y,z
329697,-1.82,0.28,0.595
,-1.4,-0.035,0.315
,-1.995,-0.7,0.105000004
,-2.73,-1.47,0.035
329777,-2.485,-1.855,0.245
,-1.4,-1.645,0.175
,-1.295,-1.295,0.0
,-2.17,-1.365,-0.175
329856,-2.275,-1.4,-0.105000004
,-1.6800001,-1.4350001,-0.035
,-2.1,-1.575,0.07
,-3.01,-1.75,0.07
329935,-3.185,-1.6800001,0.07
,-2.835,-1.085,0.035
,-2.24,-0.315,0.455
,-1.12,0.315,1.05
330014,-1.505,0.0,1.015
,-3.15,-0.595,0.525
,-3.3600001,-1.085,-0.035
,-2.17,-1.12,-0.28
330094,-2.31,-1.4350001,-0.385
,-3.5,-1.925,-0.21000001
,-3.92,-2.345,0.07
,-3.605,-2.17,0.35
330173,-2.835,-1.4,0.245
,-2.065,-0.455,0.105000004
,-2.1,-0.21000001,0.315
,-2.38,-0.56,0.805
330252,-2.835,-1.225,1.225
,-2.73,-1.015,1.855
,-3.115,-1.47,2.345
,-3.5,-1.6800001,2.66
330332,-3.115,-1.575,3.815
,-2.205,-1.295,5.46
,-2.45,-0.77,6.7200003
,-5.635,-0.49,8.19
330411,-7.28,-0.77,10.22
,-5.495,-0.315,13.65
,-2.66,-0.07,18.34
,-2.66,0.385,24.36
330491,-4.76,0.21000001,30.485
,-5.95,-0.28,36.47
,-3.78,0.385,42.35
,-1.085,1.715,47.6
330570,-1.295,2.8,52.08
,-2.205,2.8,56.420002
,-1.715,3.395,61.845
,-1.995,4.2,66.29
330649,-4.935,4.445,68.39
,-7.14,5.075,70.21
,-8.015,5.705,73.36
,-9.87,6.335,77.105
330728,-14.63,6.86,79.1
,-15.435,6.265,79.94
,-10.535,6.79,81.585
,-8.96,7.42,85.12
330808,-13.895,7.63,89.81
,-17.64,7.98,93.975
,-13.405,9.45,97.44
,-5.25,10.85,101.08
330887,-2.66,13.335,105.175
,-8.68,12.88,108.64
,-17.815,12.53,112.42
,-18.375,12.215,116.76
330966,-9.975,12.705,122.36
,-1.54,13.895,128.1
,1.155,14.63,133.84
,1.015,15.015,139.23
331045,1.785,15.47,143.92
,2.345,14.35,147.91
,1.47,13.16,151.2
,-0.77,12.145,151.13
331125,6.09,11.62,146.16
,11.27,10.815,136.045
,14.42,7.875,122.955
,12.6,3.57,106.19
331205,12.25,-0.21000001,85.68
,8.26,-1.645,60.55
,-4.585,-4.025,34.65
,-13.02,-4.55,12.215
331284,-14.84,-3.3600001,-3.08
,-12.635,-3.535,-12.775
,-8.505,-5.18,-18.2
,-5.985,-8.085,-22.82
331363,-4.935,-8.89,-27.685
,-5.53,-9.03,-32.06
,-6.65,-9.03,-34.51
,-6.195,-10.01,-34.86
331443,-4.585,-10.15,-33.705
,-3.22,-8.785,-32.27
,-1.645,-8.505,-31.045
,-0.21000001,-7.56,-30.52
331522,2.765,-4.235,-30.03
,6.86,-2.275,-29.89
,8.8550005,-1.225,-28.455
,5.81,-2.135,-25.69
331601,-1.47,-2.38,-21.315
,-6.16,-2.695,-16.065
,-5.88,-2.38,-10.43
,-3.535,-0.875,-4.8650002
331680,-2.66,-0.665,0.105000004
,-2.8,-0.245,4.095
,-3.115,0.63,6.79
,-2.52,1.085,8.505
331759,-2.8,1.12,9.66
,-3.465,0.665,10.85
,-3.3600001,0.42000002,12.005
,-2.555,-0.525,12.81
331839,-2.66,-0.63,13.265
,-3.955,-0.98,12.845
,-5.145,-1.82,11.585
,-5.39,-1.505,10.36
331918,-5.775,-1.75,9.17
,-5.88,-1.96,8.47
,-5.67,-2.8700001,7.735
,-5.95,-3.255,6.3
331998,-7.175,-3.465,4.27
,-7.035,-2.66,2.485
,-6.755,-2.17,1.26
,-5.565,-2.45,0.455
332077,-4.725,-2.275,-0.49
,-4.55,-2.03,-2.1
,-5.04,-2.1,-3.92
,-6.37,-1.61,-4.55
332157,-5.53,-1.575,-3.465
,-4.445,-1.33,-2.03
,-4.445,-1.4350001,-1.12
,-5.705,-1.155,-0.735
332236,-5.425,-0.455,-0.77
,-5.565,0.21000001,-0.875
,-3.7450001,0.315,-0.63
,-2.695,0.35,-0.385
332315,-2.625,0.28,-0.42000002
,-2.8700001,0.455,-0.42000002
,-2.73,0.455,-0.385
,-2.24,0.245,0.035
332394,-1.19,0.21000001,0.525
,-1.4,0.42000002,0.77
,-1.89,0.245,0.945
,-2.1,0.175,0.945
