timestamp,x,y,z
329697,-20.479208,-17.511858,-5.910977
,-18.96717,-16.424885,-4.326564
,-22.201033,-17.244081,-7.954763
,-21.853313,-16.768877,-7.592483
329777,-22.08754,-16.45962,-7.2557216
,-20.584923,-15.374625,-5.951967
,-21.543274,-16.301601,-8.352843
,-20.369213,-19.927977,-6.9007535
329856,-20.308739,-15.954832,-6.1968546
,-20.234243,-16.498718,-6.293767
,-22.148766,-16.472507,-9.080012
,-20.32408,-12.758222,-5.0693564
329935,-23.221848,-15.465154,-6.7914658
,-18.03116,-18.70245,-4.175825
,-20.527515,-14.3221855,-5.765789
,-20.403822,-17.015202,-7.5056725
330014,-17.68858,-18.50811,-5.1249723
,-20.985336,-16.901278,-6.360094
,-20.628199,-16.42409,-5.717154
,-20.063774,-14.94169,-6.5796423
330094,-20.770838,-18.255041,-5.7603927
,-19.158552,-15.346035,-5.3957114
,-19.852238,-14.696158,-5.275863
,-20.948088,-17.17322,-6.4085503
330173,-20.310059,-17.275248,-5.8701677
,-19.585154,-19.518475,-5.852114
,-20.5927,-18.296322,-6.6100183
,-20.697096,-14.838671,-6.9776964
330252,-21.965487,-16.232922,-8.618211
,-19.346216,-19.826742,-6.048546
,-20.12721,-17.315536,-6.5794635
,-20.403393,-16.735329,-6.3345757
330332,-18.768984,-19.661783,-6.1633577
,-21.149776,-17.136898,-6.260575
,-20.172127,-15.445288,-5.9672594
,-19.597532,-17.92116,-5.428696
330411,-18.447344,-17.312363,-4.627551
,-22.86985,-15.26883,-7.459951
,-22.433937,-15.6144085,-7.944688
,-22.570118,-15.844082,-7.003188
330491,-23.30501,-18.883509,-5.854822
,-21.104858,-19.007147,-6.872779
,-21.289026,-20.287275,-5.8367968
,-24.889793,-17.826311,-6.497916
330570,-23.753735,-17.220488,-6.1177635
,-25.786917,-18.7404,-7.074501
,-26.242987,-19.719202,-6.8243976
,-26.6789,-19.373625,-6.33966
330649,-28.43283,-18.55304,-7.0235634
,-28.59684,-18.508787,-5.752948
,-29.670784,-18.06118,-5.806593
,-34.3375,-20.991045,-7.1358128
330728,-32.853725,-19.910015,-6.3933783
,-32.328327,-20.23676,-4.211846
,-35.8191,-20.191912,-5.8627424
,-38.5429,-18.141243,-6.1819096
330808,-37.716557,-22.242823,-5.092101
,-41.890278,-20.225697,-6.6691756
,-42.138203,-19.639542,-5.5823092
,-42.888435,-19.482359,-3.306443
330887,-45.326633,-18.00991,-3.5898376
,-45.38404,-19.062351,-3.7760153
,-48.638515,-21.966599,-4.96997
,-51.354218,-21.234362,-4.6817904
330966,-52.348846,-16.809645,-3.4702182
,-54.351135,-15.682779,-4.238348
,-57.089523,-14.395751,-2.309629
,-60.574375,-17.5495,-5.368682
331045,-60.583683,-13.03148,-4.4275403
,-62.84552,-13.681397,-2.564996
,-65.54621,-11.905644,-3.3536093
,-68.722115,-6.8725276,-4.402736
331125,-69.62616,-10.148566,-3.2951772
,-69.9889,-11.667289,-2.580666
,-71.013535,-8.848809,-3.0554843
,-74.65615,-1.5968933,-2.586674
331205,-75.10148,-1.2532978,-2.3825989
,-76.79077,-1.2584524,-4.6151714
,-78.99606,-1.4156785,-4.9086394
,-76.19131,-2.4089537,-3.7016425
331284,-78.68898,0.6508943,-4.9649215
,-77.86428,-0.5309726,-3.4977198
,-78.53956,-0.15700257,-3.9876478
,-77.15132,-0.8970132,-1.8851514
331363,-78.562675,0.11791352,-3.5181994
,-79.950485,1.1377968,-4.449601
,-77.64803,-0.28444844,-2.0536084
,-76.739395,-1.5274206,-4.2426353
331443,-78.24278,0.86704403,-2.8268034
,-76.363846,-1.3261405,-4.2094717
,-74.69044,-2.9242477,-3.2422998
,-76.11078,-1.6314311,-3.9849133
331522,-74.912285,-4.212307,-3.3289542
,-74.05669,-2.7473943,-1.673149
,-71.3149,-5.353845,-3.1348531
,-75.34392,-4.14561,-3.8749838
331601,-75.13752,-4.180941,-3.882631
,-71.368034,-6.685166,-4.351795
,-74.183525,-7.01429,-5.512768
,-72.35553,-8.658632,-6.0968695
331680,-72.07039,-9.997527,-3.3922174
,-74.08121,-7.832099,-5.938794
,-69.59319,-10.141627,-2.312867
,-72.1187,-6.8078537,-3.2470279
331759,-71.66395,-7.1494665,-3.1704464
,-72.59996,-4.8718996,-3.321183
,-75.55424,-7.590729,-6.7272553
,-75.055786,-6.6030045,-5.7143884
331839,-75.44196,-3.6066825,-4.4797254
,-73.539154,-10.035039,-5.211443
,-75.93232,-5.9128394,-4.885244
,-76.07957,-3.224782,-3.8470092
331918,-72.94428,-6.666529,-3.2164464
,-74.53246,-4.2899084,-4.326559
,-73.87602,-4.667844,-4.3979516
,-74.63949,-3.4730906,-4.0408587
331998,-75.83635,-3.8119278,-5.074209
,-76.74332,-5.007872,-7.1025505
,-75.26176,-6.287801,-4.535646
,-74.39892,-6.701067,-4.6146855
332077,-72.89202,-5.8949556,-4.3416977
,-75.282234,-3.3720539,-4.719575
,-75.898895,-5.145231,-6.5718117
,-74.76022,-2.3793721,-3.0050573
332157,-75.46212,-4.931062,-4.7143574
,-77.315414,-4.891966,-5.676312
,-75.94809,-2.9960995,-4.9288425
,-74.11835,-3.0401542,-4.6685343
332236,-75.38763,-5.4749484,-4.8112698
,-73.08211,-3.9764893,-1.8975551
,-75.54178,-5.14884,-2.088897
,-75.297676,-4.695442,-4.8138766
332315,-73.378876,-5.0005345,-3.0583959
,-74.28881,-4.597182,-4.382661
,-73.998505,-5.174414,-4.2065563
,-74.951706,-5.8205266,-5.296005
332394,-74.04342,-3.3041658,-3.5943522
,-75.625244,-3.8462677,-4.9415226
,-73.03116,-4.52533,-2.6961179
,-72.93869,-5.624996,-4.5738993
