timestamp,x,y,z
832156,-9.885103,-0.75855184,1.093559
,-9.909033,-0.8159817,1.0361292
,-9.961677,-0.7992313,1.0720228
,-9.920997,-0.7944455,1.0457008
832233,-9.861175,-0.84230363,1.0289505
,-9.870746,-0.81119585,1.0193789
,-9.887496,-0.7394086,1.0313433
,-9.913818,-0.7154795,1.0863802
832311,-9.909033,-0.6819788,1.0624512
,-9.918604,-0.78487384,1.1150951
,-9.94014,-0.83991075,1.0600582
,-9.911426,-0.8255533,1.0696299
832388,-9.897068,-0.77290934,1.1246668
,-9.901854,-0.75855184,1.0648441
,-9.887496,-0.8183746,1.1294526
,-9.885103,-0.832732,1.0720228
832466,-9.923389,-0.73701566,1.0122001
,-9.94014,-0.6795859,1.0504867
,-9.928176,-0.74658734,1.0361292
,-9.885103,-0.81119585,1.067237
832543,-9.911426,-0.8566611,1.0720228
,-9.923389,-0.8183746,1.0959519
,-9.923389,-0.7968384,1.1007377
,-9.877925,-0.8518753,1.0720228
832621,-9.856388,-0.84948236,1.1055236
,-9.885103,-0.7968384,1.0289505
,-9.858782,-0.7513731,1.0528796
,-9.863567,-0.80641,1.0911661
832699,-9.923389,-0.8829831,1.0863802
,-9.947319,-0.83751786,1.0720228
,-9.906639,-0.81358874,1.0648441
,-9.913818,-0.7968384,1.1390243
832777,-9.932961,-0.84948236,1.067237
,-9.873138,-0.8614469,1.0624512
,-9.894675,-0.84230363,1.1797037
,-9.909033,-0.8542682,1.1055236
832855,-9.842031,-0.90691215,1.0026284
,-9.870746,-0.8901618,1.0768087
,-9.909033,-0.7968384,1.1079165
,-9.932961,-0.7776951,1.0576653
832932,-9.978427,-0.859054,1.14381
,-9.954497,-0.64129937,1.1390243
,-9.976034,-0.75376606,1.0576653
,-9.899461,-0.98109233,1.0744157
833010,-9.920997,-0.9093051,1.0385221
,-9.86596,-0.8734115,1.0480938
,-9.877925,-0.8710185,1.1294526
,-9.86596,-0.9164838,1.0480938
833087,-9.899461,-1.0217718,1.0887731
,-9.863567,-1.0576653,1.0552725
,-9.82528,-0.99305683,1.0863802
,-9.913818,-0.93084127,1.14381
833165,-9.935354,-0.8040171,1.1844895
,-9.987998,-0.7130866,1.1533817
,-9.923389,-0.77530223,1.093559
,-9.894675,-0.46661708,1.1581675
833243,-10.009535,-0.2368979,1.2275618
,-9.98082,-0.5431901,1.1653463
,-10.009535,-0.72983694,1.2371335
,-9.968855,-0.8518753,1.3184924
833321,-9.837245,-0.94280577,1.2371335
,-9.901854,-0.8877689,1.3998512
,-9.961677,-0.75376606,1.3759222
,-9.930569,-0.84230363,1.3472073
833399,-9.858782,-0.98109233,1.2371335
,-9.796566,-1.0074143,1.2658484
,-9.834852,-1.0385221,1.251491
,-9.920997,-1.0026284,1.4237803
833476,-9.84921,-0.885376,1.40703
,-9.856388,-0.7346228,1.4524952
,-9.798959,-0.92605543,1.3089207
,-9.870746,-0.81358874,1.4213874
833554,-9.8922825,-0.70112205,1.4907818
,-9.846817,-0.8901618,1.3663505
,-9.779816,-0.9858781,1.2969562
,-9.918604,-0.9475916,1.3878866
833631,-10.019106,-1.2658484,1.7037506
,-9.858782,-0.9188767,1.328064
,-9.684099,-1.2897775,1.3472073
,-9.822887,-1.2395264,1.4237803
833709,-9.880318,-0.9140909,1.5673548
,-9.9927845,-1.117488,1.4692456
,-10.045428,-1.0648441,1.823396
,-10.009535,-0.94280577,1.3065279
833787,-9.868353,-1.1294526,1.3352427
,-9.82528,-1.2730271,1.4118158
,-9.928176,-1.2586696,1.5769265
,-9.851603,-1.1557746,1.5769265
833865,-9.870746,-1.1366314,1.4644598
,-9.932961,-1.2299547,1.4620669
,-9.999963,-1.3472073,1.5171037
,-9.674527,-1.5290682,1.3854938
833943,-9.731957,-1.3352427,1.2299547
,-9.923389,-1.0313433,1.5458187
,-9.621883,-1.665464,1.0983448
,-9.657777,-1.3184924,1.5027462
834020,-9.818102,-1.1749178,1.4668527
,-9.755886,-1.4812101,1.2849916
,-9.779816,-1.2802058,1.4142087
,-9.633848,-1.1150951,1.4524952
834098,-9.810924,-1.3065279,1.3519931
,-9.767851,-1.3256711,1.3472073
,-9.822887,-1.328064,1.430959
,-9.67692,-1.2730271,1.328064
834175,-9.789387,-0.9691278,1.4668527
,-9.796566,-1.1079165,1.4046371
,-9.913818,-1.0313433,1.5123179
,-9.796566,-1.14381,1.4405307
834253,-9.815709,-1.0480938,1.5745336
,-9.844424,-1.0552725,1.4213874
,-9.95689,-0.9571632,1.5003533
,-9.885103,-1.2897775,1.380708
834331,-9.822887,-1.2419193,1.4118158
,-9.767851,-1.2371335,1.3256711
,-9.746315,-1.3089207,1.3998512
,-9.80853,-1.4668527,1.2849916
834409,-9.820495,-1.2586696,1.4022441
,-9.846817,-1.1988469,1.3926725
,-9.877925,-1.2036327,1.3208853
,-9.923389,-1.1055236,1.509925
834486,-9.916211,-1.1773108,1.483603
,-9.906639,-1.2347406,1.4381378
,-9.853995,-1.1294526,1.3735292
,-9.925783,-1.0098072,1.3783151
834564,-9.751101,-1.1892753,1.3089207
,-9.937747,-1.1007377,1.3328499
,-9.839638,-1.040915,1.3400285
,-9.899461,-1.0457008,1.3950654
834642,-9.935354,-1.0983448,1.328064
,-9.806137,-1.117488,1.3448143
,-9.870746,-1.0696299,1.2969562
,-9.834852,-1.1079165,1.3208853
