timestamp,x,y,z
832156,-0.525,-3.85,-0.595
,-0.595,-3.99,-0.42000002
,-0.805,-3.675,-0.35
,-0.77,-3.64,-0.35
832233,-0.21000001,-3.57,-0.35
,0.21000001,-3.675,-0.42000002
,-0.14,-3.465,-0.49
,-0.945,-3.3600001,-0.56
832311,-1.4350001,-3.885,-0.63
,-1.715,-4.13,-0.63
,-1.785,-4.305,-0.7
,-1.19,-3.99,-0.595
832388,-0.735,-3.955,-0.455
,-1.295,-4.095,-0.49
,-1.645,-4.27,-0.455
,-1.19,-4.06,-0.665
832466,-0.385,-3.71,-0.595
,-0.77,-3.605,-0.595
,-2.345,-3.71,-0.665
,-2.73,-3.7450001,-0.735
832543,-2.31,-3.605,-0.84000003
,-1.61,-3.5,-0.735
,-1.505,-3.325,-0.455
,-1.575,-3.22,-0.42000002
832621,-1.4,-3.15,-0.665
,-0.91,-3.15,-0.7
,-0.875,-3.115,-0.63
,-1.82,-2.94,-0.525
832699,-2.415,-3.045,-0.77
,-1.4350001,-3.22,-0.665
,-0.455,-3.115,-0.595
,-1.225,-3.08,-0.49
832777,-2.17,-3.185,-0.7
,-1.47,-2.905,-0.63
,-0.42000002,-2.905,-0.455
,-0.315,-3.045,-0.28
832855,-0.665,-3.045,-0.49
,-0.525,-3.115,-0.665
,-0.315,-3.325,-0.77
,-0.91,-3.605,-0.84000003
832932,-1.925,-4.515,-1.33
,-4.445,-5.635,-1.575
,-5.81,-5.215,-1.12
,-4.69,-4.69,-0.98
833010,-3.115,-3.78,-1.015
,-2.03,-3.15,-1.225
,-1.75,-2.975,-1.155
,-1.855,-3.08,-1.19
833087,-1.6800001,-2.8700001,-1.47
,-0.98,-2.695,-1.75
,0.49,-2.555,-1.995
,1.4350001,-2.73,-2.1
833165,0.0,-4.095,-2.065
,-1.82,-5.67,-1.855
,-1.505,-6.755,-1.19
,0.175,-8.47,0.0
833243,-1.47,-8.715,2.205
,-4.515,-8.715,3.78
,-7.945,-10.115,4.27
,-9.59,-10.675,4.27
833321,-8.47,-11.55,3.7450001
,-6.79,-11.655,3.185
,-7.945,-12.425,1.995
,-9.87,-12.39,0.98
833399,-10.465,-12.215,-0.56
,-11.4800005,-11.375,-2.45
,-10.29,-10.255,-3.5
,-8.435,-9.835,-4.2
833476,-6.335,-9.59,-4.62
,-6.86,-9.415,-4.235
,-7.455,-7.875,-4.375
,-8.61,-7.385,-4.585
833554,-9.555,-6.405,-4.8650002
,-10.815,-5.425,-4.935
,-10.6050005,-4.375,-4.515
,-11.41,-3.85,-4.13
833631,-10.535,-2.45,-3.605
,-14.385,-1.855,-5.67
,-19.18,-1.855,-7.315
,-20.44,-0.42000002,-8.925
833709,-15.295,-2.135,-6.895
,-13.79,-0.875,-4.725
,-17.045,-1.365,-4.34
,-12.11,-4.2,-2.8700001
833787,-11.095,-5.7400002,-1.925
,-12.145,-5.7400002,-1.855
,-11.41,-6.545,-1.82
,-10.64,-9.835,-1.05
833865,-12.775,-9.17,-0.84000003
,-13.79,-8.575,-0.07
,-12.775,-7.63,-0.525
,-11.585,-7.875,-1.05
833943,-11.2,-8.12,-1.6800001
,-11.76,-7.735,-0.84000003
,-11.13,-7.105,-0.665
,-10.395,-5.565,-1.05
834020,-8.8550005,-3.92,0.175
,-8.26,-3.43,1.26
,-8.75,-1.645,0.735
,-7.735,-0.91,1.96
834098,-8.225,-1.54,3.43
,-8.085,-2.205,3.465
,-5.46,-2.73,2.905
,-3.22,-3.5,3.115
834175,-0.665,-2.345,4.165
,-1.085,-2.415,4.9
,-3.64,-2.66,5.04
,-3.185,-2.065,4.935
834253,-2.52,-1.575,5.32
,-2.52,-2.52,6.125
,-4.165,-2.24,5.915
,-4.06,-1.75,5.145
834331,-5.11,-1.575,3.64
,-5.075,-0.91,2.345
,-4.48,-0.875,1.505
,-2.73,-0.805,0.665
834409,-2.695,-0.735,-0.315
,-4.375,0.21000001,-1.295
,-4.97,0.21000001,-2.31
,-5.67,-1.05,-2.835
834486,-3.57,-1.855,-2.835
,-0.98,-2.31,-2.765
,0.665,-2.205,-2.45
,0.665,-2.555,-1.925
834564,0.245,-3.115,-1.715
,-0.49,-3.22,-1.33
,-0.35,-3.85,-0.7
,-0.35,-3.5,0.105000004
834642,-0.07,-3.325,0.665
,0.455,-3.57,0.91
,0.945,-3.01,1.4350001
,-0.245,-2.555,1.295
