timestamp,x,y,z
808411,-9.440022,-2.9863493,1.5984626
,-9.480701,-2.9504557,1.5027462
,-9.440022,-2.9480627,1.5194967
,-9.423272,-3.0342073,1.5290682
808490,-9.432844,-3.0102785,1.6056414
,-9.377807,-2.9025974,1.61282
,-9.459166,-2.9002047,1.6056414
,-9.45438,-3.0030997,1.6199988
808569,-9.447201,-3.0892444,1.6271775
,-9.43045,-3.0413861,1.5960697
,-9.45438,-2.9193478,1.6056414
,-9.444808,-2.8786685,1.5434257
808648,-9.43045,-3.0318146,1.5242825
,-9.401736,-3.0796728,1.6319634
,-9.39695,-3.0294216,1.6176059
,-9.451987,-2.9049904,1.5912839
808727,-9.420879,-2.8930259,1.4644598
,-9.428058,-3.0318146,1.5290682
,-9.370628,-3.0844586,1.5841051
,-9.399343,-3.0389934,1.5434257
808807,-9.442415,-2.9360983,1.4740313
,-9.411307,-2.916955,1.5410328
,-9.4137,-3.0677083,1.5721406
,-9.408915,-3.1418884,1.6104271
808886,-9.384986,-3.0270288,1.6367491
,-9.399343,-2.9935281,1.5960697
,-9.411307,-3.0078855,1.5601761
,-9.411307,-3.1275308,1.562569
808965,-9.487881,-3.098816,1.6104271
,-9.411307,-3.0078855,1.5482116
,-9.435237,-2.9839563,1.5793194
,-9.466345,-2.9624202,1.6223917
809044,-9.346699,-3.022243,1.6367491
,-9.404129,-3.0796728,1.5649619
,-9.428058,-3.0677083,1.6104271
,-9.432844,-2.94567,1.6271775
809124,-9.389771,-2.9911351,1.6295704
,-9.459166,-3.1155663,1.61282
,-9.435237,-3.1347096,1.6295704
,-9.523774,-3.1897464,1.5817122
809204,-9.52856,-3.204104,1.5338541
,-9.363449,-3.3476784,1.5841051
,-9.432844,-3.2639267,1.5697477
,-9.341913,-3.3716075,1.5936768
809283,-9.370628,-3.2854629,1.5697477
,-9.32277,-3.228033,1.5817122
,-9.358664,-3.2471762,1.6032485
,-9.32277,-3.1275308,1.6080343
809362,-9.341913,-3.0940301,1.5841051
,-9.356271,-2.9600272,1.5458187
,-9.349092,-3.048565,1.5793194
,-9.394557,-3.172996,1.6056414
809442,-9.420879,-3.35725,1.665464
,-9.428058,-3.7257578,1.7587874
,-9.564454,-4.051193,1.7922882
,-9.475916,-4.132552,1.7875023
809521,-9.492666,-4.321592,1.9095407
,-9.463951,-4.6996713,2.0866158
,-9.349092,-5.075358,2.3115492
,-9.353878,-5.312256,2.2565124
809600,-9.387379,-5.4630094,2.0148287
,-9.250982,-5.599405,1.9143264
,-9.222268,-5.865018,2.0124357
,-9.095444,-6.1043086,2.0626867
809679,-9.093051,-6.3364205,1.8353605
,-8.915976,-6.6211767,1.6343563
,-8.932726,-6.9083257,1.5817122
,-8.837009,-7.1404376,1.5338541
809758,-8.79633,-7.2959766,1.5601761
,-8.7389,-7.4898024,1.6152129
,-8.456537,-7.6573057,1.5793194
,-8.341678,-7.7123427,1.770752
809838,-8.135887,-8.056922,1.7851094
,-7.867882,-8.083243,1.6080343
,-7.4347653,-7.7673798,1.6463208
,-6.8915753,-8.009064,1.8329676
809917,-6.5972476,-8.389536,1.8951832
,-6.4153867,-8.691042,1.902362
,-6.0851655,-8.923154,1.978935
,-5.6855497,-8.525931,1.8114314
809997,-5.161503,-8.368,1.8856115
,-4.682921,-9.0475855,2.000471
,-4.3359494,-9.270126,2.0028641
,-3.8454032,-9.016478,2.0148287
810076,-3.2926416,-8.688649,2.0267932
,-2.9648132,-8.772401,1.9382555
,-2.5221252,-8.98537,1.9286839
,-1.9286839,-8.597719,2.1488314
810156,-1.2706342,-7.8272023,2.2971919
,-0.98827106,-7.9277043,2.2612982
,-0.77290934,-7.580733,2.1679747
,-0.043072347,-7.5161242,2.1296883
810235,-0.11246668,-7.3581924,2.3235137
,0.28475606,-7.0949726,2.4670882
,0.7346228,-6.5422106,2.5077677
,0.9786994,-6.7336435,2.3474429
810314,1.067237,-7.061472,2.4048727
,1.1462029,-7.0782223,2.4981961
,1.2323477,-7.2146177,2.579555
,1.3160994,-7.604662,2.495803
810393,1.2945633,-8.138281,2.60827
,1.0576653,-8.7053995,2.7685947
,1.2586696,-9.011692,2.7159507
,1.170132,-8.947083,2.6537352
810473,1.1916683,-9.277305,2.6178415
,0.99066395,-10.045428,2.6369848
,1.0887731,-10.315826,2.6680925
,1.117488,-10.107644,2.6680925
810552,1.3184924,-9.729565,2.6154485
,1.2849916,-9.858782,2.6968074
,1.328064,-9.803744,2.7350938
,1.2634555,-9.69367,2.8164527
810631,1.328064,-9.509417,2.6920216
,1.301742,-9.432844,2.6848428
,1.2969562,-9.32277,2.7135577
,1.2036327,-9.344306,2.6465564
810710,1.1557746,-9.511809,2.5843408
,1.1940612,-9.5907755,2.5388756
,1.1246668,-9.636241,2.4694812
,1.1485959,-9.624276,2.3522286
810790,1.0887731,-9.337128,2.3881223
,1.0959519,-9.246197,2.4886243
,0.9499845,-9.227054,2.5460541
,0.911698,-9.33952,2.502982
810870,1.0169859,-9.497452,2.4646955
,1.0815945,-9.614705,2.4120514
,1.0026284,-9.58599,2.450338
,1.0983448,-9.325163,2.502982
810949,1.0337363,-9.423272,2.553233
,1.1868824,-9.392164,2.5197322
,1.1390243,-9.47113,2.5412683
,1.1462029,-9.4495945,2.4096584
