timestamp,x,y,z
73550,-39.161697,72.88052,37.85432
,-37.703217,72.35631,37.050694
,-38.410603,73.28309,37.92065
,-37.81749,75.05131,39.07124
73627,-38.083046,72.433914,38.048298
,-37.537487,73.43155,40.464462
,-36.904594,73.04865,39.69142
,-36.68757,69.81572,38.415947
73705,-36.795033,70.35266,37.53055
,-36.38773,73.76047,40.09451
,-37.648453,70.767914,37.890247
,-37.37523,71.78701,38.349438
73783,-37.533638,72.872795,38.2626
,-39.795017,72.98354,37.45627
,-37.135864,71.75861,39.324104
,-37.02751,72.262215,38.71172
73861,-38.716797,72.25706,36.47915
,-38.11262,71.107544,37.533005
,-28.479042,5.4713554,26.95487
,-36.356052,72.927795,37.563534
73939,-37.34522,73.39324,40.035828
,-37.77225,68.940926,38.40833
,-36.963753,70.39592,38.660835
,-38.159286,71.3775,37.3008
74016,-38.75875,72.52801,36.38727
,-38.533516,72.49664,36.94095
,-36.552597,73.24498,39.022934
,-36.95258,71.9982,39.785904
74094,-39.378723,76.11346,39.129795
,-37.255703,73.892876,38.86212
,-38.74758,74.13028,37.51234
,-37.692047,73.95858,38.175762
74171,-36.72646,73.00738,38.841797
,-36.99497,71.98928,38.522934
,-37.459145,72.32891,38.165688
,-37.350792,72.832504,37.553307
74249,-37.14353,73.35692,39.88785
,-37.910934,71.07122,37.38503
,-38.89921,72.57722,38.35954
,-37.591473,71.54048,36.905327
74327,-37.78035,70.25936,37.80098
,-37.63771,72.09032,37.84422
,-38.118973,74.02627,37.770065
,-39.550053,73.99669,37.07348
74405,-37.123375,74.6813,40.122486
,-36.81979,73.547295,38.377388
,-36.189972,70.24369,37.08662
,-36.327362,73.213615,39.57661
74482,-39.663544,73.21223,36.374435
,-37.02576,73.862495,39.556126
,-35.70653,70.187904,39.17628
,-36.99936,67.74815,38.331898
74560,-37.14703,70.15634,38.199036
,-38.82208,74.674164,37.609253
,-38.1113,72.42796,37.206318
,-36.291866,71.341385,38.683743
74638,-36.657562,71.42196,40.102337
,-37.92845,72.38767,36.49702
,-36.241806,69.75199,39.382965
,-38.00766,72.93057,36.4536
74715,-36.812122,71.94899,37.813637
,-37.94818,71.34316,37.433483
,-37.29777,69.64382,37.548447
,-37.517437,70.23592,39.477295
74793,-36.5916,71.91663,38.226982
,-36.5916,71.91663,38.226982
,-37.243755,72.015686,37.26761
,-36.078228,69.427864,36.941254
74871,-35.87436,71.27171,38.808784
,-36.35355,70.56782,39.52833
,-36.603195,70.034485,35.930817
,-37.52037,72.316025,36.3414
74949,-35.216713,67.69418,37.1889
,-35.99124,71.80667,37.642723
,-35.51426,70.1496,38.747643
,-35.27697,72.76105,38.928604
75026,-37.240364,70.69626,37.734627
,-35.824623,73.922455,39.55871
,-38.119858,72.985725,39.26785
,-35.472305,69.87865,38.83952
75104,-36.65885,70.58234,36.589046
,-36.372818,70.28398,37.795918
,-34.72888,71.87952,39.469597
,-35.995525,72.085556,38.67349
75182,-36.49869,71.09683,37.520294
,-35.670925,72.83568,39.50522
,-39.346294,71.32052,37.719208
,-36.490593,69.778404,38.12764
75259,-38.46758,72.51052,38.905567
,-37.048096,70.65795,37.30599
,-38.950592,72.84618,37.987003
,-36.379627,72.44204,40.70186
75337,-36.4837,71.65956,40.283478
,-37.567493,71.82531,38.778072
,-37.862946,72.12168,37.290546
,-36.04144,68.395256,39.56168
75415,-36.66916,69.53981,37.80617
,-37.851025,69.763695,39.536007
,-37.558075,71.82729,39.058735
,-36.230637,71.35427,40.508034
75493,-37.262623,71.53093,40.546265
,-37.408657,71.019394,40.036007
,-37.065643,71.493614,40.257957
,-37.261303,72.85134,40.219578
75570,-37.489178,70.24187,40.319275
,-37.62579,69.73232,40.08968
,-36.98983,72.27014,39.83436
,-37.431774,71.29431,40.505455
75648,-39.12787,73.44721,41.178825
,-38.802055,70.99774,40.462063
,-36.51285,70.61307,40.939278
,-37.659966,72.92498,40.655857
75725,-37.29045,71.80485,40.875378
,-39.144176,71.56407,38.74233
,-37.552505,72.38803,41.541256
,-38.42137,71.47989,41.806652
75803,-35.49709,72.59248,43.526333
,-37.344036,69.71285,42.327316
,-38.191853,71.16964,41.32956
,-36.887962,70.69166,42.077213
75881,-37.96191,71.13927,42.023563
,-38.20259,69.847244,41.375587
,-35.98481,72.927155,42.467438
,-36.675537,71.97774,41.88321
75958,-36.473423,72.22129,42.90633
,-38.803375,69.67733,40.78875
,-38.30064,70.38617,40.770847
,-40.0434,72.80904,41.212013
76036,-39.21649,73.98812,40.854744
,-38.685497,74.70291,41.678825
,-38.995533,74.235634,42.439186
,-37.92641,69.26704,41.1307
76114,-38.993008,72.35647,40.56401
,-37.33669,72.35468,41.81427
,-36.687595,69.33492,42.255924
,-36.188705,70.602516,44.439884
76192,-39.110348,72.13076,42.06683
,-35.51001,69.389915,41.556854
,-36.4285,70.351036,42.294125
,-39.23194,72.664734,40.76044
76269,-37.744343,72.70621,43.140987
,-35.7082,72.62682,43.393646
,-39.55436,73.79477,41.94422
,-37.97208,75.09754,40.622513
76347,-38.294178,71.98746,41.75559
,-39.329556,73.483536,41.3268
,-37.77774,72.419395,40.987583
,-37.002666,73.10679,42.92666
76424,-37.45314,73.16952,41.81931
,-39.475586,72.97201,40.816544
,-38.40417,74.40357,42.745365
,-39.490925,76.16862,41.944042
