timestamp,x,y,z
88929,-3.01,-0.84000003,0.21000001
,-5.46,-1.05,0.175
,-6.09,-1.225,0.245
,-4.13,-0.875,0.49
89008,-1.61,0.07,0.91
,-2.135,0.42000002,0.91
,-3.955,0.315,0.595
,-4.235,-0.35,0.385
89087,-2.695,-0.84000003,0.315
,-1.785,-0.42000002,0.105000004
,-2.31,-0.14,0.035
,-2.66,-0.735,0.385
89166,-2.275,-1.61,0.56
,-1.47,-2.065,0.56
,-2.31,-1.89,0.455
,-3.7450001,-1.925,0.63
89246,-3.99,-2.17,1.12
,-2.8700001,-2.135,1.575
,-2.03,-1.575,1.645
,-2.94,-1.61,1.715
89326,-5.25,-1.89,1.225
,-4.725,-0.525,1.05
,-2.03,1.26,0.7
,-0.665,1.925,0.0
89405,-2.345,1.225,-0.595
,-3.115,0.91,-0.875
,-0.56,0.665,-0.63
,3.115,0.63,-0.07
89484,4.34,-0.175,0.175
,2.45,-1.47,-0.07
,-0.21000001,-2.73,-0.98
,-0.49,-2.94,-2.24
89564,0.385,-1.89,-3.465
,-0.56,-0.665,-4.445
,-4.2,-0.56,-4.76
,-6.755,-1.085,-4.655
89643,-5.845,-1.4,-4.235
,-4.305,-0.63,-3.7450001
,-5.46,-0.42000002,-3.22
,-8.225,-0.14,-2.625
89722,-8.89,0.175,-2.1
,-8.26,0.35,-1.925
,-7.315,0.525,-1.05
,-7.0,0.42000002,-0.105000004
89801,-5.88,0.49,0.14
,-4.305,0.91,-0.105000004
,-3.3600001,1.19,-0.42000002
,-3.255,1.015,-0.77
89881,-3.675,0.98,-1.365
,-3.57,0.56,-1.995
,-4.165,0.105000004,-3.22
,-6.055,-0.7,-4.83
89960,-7.5950003,-0.42000002,-6.405
,-7.77,-0.175,-7.91
,-6.475,-0.07,-9.38
,-6.475,0.07,-11.655
90040,-9.1,-3.22,-14.0
,-8.575,-6.265,-15.8550005
,-10.5,-6.58,-20.545
,-9.31,-3.535,-24.85
90119,-7.84,-2.205,-29.26
,-7.735,-0.07,-33.425
,-8.82,2.695,-36.715
,-13.72,4.305,-39.27
90198,-15.645,3.85,-42.315
,-8.505,5.39,-45.885
,5.7400002,7.945,-51.59
,3.325,10.78,-60.865
90278,-9.625,13.965,-68.74
,-15.190001,14.665,-73.815
,-0.595,13.755,-75.39
,18.305,14.875,-77.77
90357,23.835001,16.59,-82.565
,24.045,16.24,-86.45
,27.44,15.015,-88.55
,33.95,13.09,-89.11
90436,49.455,11.375,-88.48
,44.765,8.68,-90.79
,26.565,7.63,-94.92
,11.9,7.0,-98.035
90515,7.5950003,7.5950003,-98.63
,13.335,8.12,-98.105
,24.955,9.135,-99.295
,33.355,9.415,-102.165
90595,34.44,8.33,-105.21
,31.64,7.4900002,-106.365
,30.17,7.5950003,-105.63
,26.075,6.65,-104.86
90674,20.58,5.985,-105.105
,19.355,6.125,-105.105
,20.475,6.195,-103.6
,15.96,5.6,-100.8
90753,9.94,6.09,-98.245
,8.47,5.845,-97.51
,13.51,5.635,-97.86
,20.16,5.7400002,-98.56
90833,24.64,5.6,-98.035
,28.42,5.39,-97.055
,32.445,3.71,-96.25
,39.83,3.85,-94.185
90913,47.495,2.17,-90.055
,49.385,0.735,-85.19
,36.645,0.14,-81.235
,17.99,-1.05,-77.49
90992,3.08,0.385,-73.815
,-0.21000001,0.525,-68.74
,5.775,1.785,-60.865
,12.005,1.12,-51.695
91071,12.145,-0.07,-41.965
,8.435,-0.735,-32.9
,2.03,-0.455,-24.85
,-3.08,0.07,-16.8
91150,-3.71,0.63,-7.875
,-0.945,0.98,0.84000003
,1.4,1.4,7.28
,-3.255,1.12,9.905
91230,-7.21,1.4,9.8
,-8.645,2.065,8.19
,-6.545,1.645,6.7200003
,-1.6800001,2.03,5.915
91309,-1.47,1.925,4.025
,-4.095,2.1,2.31
,-5.46,1.4350001,0.525
,-4.095,1.05,-0.42000002
91388,-2.415,0.595,-0.49
,-2.275,0.21000001,-0.14
,-3.29,0.42000002,0.35
,-3.7450001,0.105000004,0.56
91467,-3.08,0.385,0.525
,-1.33,0.595,0.35
,-0.7,1.05,0.49
,-1.365,1.295,0.56
91546,-1.89,0.98,0.42000002
,-2.1,1.6800001,0.14
,-1.4350001,3.185,0.07
,-0.735,4.935,0.455
91626,-0.385,5.53,0.77
,-1.295,5.53,1.12
,-4.235,4.34,1.015
,-9.415,3.955,0.42000002
91706,-11.445,4.795,-0.035
,-8.575,5.635,-0.105000004
,-3.535,5.7400002,0.28
,0.105000004,5.11,1.05
91785,-0.49,3.92,1.47
,-3.045,3.255,2.065
,-3.5,2.695,2.66
,-2.835,1.6800001,4.13
91864,-1.05,0.315,6.335
,-1.295,-1.085,8.225
,-2.835,-1.715,9.205
,-3.57,-1.89,8.96
91944,-2.31,-0.7,7.735
,0.525,0.175,5.705
,1.995,0.735,3.64
,0.805,0.665,2.1
92023,-1.015,0.28,1.4
,-1.855,-0.105000004,0.735
,-1.12,-0.665,0.07
,0.245,-0.77,-0.42000002
92102,-0.7,-1.12,-0.35
,-3.045,-1.015,0.525
,-3.3600001,-0.875,1.155
,-2.03,-0.175,1.225
92181,-1.785,0.525,0.84000003
,-2.765,0.665,0.875
,-3.22,0.91,1.295
,-3.185,0.77,1.89
