timestamp,x,y,z
88929,-77.10635,0.7911466,6.4043956
,-79.52735,5.1872716,7.0597124
,-76.583916,2.063701,9.290011
,-78.52495,3.684252,6.506192
89008,-79.36509,3.5427299,4.9446883
,-76.82285,2.3719654,9.48644
,-76.92254,5.8306074,9.259093
,-77.2583,3.4782135,7.3023005
89087,-78.36653,2.5984652,6.5930276
,-78.44706,1.8209429,6.876298
,-75.63375,0.26990438,6.021762
,-78.0312,4.670986,7.3787293
89166,-79.25338,2.2461061,8.639298
,-77.17692,4.815482,9.361223
,-78.42219,3.1463158,7.25126
,-76.54371,0.19246124,8.537474
89246,-77.92637,1.4932084,8.9175005
,-77.9795,0.16188769,7.700558
,-79.06065,2.968471,5.541783
,-76.788994,3.4194474,8.970966
89326,-80.40903,5.596573,6.5774317
,-75.21834,2.3592775,9.19307
,-79.31286,3.833507,7.659414
,-77.510506,4.3432508,9.419931
89405,-80.74569,2.203637,6.1184187
,-75.76775,1.9203941,8.978766
,-76.19938,1.987091,8.432736
,-79.182274,3.0216458,8.075368
89484,-79.348785,5.4258657,7.3811836
,-80.22618,5.556285,5.8681345
,-79.56974,5.1783495,5.796742
,-77.40872,-1.274434,6.601008
89564,-77.894264,0.9404014,7.557621
,-77.82612,3.3152387,7.69777
,-78.62092,1.5833405,6.695157
,-76.29832,1.485476,9.325782
89643,-79.390854,1.1768143,6.0675097
,-73.840385,1.057538,8.672713
,-78.21241,1.7915598,7.7106314
,-78.02956,1.7512722,7.0013375
89722,-78.5725,2.91367,7.7717695
,-80.941345,3.5613668,6.0800376
,-78.826,2.9390879,6.3761163
,-79.17757,3.0226371,8.215697
89801,-77.4211,0.322881,7.024428
,-78.281296,3.376979,6.4500904
,-78.33828,2.604413,7.4350076
,-76.31497,3.3616724,10.779966
89881,-78.930855,5.636068,8.677318
,-78.44531,3.4212317,7.7207084
,-75.62347,0.83163327,8.644615
,-78.78996,5.8667316,7.876148
89960,-78.59134,2.909705,7.210449
,-79.201546,2.737807,6.3429527
,-79.57666,2.8163996,7.4808836
,-77.91607,2.5357337,7.700377
90040,-75.924515,0.086468056,8.514539
,-75.93558,3.0041983,8.611271
,-79.07906,3.2443783,6.1515574
,-78.11479,0.97275853,7.144274
90119,-77.95199,4.1280923,7.422147
,-76.95343,3.1838276,9.07049
,-77.88659,-0.6579049,6.993871
,-74.88311,-0.08820464,8.75697
90198,-76.38102,-1.172208,7.593544
,-75.06421,1.5523719,10.310675
,-73.847305,-1.3044122,10.356855
,-75.2775,-0.29345086,8.162483
90278,-74.1937,-0.4592017,9.667889
,-72.50527,-1.0137924,9.558268
,-71.71794,-6.443719,9.852122
,-70.757805,-3.4356575,9.257429
90357,-70.38019,-5.8742185,10.0843
,-71.03663,-5.496281,10.155692
,-69.261765,-8.471947,8.354644
,-66.80986,-10.221292,7.8879337
90436,-69.442505,-10.590701,6.017668
,-64.08727,-9.072375,9.7555895
,-63.368366,-12.156215,6.1200247
,-61.45471,-12.742171,6.564077
90515,-59.043907,-13.660818,8.347685
,-56.442585,-16.21806,8.858249
,-56.163765,-14.157436,7.9599857
,-54.28439,-16.070747,7.7484155
90595,-53.108555,-17.616037,6.2049375
,-52.944977,-17.940165,3.7632248
,-48.457394,-20.529564,6.218054
,-49.282955,-19.907442,2.4086585
90674,-45.66752,-17.565557,5.883669
,-43.689213,-18.977255,4.7790537
,-42.53771,-17.04804,5.25351
,-40.71956,-18.97424,3.2176492
90753,-39.094566,-21.902676,3.1082091
,-35.687252,-20.644953,1.9064759
,-33.577824,-18.068636,3.6107128
,-32.50474,-19.075989,1.3221664
90833,-29.723106,-19.794348,2.9986076
,-30.350828,-18.649794,1.2431004
,-23.608648,-18.711096,3.570228
,-27.016365,-19.767897,-0.23911205
90913,-22.982967,-16.735012,0.6920556
,-24.514273,-18.105827,-2.6247764
,-21.057331,-18.717361,-4.298382
,-22.344023,-15.315701,-4.1073217
90992,-20.945908,-15.293059,-4.3930454
,-17.570377,-17.722656,-4.2856007
,-18.177513,-14.973849,-4.6353774
,-13.800353,-15.427006,-2.3618693
91071,-13.370361,-12.57399,-1.4384482
,-14.18739,-12.990429,-3.469398
,-15.223197,-11.774222,-5.0692825
,-12.528975,-15.151257,-5.2654085
91150,-13.43541,-11.547325,-4.900852
,-11.617291,-13.954321,-3.0967374
,-13.24742,-11.306749,-4.2987223
,-11.588143,-12.907831,-3.75254
91230,-13.770317,-13.3399725,-4.5154552
,-14.5950165,-12.158106,-5.9826565
,-13.450858,-12.870715,-4.995156
,-14.482952,-17.214064,-6.178728
91309,-14.563689,-9.231454,-4.6229544
,-14.965423,-12.078521,-4.704394
,-12.866734,-10.824604,-2.954131
,-13.007625,-11.055268,-2.1529613
91388,-13.702172,-10.965136,-4.375305
,-14.226818,-14.598648,-5.4364476
,-11.907173,-13.097216,-2.101744
,-15.583295,-10.652113,-5.0081444
91467,-14.696911,-11.060423,-4.385533
,-12.691235,-13.506715,-3.1503825
,-13.600737,-12.823488,-3.3035488
,-14.397179,-11.6356735,-3.9287694
91546,-14.498183,-9.497448,-3.8294291
,-12.76616,-13.242703,-4.224568
,-14.69056,-13.979145,-4.6225944
,-13.961266,-11.981253,-4.4135065
91626,-14.498292,-14.01745,-5.05123
,-11.875065,-13.650022,-3.461626
,-12.952398,-11.882992,-3.9822888
,-12.143578,-14.66812,-3.7804873
91706,-13.151126,-13.445966,-4.5383925
,-13.88502,-10.924848,-3.6660097
,-12.879653,-14.027165,-4.9236093
,-13.71127,-15.207247,-4.7066693
91785,-13.832864,-14.673276,-6.0130587
,-12.607749,-14.328491,-4.1377306
,-13.529633,-12.047949,-3.867478
,-13.4367285,-12.867742,-4.574166
91864,-11.793679,-12.312754,-1.4027015
,-13.628996,-12.829436,-4.1455293
,-13.258159,-12.629148,-4.2526946
,-13.611906,-14.42576,-4.428618
91944,-14.464435,-12.969968,-5.566703
,-15.743026,-10.886742,-4.7682943
,-15.257054,-12.821705,-4.55381
,-11.830147,-15.520269,-4.07383
92023,-12.938269,-11.880017,-3.5612986
,-14.815113,-11.845876,-5.2249045
,-15.642881,-13.584714,-7.209827
,-15.82441,-12.22401,-6.827219
92102,-15.819271,-11.943145,-5.515792
,-14.851931,-11.29406,-4.0053525
,-15.508019,-14.675456,-7.8246403
,-14.002443,-15.189759,-7.224965
92181,-13.133606,-14.762417,-3.6503847
,-12.941339,-14.800721,-4.079021
,-13.948886,-13.578567,-4.8369255
,-14.18914,-14.590718,-4.3138075
