timestamp,x,y,z
808411,-76.90972,-0.6804632,-23.156637
,-75.52531,-0.38092148,-22.692253
,-75.429016,-2.520139,-22.931927
,-75.949265,-1.9125308,-23.802032
808490,-75.0458,-3.9171655,-23.46251
,-75.457275,-2.5260868,-23.773907
,-74.765656,-0.5361241,-24.68746
,-75.208916,-2.8323686,-23.689678
808569,-77.151726,-3.292904,-23.477926
,-75.688965,-4.0960016,-25.312319
,-75.867,0.46528038,-23.240894
,-75.411026,-3.0759192,-24.7128
808648,-74.61798,-2.94431,-24.554596
,-74.70574,-1.8436534,-22.53648
,-78.09759,-1.2971913,-25.080421
,-75.850334,-1.4109169,-24.695078
808727,-75.21319,-2.5534873,-22.658913
,-74.35507,-2.9677453,-22.878279
,-75.06464,-3.9211307,-24.023829
,-72.98775,-1.0718807,-22.13081
808807,-76.29698,-2.3877368,-24.164314
,-75.43066,0.39957485,-22.554535
,-74.43131,-4.02415,-23.625776
,-78.744606,-0.91727334,-24.72837
808886,-72.96462,-1.3467968,-22.600254
,-75.3005,-0.69216084,-23.309675
,-73.830536,-3.8542356,-23.038937
,-74.08699,-2.2295194,-23.730513
808965,-77.20089,-0.6629758,-25.674934
,-74.556755,-2.931423,-22.730305
,-75.81265,-1.4029864,-23.572437
,-74.972946,-1.5413367,-23.18203
809044,-75.88287,-1.1379825,-24.50629
,-77.697174,0.22946158,-24.672293
,-77.16792,-0.6560366,-24.692625
,-75.23115,-1.5169101,-24.718018
809124,-77.95023,0.53475213,-24.896852
,-75.833244,-3.0072396,-24.978168
,-77.03306,-1.74678,-25.307436
,-75.34717,-0.4222004,-23.541882
809204,-76.7192,-2.3190572,-24.42968
,-77.43511,-0.35372,-25.338173
,-74.5756,-2.935388,-23.291626
,-74.8313,-5.2709284,-22.862808
809283,-76.05587,-0.8158396,-22.345238
,-74.69205,-2.120552,-23.286585
,-76.04774,-1.6534759,-25.57787
,-75.8097,-3.0022829,-24.276518
809362,-73.19293,-4.2361364,-23.671652
,-76.72609,-4.20021,-26.58552
,-76.02255,-4.568232,-25.25361
,-74.87237,-3.9594355,-24.452467
809442,-76.14449,-0.27492827,-22.66932
,-73.616035,-5.2079988,-22.439236
,-75.45945,-4.4062486,-25.789412
,-74.29941,-3.5155947,-23.536512
809521,-75.73477,-3.2662945,-23.202332
,-75.25601,-2.8422818,-25.09298
,-75.62128,-2.4818342,-22.503288
,-75.02104,-7.111795,-24.30935
809600,-72.89966,-6.412667,-24.199629
,-70.80996,-4.880859,-21.558928
,-72.973724,-5.5889077,-22.931622
,-70.343254,-7.09966,-23.07686
809679,-71.44207,-7.977426,-23.505468
,-69.07113,-10.784166,-24.860006
,-64.76978,-12.013853,-22.162903
,-64.9993,-11.703608,-21.68581
809758,-63.300133,-10.935801,-21.841455
,-61.928207,-13.558946,-22.175459
,-59.102516,-16.7073,-23.453415
,-60.31086,-14.408278,-25.561125
809838,-57.667477,-12.716471,-23.736887
,-52.739704,-15.930332,-22.797562
,-51.51381,-19.065004,-23.64182
,-50.511723,-16.327896,-24.144638
809917,-47.148144,-16.880306,-22.442677
,-44.919727,-16.997995,-22.618652
,-43.875362,-18.771965,-23.080301
,-42.22844,-18.294935,-25.950676
809997,-41.56465,-16.031046,-26.535112
,-39.237766,-16.407793,-24.935253
,-34.81655,-19.290947,-25.616142
,-31.211395,-17.510788,-24.763987
810076,-32.082333,-15.779088,-25.292297
,-26.583675,-15.90927,-24.230722
,-26.820404,-13.2400465,-25.858759
,-24.532944,-15.225011,-26.225952
810156,-21.672102,-16.486263,-24.506092
,-21.060122,-14.233281,-26.63416
,-20.887903,-11.075966,-26.075626
,-15.570345,-9.56557,-23.460346
810235,-15.092906,-10.461972,-25.024305
,-17.291712,-8.537121,-28.173012
,-15.604605,-10.4121275,-27.955946
,-14.780227,-7.3538656,-26.43804
810314,-11.0274,-7.981894,-25.453022
,-11.855949,-6.241272,-24.718359
,-9.658435,-9.005742,-25.082941
,-10.162035,-10.274332,-27.407234
810393,-13.018625,-9.772758,-26.317886
,-13.570534,-7.851673,-28.49699
,-9.865585,-5.0101557,-26.195688
,-12.001522,-5.9921303,-27.897495
810473,-13.63133,-7.5846868,-29.150185
,-12.893505,-6.625355,-27.162653
,-11.276186,-7.955485,-26.708347
,-12.088075,-8.091061,-27.42787
810552,-13.61809,-8.622255,-27.231411
,-13.694334,-9.678659,-27.978909
,-12.718005,-9.307466,-27.358906
,-11.889027,-10.768214,-26.92247
810631,-13.569673,-7.291927,-26.154799
,-12.342028,-8.826311,-26.154644
,-13.10768,-9.511719,-27.81306
,-15.316794,-8.629395,-29.744642
810710,-12.064957,-8.365976,-27.897316
,-11.224378,-7.9445806,-25.164715
,-14.2496605,-6.918948,-26.785055
,-11.948962,-9.941483,-25.233473
810790,-14.412781,-5.8341517,-27.012222
,-13.191166,-8.689944,-26.825712
,-15.786025,-4.531422,-26.351536
,-12.017428,-8.076191,-25.322918
810870,-14.089499,-6.4044466,-25.85381
,-14.263359,-6.642049,-26.03495
,-13.396243,-7.3341975,-27.144754
,-13.45147,-6.5064745,-25.315426
810949,-12.172879,-8.589701,-26.113834
,-16.617292,-9.470838,-30.025276
,-13.939299,-10.691803,-27.59612
,-14.235962,-7.195847,-27.535162
