timestamp,x,y,z
149178,8.935119,3.7425082,1.6080343
,8.875296,3.7688303,1.665464
,8.856153,3.7903664,1.6487137
,8.865725,3.7807949,1.6295704
149254,8.822652,3.8406174,1.6367491
,8.808294,3.8956544,1.7013576
,8.789151,3.907619,1.6439278
,8.815474,3.9674416,1.6008555
149330,8.856153,4.0176926,1.5817122
,8.942298,4.0679436,1.5553902
,8.956655,4.0607653,1.5697477
,9.016478,4.08948,1.5553902
149407,8.954262,4.0296574,1.5290682
,8.851367,3.979406,1.586498
,8.858545,3.936334,1.5912839
,8.865725,3.9411197,1.5434257
149483,8.89444,3.9411197,1.6295704
,8.932726,3.8980472,1.5529974
,8.968619,3.876511,1.6080343
,8.961441,3.9219763,1.6463208
149558,8.923154,3.9387267,1.6199988
,8.920761,3.9387267,1.6487137
,8.91119,3.9602628,1.6056414
,9.011692,3.907619,1.6008555
149634,9.0571575,3.9195836,1.5434257
,8.994942,3.9435124,1.5553902
,8.918368,3.9817991,1.5075321
,8.935119,3.9602628,1.4189945
149710,8.942298,3.986585,1.5314612
,8.973405,4.0224786,1.5123179
,8.961441,3.8190813,1.6511066
,8.966227,4.084694,1.691786
149786,8.856153,3.9100118,1.5314612
,8.968619,3.8908687,1.5338541
,9.011692,3.9100118,1.6247846
,8.880082,3.852582,1.4285661
149863,8.875296,3.8908687,1.4524952
,8.956655,3.907619,1.509925
,9.01887,3.9315479,1.4931747
,9.02605,4.0224786,1.4979604
149939,9.102622,4.0248713,1.5458187
,9.069121,4.0033355,1.6439278
,8.980584,3.9530842,1.5482116
,8.822652,3.984192,1.5410328
150014,8.760436,3.876511,1.5171037
,8.822652,3.7640445,1.5075321
,8.971012,3.8142955,1.536247
,8.937511,4.000942,1.7013576
150090,8.777187,3.9817991,1.3831009
,8.528324,3.95787,1.433352
,8.32732,3.8621538,1.9191123
,8.119137,4.1229806,2.4646955
150166,7.360585,4.2282686,2.0722585
,6.5709257,3.7185793,1.8449322
,6.140202,3.5319324,2.5508401
,5.8386955,3.1586387,3.2352118
150242,6.092344,2.5963054,3.8669395
,7.6692705,2.574769,6.9035397
,11.093522,2.7542372,9.538132
,13.72572,3.9961565,10.827909
150319,17.365334,3.2328188,12.041114
,22.7757,8.686256,16.11145
,28.475607,15.13993,21.785036
,27.903702,13.031777,22.581873
150395,24.960424,14.247375,19.329912
,21.04802,15.912839,16.606783
,18.164566,19.19591,14.642204
,15.879338,20.758478,11.859253
150470,13.488823,18.329676,8.621648
,11.086343,15.649619,4.424487
,9.236626,12.213403,1.222776
,8.071279,11.957362,0.31586388
150546,8.028207,13.122708,-0.416366
,8.580969,13.778365,-1.4812101
,9.2988405,14.737921,-2.3546216
,10.502474,16.518244,-2.6872358
150622,12.172724,17.738628,-3.1562457
,12.995884,17.611803,-3.2423904
,13.31414,16.290918,-3.0007067
,13.912368,14.17798,-2.371372
150699,14.491451,13.771186,-1.3950654
,14.108586,11.75875,-1.5003533
,13.359606,8.5642185,-2.1560102
,12.677627,4.785816,-2.553233
150775,12.40005,-1.2562767,-2.6489491
,12.782915,-9.473523,-3.8190813
,11.284955,-20.705833,-7.6692705
,6.7288575,-49.51884,-13.168173
150850,2.3115492,-63.653748,-11.636712
,7.0519004,-56.6521,-9.6912775
,7.396479,-42.76366,-5.7070856
,6.929862,-30.00946,-0.09093051
150926,11.244275,-13.82383,-0.78248096
,22.380869,4.5345607,-4.2856984
,23.316496,4.5943837,-7.037543
,24.64456,9.8922825,-8.669506
151002,28.686182,11.450066,-8.741293
,26.621103,16.288525,-10.428293
,23.64911,15.84823,-9.112194
