timestamp,x,y,z
148181,-2.680057,9.368236,0.74658734
,-2.711165,9.459166,0.7059079
,-2.6441634,9.4998455,0.7681235
,-2.6417706,9.502238,0.77530223
148257,-2.6609137,9.497452,0.8255533
,-2.6489491,9.516596,0.80880296
,-2.6489491,9.435237,0.7346228
,-2.6489491,9.504631,0.7776951
148333,-2.656128,9.60274,0.7705164
,-2.6417706,9.4137,0.80162424
,-2.5891266,9.56206,0.7705164
,-2.6178415,9.475916,0.81119585
148409,-2.658521,9.432844,0.7394086
,-2.6944146,9.435237,0.7489802
,-2.7255223,9.533346,0.7705164
,-2.6513422,9.507024,0.7872668
148485,-2.6537352,9.523774,0.7896597
,-2.5867336,9.523774,0.7776951
,-2.6704855,9.418487,0.7106937
,-2.5915194,9.514202,0.7944455
148561,-2.6417706,9.451987,0.8255533
,-2.68245,9.442415,0.78487384
,-2.6992004,9.487881,0.75376606
,-2.6752713,9.456773,0.7657306
148637,-2.6417706,9.4998455,0.80641
,-2.6441634,9.516596,0.82076746
,-2.6704855,9.442415,0.80880296
,-2.656128,9.478309,0.75376606
148713,-2.677664,9.404129,0.7992313
,-2.6537352,9.535739,0.7896597
,-2.6633067,9.475916,0.77530223
,-2.629806,9.5405245,0.8231604
148789,-2.6465564,9.45438,0.78008807
,-2.68245,9.495059,0.7513731
,-2.658521,9.47113,0.70830077
,-2.6704855,9.516596,0.72505116
148865,-2.6704855,9.418487,0.81358874
,-2.6345918,9.554882,0.75855184
,-2.5819478,9.538132,0.7872668
,-2.6633067,9.45438,0.703515
148941,-2.6537352,9.47113,0.75615895
,-2.6393776,9.492666,0.75615895
,-2.6872358,9.435237,0.7944455
,-2.6704855,9.588383,0.8040171
149017,-2.6728783,9.502238,0.7441944
,-2.6680925,9.593168,0.7513731
,-2.6656997,9.459166,0.8638398
,-2.603484,9.425665,0.8925547
149093,-2.6393776,9.428058,0.70112205
,-2.677664,9.406522,0.66283554
,-2.6345918,9.411307,0.75376606
,-2.6920216,9.497452,0.8710185
149169,-2.6393776,9.588383,0.8877689
,-2.6848428,9.492666,0.78248096
,-2.6345918,9.444808,0.7657306
,-2.7207365,9.56206,0.6221561
149245,-2.6872358,9.463951,0.7322299
,-2.6848428,9.380199,0.8805902
,-2.6465564,9.492666,0.8829831
,-2.6489491,9.542917,0.7633377
149321,-2.5891266,9.483095,0.6867646
,-2.629806,9.4137,0.68915755
,-2.579555,9.530953,0.77290934
,-2.577162,9.5405245,0.81119585
149397,-2.6417706,9.521381,0.7705164
,-2.6752713,9.435237,0.7154795
,-2.677664,9.43045,0.8231604
,-2.6417706,9.514202,0.7489802
149473,-2.6489491,9.483095,0.7322299
,-2.605877,9.43763,0.77530223
,-2.6537352,9.509417,0.8183746
,-2.6465564,9.451987,0.7944455
149549,-2.627413,9.509417,0.7346228
,-2.6106627,9.473523,0.72744405
,-2.5963054,9.463951,0.78487384
,-2.6537352,9.4998455,0.7418015
149625,-2.680057,9.507024,0.81358874
,-2.656128,9.463951,0.7633377
,-2.6178415,9.533346,0.72505116
,-2.627413,9.480701,0.70830077
149701,-2.629806,9.459166,0.7202653
,-2.6513422,9.478309,0.80162424
,-2.5675905,9.578811,0.7489802
,-2.60827,9.662563,0.72983694
149777,-2.629806,9.4495945,0.6867646
,-2.6441634,9.4137,0.68915755
,-2.656128,9.480701,0.6006199
,-2.6728783,9.497452,0.650871
149853,-2.7470584,9.612311,0.6460852
,-2.656128,9.968855,0.9140909
,-2.5675905,9.906639,1.3567789
,-2.658521,8.892047,0.68915755
149929,-2.5604117,9.557275,0.6389065
,-2.5675905,9.497452,0.93802
,-2.4886243,9.459166,0.75855184
,-2.6226273,9.401736,0.5623334
150005,-2.7805593,9.310805,0.6484781
,-2.6752713,9.368236,1.014593
,-2.6178415,9.315591,1.1390243
,-2.7015932,9.571632,0.81119585
150082,-2.7901309,9.332341,0.5288327
,-2.7925239,9.325163,0.42833054
,-2.7566302,9.547704,0.54797596
,-2.6513422,9.43763,0.8446966
150158,-2.6537352,9.609919,0.8040171
,-2.60827,9.356271,0.75376606
,-2.5867336,9.502238,0.66283554
,-2.6968074,9.492666,0.6484781
150234,-2.6226273,9.497452,0.7130866
,-2.711165,9.509417,0.64369226
,-2.6704855,9.478309,0.7776951
,-2.5986981,9.4495945,0.9093051
150310,-2.605877,9.576418,0.89734054
,-2.7039862,9.514202,0.75855184
,-2.6656997,9.418487,0.7489802
,-2.5915194,9.509417,0.78487384
150386,-2.6321988,9.514202,0.84948236
,-2.5412683,9.526167,0.95237744
,-2.5364826,9.377807,0.80162424
,-2.5628045,9.423272,0.7776951
150462,-2.5939124,9.533346,0.7657306
,-2.5484471,9.70085,0.7154795
,-2.5173392,9.705635,0.7154795
,-2.6106627,9.444808,0.78248096
150538,-2.577162,9.351485,0.75615895
,-2.6321988,9.373021,0.6748001
,-2.5915194,9.483095,0.6484781
,-2.574769,9.408915,0.8614469
150614,-2.579555,9.492666,0.86862564
,-2.5604117,9.459166,0.859054
,-2.5628045,9.4998455,0.89734054
,-2.4790528,9.456773,0.7633377
150690,-2.5460541,9.66017,0.6795859
,-2.5699832,9.418487,0.6843717
,-2.5915194,9.463951,0.8040171
,-2.5723763,9.559668,0.7776951
150766,-2.5867336,9.631455,0.78487384
,-2.5460541,9.418487,0.7992313
,-2.5580187,9.502238,0.81358874
,-2.5963054,9.456773,0.75615895
150842,-2.629806,9.447201,0.82076746
,-2.4838386,9.447201,0.8542682
,-2.574769,9.617098,0.80641
,-2.5939124,9.492666,0.70112205
150918,-2.6010911,9.487881,0.6867646
,-2.5819478,9.418487,0.7633377
,-2.6226273,9.511809,0.67001426
,-2.5316968,9.45438,0.7346228
150994,-2.526911,9.502238,0.83033913
,-2.6226273,9.614705,0.71787244
,-2.677664,9.423272,0.66044265
,-2.5915194,9.463951,0.67001426
151070,-2.6345918,9.574025,0.7346228
,-2.6609137,9.650599,0.84230363
,-2.6202343,9.43763,0.9284483
,-2.60827,9.404129,0.83751786
151146,-2.5460541,9.349092,0.7633377
,-2.6202343,9.497452,0.64369226
,-2.5986981,9.674527,0.677193
,-2.629806,9.60274,0.7609448
151222,-2.60827,9.361056,0.81119585
,-2.6345918,9.294055,0.6676214
,-2.5675905,9.325163,0.677193
,-2.6106627,9.43045,0.64369226
151298,-2.60827,9.43763,0.7346228
,-2.605877,9.456773,0.77530223
,-2.555626,9.473523,0.71787244
,-2.5484471,9.480701,0.70112205
151374,-2.502982,9.361056,0.7657306
,-2.5364826,9.404129,0.68915755
,-2.5221252,9.514202,0.7441944
,-2.5508401,9.662563,0.71787244
151450,-2.6154485,9.6410265,0.7776951
,-2.6154485,9.624276,0.7154795
,-2.605877,9.571632,0.7059079
,-2.5340896,9.509417,0.75855184
151526,-2.5628045,9.485488,0.6867646
,-2.4479449,9.432844,0.71787244
,-2.421623,9.526167,0.68915755
,-2.3665862,9.523774,0.7513731
151602,-2.4024796,9.526167,0.77530223
,-2.4359803,9.664956,0.73701566
,-2.443159,9.655384,0.78248096
,-2.5077677,9.468738,0.8255533
151678,-2.5484471,9.523774,0.8710185
,-2.579555,9.483095,0.83033913
,-2.577162,9.52856,0.8710185
,-2.5340896,9.377807,0.9140909
151754,-2.4575167,9.463951,0.86862564
,-2.4359803,9.495059,0.7513731
,-2.3737648,9.633848,0.7872668
,-2.450338,9.523774,0.7657306
151830,-2.452731,9.554882,0.8183746
,-2.4981961,9.509417,0.72505116
,-2.574769,9.566847,0.677193
,-2.6154485,9.509417,0.83751786
151906,-2.629806,9.483095,0.95955616
,-2.6250203,9.370628,0.8997334
,-2.6250203,9.334735,0.8446966
,-2.5891266,9.490273,0.78487384
151982,-2.5149465,9.39695,0.78248096
,-2.4288018,9.334735,0.92366254
,-1.9741492,9.681706,1.0887731
,-2.132081,9.2485895,1.6415349
152058,-2.2708697,9.746315,2.9480627
,-1.8138243,9.820495,2.7997024
,-1.5314612,10.490509,2.1942968
,-1.0911661,10.607761,2.5723763
152134,-0.45704544,10.918839,3.3500714
,-0.27279153,10.337363,4.0966587
,0.15075321,9.973641,4.2330546
,-0.31825677,9.669742,3.902833
152210,-0.39004403,8.104779,4.23784
,0.06221561,7.602269,4.5991693
,-0.5240469,6.3794928,5.831517
,-1.0265576,5.29072,6.482388
152286,-1.5912839,5.1950035,6.3100986
,-2.1153307,6.166524,5.853053
,-2.629806,6.463245,5.283541
,-2.4359803,7.049507,5.1973963
152362,-2.1536174,8.013849,4.792995
,-1.3639576,7.7937016,4.6422415
,-0.6484781,8.016242,3.8501892
,0.16989647,7.958812,3.670721
152438,1.067237,7.961205,3.306999
,1.9765421,7.4395514,3.390751
,2.9313123,6.999256,4.1062303
,4.331164,6.5709257,3.7353296
152514,6.269419,6.7408223,3.4051082
,7.8439527,6.7910733,2.68245
,9.466345,5.360114,2.2756555
,10.390007,4.192375,1.7372513
152590,11.761144,3.95787,3.1299238
,13.225603,3.8573678,3.0078855
,14.6398115,3.412287,3.0437791
,14.874317,1.9358627,2.9719918
152666,14.584775,0.95955616,3.2112827
,13.31414,1.5266753,2.7398798
,12.581911,2.1464386,2.7925239
,12.402443,2.9217408,3.9243693
152742,12.766165,3.3237493,4.120588
,12.818809,5.314649,4.529775
,12.0794,8.138281,5.4797597
,10.65562,8.104779,6.0612364
152818,8.588147,7.1643667,5.1878247
,9.420879,5.573083,0.7992313
,8.691042,4.582419,-1.2658484
,8.32732,7.6955924,-1.5194967
152894,6.1306305,11.818573,-1.2610626
,2.2971919,6.8532887,1.8880045
,3.6108983,5.460616,0.63651353
,2.9097762,6.0229497,0.043072347
152970,1.4405307,6.812609,0.6221561
