timestamp,x,y,z
72659,-0.17468229,0.06221561,9.877925
,-0.17228939,0.05025107,9.909033
,-0.16750357,0.043072347,9.873138
,-0.19143265,0.016750356,9.9425335
72738,-0.16750357,0.033500712,9.906639
,-0.17468229,0.071787246,9.889889
,-0.13878867,0.107680865,9.928176
,-0.12443122,0.107680865,9.911426
72818,-0.13639577,0.07896597,9.913818
,-0.13639577,0.10050214,9.928176
,-0.13160995,0.071787246,9.909033
,-0.16511066,0.052643977,9.925783
72897,-0.18425392,0.033500712,9.88271
,-0.13400285,0.043072347,9.906639
,-0.1459674,0.071787246,9.968855
,-0.17228939,0.028714897,9.909033
72976,-0.16511066,0.05025107,9.920997
,-0.1459674,0.09571633,9.94014
,-0.2057901,0.07418015,9.899461
,-0.19861138,0.12203831,9.94014
73055,-0.14357449,0.09810923,9.901854
,-0.15793194,0.07896597,9.913818
,-0.13160995,0.045465253,9.923389
,-0.16989647,0.067001425,9.906639
73135,-0.14357449,0.069394335,9.887496
,-0.16989647,0.023929082,9.959284
,-0.18186101,0.047858164,9.911426
,-0.18186101,0.055036888,9.937747
73214,-0.13639577,0.019143265,9.949712
,-0.16750357,0.09571633,9.920997
,-0.12921704,0.045465253,9.968855
,-0.14357449,0.09810923,9.897068
73293,-0.13878867,0.088537596,9.913818
,-0.15553902,0.08375178,9.944926
,-0.13400285,0.07418015,9.911426
,-0.1459674,0.09810923,9.925783
73373,-0.13878867,0.045465253,9.916211
,-0.14118157,0.040679436,9.885103
,-0.1483603,0.031107806,9.932961
,-0.15793194,0.035893623,9.899461
73453,-0.17946811,0.06460852,9.897068
,-0.1459674,0.071787246,9.954497
,-0.12682413,0.067001425,9.894675
,-0.15314612,0.067001425,9.930569
73532,-0.12682413,0.09810923,9.901854
,-0.16511066,0.088537596,9.930569
,-0.11485959,0.08135887,9.923389
,-0.16271774,0.016750356,9.913818
73611,-0.12682413,0.035893623,9.937747
,-0.18664683,0.031107806,9.920997
,-0.17707519,0.043072347,9.920997
,-0.1483603,0.021536173,9.913818
73690,-0.208183,0.09093051,9.8922825
,-0.1459674,0.06221561,9.925783
,-0.15075321,0.08135887,9.920997
,-0.16989647,0.071787246,9.894675
73770,-0.14357449,0.110073775,9.928176
,-0.14357449,0.110073775,9.932961
,-0.13878867,0.057429794,9.894675
,-0.15553902,0.088537596,9.9425335
73849,-0.1196454,0.016750356,9.868353
,-0.14118157,0.067001425,9.925783
,-0.18903974,0.0071787243,9.9425335
,-0.19143265,0.071787246,9.880318
73928,-0.15553902,0.05025107,9.925783
,-0.19143265,0.06460852,9.920997
,-0.15075321,0.08135887,9.925783
,-0.17946811,0.11246668,9.95689
74007,-0.14118157,0.03828653,9.889889
,-0.16989647,0.07896597,9.918604
,-0.1459674,0.07657306,9.8922825
,-0.12682413,0.07657306,9.916211
74086,-0.17707519,0.028714897,9.897068
,-0.16032484,0.071787246,9.899461
,-0.1483603,0.019143265,9.885103
,-0.17228939,0.047858164,9.928176
74166,-0.18425392,0.045465253,9.920997
,-0.16989647,0.09093051,9.880318
,-0.15075321,0.07896597,9.906639
,-0.2057901,0.07418015,9.904246
74246,-0.17468229,0.09332342,9.959284
,-0.14357449,0.071787246,9.8922825
,-0.12921704,0.067001425,9.964069
,-0.15793194,0.055036888,9.901854
74325,-0.13639577,0.045465253,9.837245
,-0.16750357,0.031107806,9.959284
,-0.16032484,0.06221561,9.901854
,-0.15314612,0.07418015,9.8922825
74404,-0.16750357,0.040679436,9.944926
,-0.17228939,0.069394335,9.88271
,-0.19621846,0.07418015,9.923389
,-0.19621846,0.069394335,9.887496
74484,-0.18186101,0.088537596,9.897068
,-0.1459674,0.13878867,9.949712
,-0.1483603,0.07418015,9.909033
,-0.14357449,0.05025107,9.868353
74563,-0.13878867,0.06221561,9.911426
,-0.17468229,0.07896597,9.913818
,-0.17707519,0.067001425,9.9425335
,-0.15314612,0.052643977,9.923389
74642,-0.15075321,0.069394335,9.899461
,-0.17228939,0.08135887,9.923389
,-0.1459674,0.110073775,9.897068
,-0.13639577,0.067001425,9.920997
74721,-0.17228939,0.088537596,9.94014
,-0.12682413,0.105287954,9.930569
,-0.13639577,0.107680865,9.906639
,-0.16750357,0.07418015,9.904246
74801,-0.13639577,0.035893623,9.889889
,-0.18186101,0.033500712,9.9425335
,-0.17707519,0.031107806,9.901854
,-0.16750357,0.06221561,9.95689
74880,-0.17468229,0.040679436,9.944926
,-0.1459674,0.10050214,9.894675
,-0.16750357,0.09093051,9.932961
,-0.16032484,0.08614469,9.88271
74959,-0.16271774,0.1196454,9.952105
,-0.16989647,0.069394335,9.8922825
,-0.13400285,0.09093051,9.899461
,-0.15075321,0.055036888,9.877925
75039,-0.16989647,0.11485959,9.930569
,-0.13400285,0.0598227,9.930569
,-0.16271774,0.03828653,9.9425335
,-0.13878867,0.10289505,9.901854
75119,-0.17946811,0.08375178,9.894675
,-0.1459674,0.09571633,9.920997
,-0.16271774,0.11485959,9.911426
,-0.10289505,0.08375178,9.928176
75198,-0.15553902,0.10289505,9.94014
,-0.10289505,0.06460852,9.863567
,-0.15793194,0.07418015,9.913818
,-0.15553902,0.016750356,9.873138
75277,-0.17707519,0.055036888,9.889889
,-0.15314612,0.07896597,9.95689
,-0.16032484,0.069394335,9.909033
,-0.16032484,0.06460852,9.925783
75356,-0.16271774,0.08135887,9.8922825
,-0.15314612,0.040679436,9.949712
,-0.10050214,0.08135887,9.899461
,-0.1196454,0.105287954,9.889889
75435,-0.12203831,0.09093051,9.911426
,-0.16511066,0.09571633,9.911426
,-0.16271774,0.07657306,9.868353
,-0.12443122,0.05025107,9.923389
75515,-0.17707519,0.040679436,9.8922825
,-0.15314612,0.067001425,9.920997
,-0.18664683,0.03828653,9.930569
,-0.15075321,0.067001425,9.861175
75594,-0.12682413,0.05025107,9.935354
,-0.12921704,0.1196454,9.94014
,-0.15793194,0.10050214,9.918604
,-0.14357449,0.110073775,9.935354
75673,-0.15793194,0.07418015,9.901854
,-0.12203831,0.047858164,9.930569
,-0.2057901,0.009571632,9.899461
,-0.15553902,0.0598227,9.899461
75752,-0.18903974,0.06221561,9.930569
,-0.1459674,0.06460852,9.954497
,-0.17228939,0.071787246,9.877925
,-0.16032484,0.071787246,9.930569
75832,-0.17707519,0.07657306,9.909033
,-0.10289505,0.09332342,9.918604
,-0.15553902,0.08614469,9.935354
,-0.13878867,0.045465253,9.913818
75912,-0.16989647,0.057429794,9.947319
,-0.13400285,0.06460852,9.909033
,-0.14357449,0.071787246,9.949712
,-0.18903974,0.10050214,9.9425335
75991,-0.19382556,0.067001425,9.86596
,-0.1459674,0.067001425,9.952105
,-0.208183,0.069394335,9.899461
,-0.17946811,0.069394335,9.913818
76070,-0.15553902,0.08135887,9.947319
,-0.15314612,0.052643977,9.894675
,-0.1459674,0.06460852,9.911426
,-0.13639577,0.08614469,9.916211
76150,-0.16750357,0.07657306,9.889889
,-0.12921704,0.06221561,9.909033
,-0.1172525,0.055036888,9.901854
,-0.19382556,0.057429794,9.899461
76229,-0.16989647,0.055036888,9.925783
,-0.15314612,0.06460852,9.928176
,-0.17468229,0.069394335,9.925783
,-0.14357449,0.067001425,9.918604
76308,-0.16032484,0.026321989,9.923389
,-0.16750357,0.07896597,9.930569
,-0.13400285,0.088537596,9.918604
,-0.13639577,0.069394335,9.937747
