timestamp,x,y,z
72659,-2.45,-0.875,0.14
,-2.45,-0.665,0.175
,-2.38,-0.665,0.21000001
,-2.275,-0.735,0.245
72738,-2.31,-0.7,0.245
,-2.205,-0.805,0.315
,-2.275,-0.84000003,0.21000001
,-2.17,-0.875,0.245
72818,-2.275,-0.875,0.245
,-2.275,-0.945,0.245
,-2.38,-0.91,0.28
,-2.485,-0.91,0.21000001
72897,-2.485,-0.805,0.21000001
,-2.59,-0.77,0.175
,-2.52,-0.665,0.105000004
,-2.38,-0.665,0.175
72976,-2.52,-0.63,0.14
,-2.17,-0.735,0.21000001
,-2.135,-0.84000003,0.245
,-2.24,-0.77,0.28
73055,-2.17,-0.875,0.28
,-2.415,-0.84000003,0.315
,-2.345,-0.84000003,0.245
,-2.485,-0.805,0.175
73135,-2.485,-0.77,0.175
,-2.52,-0.77,0.28
,-2.485,-0.735,0.245
,-2.45,-0.735,0.21000001
73214,-2.275,-0.665,0.28
,-2.205,-0.77,0.28
,-2.17,-0.665,0.21000001
,-2.24,-1.015,0.28
73293,-2.205,-0.91,0.21000001
,-2.38,-0.875,0.28
,-2.345,-0.805,0.21000001
,-2.485,-0.805,0.245
73373,-2.555,-0.7,0.175
,-2.485,-0.77,0.245
,-2.485,-0.665,0.21000001
,-2.415,-0.56,0.28
73453,-2.45,-0.665,0.245
,-2.31,-0.7,0.28
,-2.24,-0.7,0.245
,-2.415,-0.7,0.175
73532,-2.24,-0.805,0.21000001
,-2.205,-0.735,0.245
,-2.24,-0.805,0.21000001
,-2.485,-0.84000003,0.315
73611,-2.555,-0.735,0.28
,-2.52,-0.84000003,0.21000001
,-2.52,-0.7,0.175
,-2.415,-0.77,0.245
73690,-2.45,-0.7,0.105000004
,-2.135,-0.84000003,0.21000001
,-2.205,-0.77,0.315
,-2.17,-0.91,0.175
73770,-2.205,-0.84000003,0.21000001
,-2.485,-0.84000003,0.28
,-2.45,-0.84000003,0.28
,-2.66,-0.875,0.245
73849,-2.415,-0.91,0.175
,-2.38,-0.735,0.105000004
,-2.345,-0.63,0.21000001
,-2.31,-0.7,0.175
73928,-2.275,-0.7,0.105000004
,-2.205,-0.7,0.175
,-2.205,-0.735,0.175
,-2.17,-0.805,0.21000001
74007,-2.17,-0.665,0.28
,-2.31,-0.735,0.315
,-2.345,-0.77,0.245
,-2.45,-0.945,0.245
