timestamp,x,y,z
72659,58.52382,-261.01294,-70.07189
,59.956078,-264.66376,-67.083824
,59.68297,-261.16284,-66.32121
,57.710148,-263.22958,-67.79585
72738,60.358242,-261.5368,-65.83128
,61.304993,-262.49197,-65.72658
,59.364716,-264.83167,-67.39
,59.65207,-263.8096,-66.50982
72818,61.38377,-263.31476,-66.854256
,61.176487,-264.31995,-65.34882
,59.9964,-262.01498,-66.614555
,62.104397,-265.27908,-65.805435
72897,60.91061,-262.6972,-66.32106
,60.558613,-262.89355,-65.65257
,59.542072,-261.3935,-65.52004
,60.597607,-261.5652,-64.85662
72976,62.392178,-263.97714,-63.754158
,60.828766,-264.79517,-65.711105
,59.561695,-264.869,-67.67831
,58.785843,-262.07693,-66.8978
73055,60.697754,-264.26318,-67.29815
,59.526196,-262.99673,-66.78544
,57.689667,-260.31387,-67.97978
,60.134647,-264.42514,-66.76235
73135,60.294056,-259.95038,-66.95149
,59.407993,-263.7822,-67.62482
,59.831528,-262.5305,-67.686134
,59.41227,-264.06107,-68.65558
73214,59.729202,-261.71268,-67.2601
,59.69874,-264.07956,-66.27761
,60.38432,-263.411,-67.00481
,61.72503,-264.4408,-67.47671
73293,57.837337,-262.72202,-67.84692
,63.219086,-262.79807,-64.11143
,60.50756,-266.8647,-66.07581
,58.706524,-266.05402,-68.16302
73373,60.308075,-264.4674,-67.752304
,59.876873,-264.12085,-67.127235
,60.114597,-261.22952,-65.775185
,61.252296,-263.5434,-65.77242
73453,63.311104,-264.6584,-63.320328
,60.656223,-263.71234,-66.21893
,61.277164,-262.21805,-65.39745
,60.632675,-263.71732,-66.920586
73532,60.709244,-266.901,-66.223785
,61.101128,-264.3358,-67.5941
,59.95433,-266.264,-67.92823
,59.31291,-264.84256,-68.93363
73611,61.39701,-264.3523,-64.93548
,60.607807,-265.04266,-67.29555
,61.458694,-263.57877,-65.78007
,57.973522,-262.49237,-68.788414
73690,59.43154,-263.77725,-66.923164
,59.98138,-263.0585,-65.537766
,61.738266,-265.4784,-65.55794
,61.343994,-261.16364,-64.93062
73770,59.1271,-263.203,-67.520256
,59.226894,-262.14163,-66.071106
,60.707603,-263.98132,-65.8464
,59.29493,-264.2868,-67.152756
73849,59.831528,-262.5305,-67.686134
,58.877426,-264.2171,-67.2778
,60.21221,-262.0483,-66.34154
,61.8924,-266.28528,-64.44033
73928,60.491356,-264.2278,-67.290504
,57.959824,-262.21548,-68.03831
,60.22163,-262.04633,-66.060875
,59.998928,-263.89413,-68.48973
74007,59.864067,-262.8034,-67.874916
,57.876335,-261.3937,-67.050964
,60.891342,-262.98105,-68.053474
,59.50308,-262.72183,-66.315994
74086,59.29154,-262.96738,-67.619774
,58.922024,-261.84726,-67.839294
,60.055447,-263.88226,-66.80577
,59.076584,-262.37427,-65.5506
74166,59.960785,-264.66275,-66.94349
,60.042957,-266.80493,-67.60415
,58.579014,-262.32144,-68.06125
,59.056885,-262.938,-68.45411
74246,59.643967,-262.49118,-67.117165
,60.41258,-263.40506,-66.16283
,58.75626,-263.40326,-67.41309
,58.902298,-262.89175,-66.90283
74325,60.27597,-263.9146,-66.392426
,59.873913,-262.52155,-66.42316
,62.01106,-264.73917,-66.269844
,60.70499,-266.14133,-69.033
74404,60.44337,-265.2783,-67.19602
,60.71955,-265.8585,-67.44091
,57.84194,-267.24106,-68.92838
,60.982574,-261.3619,-64.54279
74484,60.365913,-263.1351,-66.395035
,58.584152,-262.0406,-66.749825
,59.57582,-264.866,-67.25732
,60.266228,-259.67648,-66.62238
74563,58.55415,-263.64682,-68.43621
,58.909077,-265.53058,-65.9688
,60.69479,-262.66388,-66.59407
,60.89987,-264.01962,-66.27503
74642,59.999786,-263.3344,-66.14754
,60.1192,-265.74854,-66.85666
,62.311653,-264.75464,-63.470886
,61.051933,-262.18668,-65.95113
74721,59.706085,-261.43774,-66.79066
,61.564407,-265.71597,-65.739075
,58.648018,-259.38687,-65.5789
,59.77794,-264.62244,-66.23419
74801,64.24155,-267.49667,-65.652115
,59.49366,-262.72382,-66.59666
,60.538452,-264.2179,-65.88721
,60.10036,-265.7525,-67.41798
74880,58.965622,-265.0379,-68.12482
,57.88565,-265.9117,-67.9921
,61.179443,-265.91925,-66.0529
,61.89329,-265.24475,-65.93812
74959,59.82297,-261.97272,-65.624596
,58.91774,-261.56836,-66.80853
,59.76984,-263.30405,-66.841545
,61.04929,-264.8275,-65.29776
75039,61.154255,-263.0045,-66.37716
,61.978092,-264.7461,-67.25215
,60.007885,-264.65283,-65.54019
,58.079235,-264.62958,-68.74743
75119,60.464848,-262.6335,-67.28808
,60.359993,-259.93652,-64.98688
,56.787834,-261.2289,-68.69669
,60.073853,-264.15817,-67.41554
75198,58.911175,-267.68964,-69.015076
,62.717125,-266.98636,-66.81311
,60.364594,-264.4555,-66.068344
,61.70234,-263.88602,-65.83617
75277,59.553593,-263.55054,-68.28565
,59.61778,-265.13696,-67.16544
,62.158733,-267.14734,-66.13698
,58.48436,-263.10196,-68.19897
75356,60.23565,-266.5634,-66.861694
,60.527287,-265.8202,-67.012276
,60.14364,-264.70303,-67.65279
,60.43823,-265.55914,-68.50745
75435,59.00419,-263.98944,-68.499954
,60.839073,-263.75262,-66.92823
,60.978214,-265.12225,-68.57381
,59.02346,-263.7056,-66.76754
75515,60.575268,-264.7697,-67.10676
,60.693905,-263.7044,-65.09629
,59.93899,-263.0674,-66.800735
,57.538925,-260.82635,-68.63036
75594,59.541103,-266.47324,-69.08404
,59.75439,-264.6274,-66.935844
,61.09771,-263.49716,-64.221146
,59.734776,-261.15192,-64.77758
75673,60.541092,-261.5771,-66.54058
,57.955112,-262.21646,-68.17864
,62.42254,-266.13022,-65.95845
,60.2901,-263.91162,-65.971436
75752,60.461777,-265.5542,-67.8058
,60.75855,-264.53015,-66.64496
,58.96912,-261.83734,-66.436
,60.634426,-262.117,-66.07617
75832,59.08689,-261.33176,-66.76772
,58.98753,-262.11325,-67.04578
,59.43714,-262.7357,-68.28062
,59.30917,-259.76382,-65.509964
75912,59.12107,-264.5244,-67.3339
,61.102875,-262.7355,-66.749695
,58.360664,-260.40894,-66.45908
,61.466473,-260.65704,-65.12202
75991,60.27465,-265.23502,-66.065735
,60.950817,-264.56845,-67.07359
,61.059174,-264.06485,-67.68598
,62.840042,-266.19992,-65.833405
76070,61.208702,-260.35275,-65.48691
,60.968338,-265.88492,-66.185585
,61.104515,-265.65524,-67.12708
,61.579857,-264.3926,-65.644775
76150,60.535065,-262.8985,-66.354225
,60.789017,-262.16324,-67.62745
,60.021156,-265.20963,-67.461395
,59.540325,-262.99377,-66.36445
76229,62.968555,-264.37192,-66.21116
,58.4698,-263.3848,-69.79105
,59.168167,-264.5145,-65.930595
,59.96978,-264.94064,-67.83393
76308,59.601902,-266.74023,-68.43084
,60.820663,-263.4767,-66.31845
,62.15063,-265.82892,-66.74432
,59.229424,-264.0208,-67.94628
