timestamp,x,y,z
1272982,-0.43550926,-0.22971918,10.023892
,-0.4402951,0.12443122,9.916211
,-0.47618872,0.15075321,9.806137
,-0.48097453,0.19382556,9.925783
1273061,-0.39243692,0.24168372,9.911426
,-0.5240469,-0.37329367,9.928176
,-0.6197632,-0.1172525,10.019106
,-0.36611494,0.07657306,9.95689
1273140,-0.45704544,-0.055036888,10.0334635
,-0.66044265,0.06460852,10.019106
,-0.50968945,0.13639577,9.844424
,-0.51208234,-0.016750356,9.913818
1273219,-0.78008807,0.023929082,9.990392
,-0.17946811,0.004785816,10.050214
,-0.6652284,0.33022133,9.880318
,-0.6269419,-0.13639577,9.918604
1273299,-0.18903974,0.19621846,9.9425335
,-0.8829831,0.9571632,10.421115
,-0.16032484,-0.08135887,9.6003475
,-0.43550926,0.24646953,9.775029
1273378,-0.7944455,0.43311638,10.232075
,-0.37329367,0.37807947,10.220111
,0.47140288,0.6173703,9.597955
,-1.3639576,0.84948236,10.0334635
1273458,-0.110073775,-0.5312256,10.026285
,0.03828653,0.46661708,9.655384
,-0.5264398,0.6484781,9.944926
,0.42115182,-0.3804724,9.698457
1273537,-0.27518442,0.50968945,9.69367
,-0.8159817,0.43072346,9.904246
,-0.22254045,0.16989647,9.976034
,-0.63651353,0.57429796,9.758279
1273617,-0.5527618,0.83033913,9.7415285
,-0.15314612,0.33022133,10.196181
,-0.9834852,0.2057901,9.798959
,-0.31586388,0.37329367,9.937747
1273696,-0.71787244,-0.46183127,9.98082
,-0.8040171,0.18664683,10.007142
,-0.34697166,1.1581675,10.021499
,-1.9550059,-0.17946811,10.028678
1273775,-1.6989647,0.15793194,9.813316
,-1.3711363,0.07418015,9.832459
,-1.3783151,0.22254045,9.801352
,-0.9786994,0.24407662,9.7176
1273854,-0.50968945,0.033500712,9.856388
,-1.9119335,-0.6460852,9.619491
,-2.0890088,0.9404129,9.736743
,-1.4596739,0.26082698,9.961677
1273934,-1.5338541,0.51208234,9.743921
,-1.6606783,0.021536173,9.775029
,-1.2562767,-0.37329367,10.050214
,-2.237369,-0.69633627,9.803744
1274013,-2.6489491,1.093559,9.578811
,-1.7587874,0.6556568,9.911426
,-1.8305746,0.088537596,9.7415285
,-2.2852273,0.47618872,9.564454
1274092,-2.0555081,0.19143265,9.873138
,-1.6798215,-0.055036888,9.909033
,-2.010043,0.442688,9.54531
,-2.263691,0.10050214,9.815709
1274171,-2.0866158,0.33022133,9.753493
,-1.6989647,0.6101916,10.026285
,-1.6439278,0.82076746,9.69367
,-1.304135,-0.14357449,9.995177
1274250,-1.4524952,0.31825677,9.827674
,-2.2062612,0.2584341,9.731957
,-1.9095407,0.24646953,9.772636
,-1.7037506,0.19621846,9.746315
1274330,-1.8903974,0.4091873,9.80853
,-1.6846073,0.93562704,9.753493
,-1.7013576,0.15314612,9.703242
,-1.5936768,0.13878867,9.789387
1274410,-1.8640754,0.39961565,9.818102
,-2.28762,0.39482984,9.853995
,-2.471874,0.6006199,9.786994
,-2.0722585,0.8255533,9.784601
1274489,-1.9167194,0.33979294,9.806137
,-1.0744157,0.22014755,9.966462
,-1.536247,0.37568656,9.782208
,-2.0267932,0.25125536,9.763065
1274568,-1.5697477,0.33500713,9.798959
,-1.8856115,0.5623334,9.70085
,-1.9358627,0.31107804,9.856388
,-1.742037,0.22493336,9.7415285
1274648,-1.4812101,0.18186101,9.839638
,-1.4692456,0.0,9.904246
,-1.562569,0.28236315,9.844424
,-1.6606783,0.15793194,9.758279
1274727,-1.7587874,0.24168372,9.803744
,-1.9119335,0.37329367,9.789387
,-2.0866158,0.56711924,9.789387
,-1.8903974,0.208183,9.837245
1274806,-1.5745336,0.057429794,9.830067
,-1.2921704,-0.06460852,9.904246
,-1.1820966,0.2632199,9.88271
,-1.8329676,0.11246668,9.909033
1274885,-1.8090385,0.36372203,9.851603
,-1.3256711,0.2680057,9.906639
,-1.6870002,-0.7226582,10.064571
,-1.0265576,0.23211208,9.518989
1274964,-0.95237744,-0.9858781,10.031071
,-2.0387578,-0.24168372,9.911426
,-1.0600582,0.12921704,9.920997
,-0.69872916,-0.4402951,10.098072
1275044,-1.0337363,0.03828653,9.428058
,-0.6843717,-0.8877689,9.971248
,-0.92605543,-0.3804724,9.9425335
,-0.6939433,0.37329367,9.971248
1275124,-0.6819788,-1.0122001,9.897068
,0.43311638,-0.22971918,9.681706
,1.1127023,-0.8279462,9.66017
,-0.416366,-0.4139731,9.932961
1275203,-0.25364825,-0.3278284,9.887496
,-0.08614469,-0.74658734,9.832459
,0.2656128,-0.66283554,9.86596
,0.45465255,-0.15793194,9.73435
1275282,1.067237,-1.1629534,9.729565
,0.53840435,-0.12682413,9.971248
,-0.39722276,-0.83751786,9.995177
,0.416366,-0.5312256,10.040643
1275362,0.48815325,0.004785816,10.18661
,0.208183,-0.8255533,9.901854
,0.55754757,-0.34218585,9.842031
,0.25364825,-0.6939433,9.684099
1275441,0.8566611,-0.002392908,9.655384
,1.3687434,-0.1196454,9.370628
,0.7202653,-0.4450809,9.705635
,0.57908374,-0.48097453,9.98082
1275520,0.10289505,-0.70830077,9.961677
,-0.052643977,-1.0217718,10.44983
,0.07657306,-0.6939433,10.583833
,0.7633377,-1.0457008,10.009535
1275599,0.46661708,-0.7394086,9.731957
,0.7059079,-0.9667349,9.839638
,0.61497736,-0.7489802,9.719993
,0.9093051,-0.3254355,9.875532
1275678,0.8877689,-0.15314612,9.889889
,0.84230363,-0.10050214,9.930569
,0.7896597,-0.20100428,9.98082
,1.0480938,-0.24886245,9.786994
1275758,0.598227,-0.27039862,9.758279
,0.8829831,-0.19143265,9.786994
,1.0720228,0.19143265,9.679314
,1.117488,-0.17468229,9.784601
1275837,0.93802,-0.25125536,9.925783
,0.7896597,-0.6173703,10.088501
,0.5144752,-0.7872668,10.122002
,0.16989647,-0.4450809,10.078929
1275916,1.0074143,-0.014357449,9.708028
,0.70112205,0.014357449,9.777423
,0.5431901,-0.40440148,9.937747
,0.55036885,-0.7609448,10.074143
1275996,0.5551547,-0.34457877,9.978427
,1.0122001,0.21057591,9.686492
,0.99784267,0.002392908,9.727171
,0.8518753,-0.39004403,9.923389
1276076,0.96434194,-0.27757734,9.839638
,0.82076746,-0.63412064,9.916211
,0.8231604,-0.77290934,10.308648
,0.7513731,-0.2967206,9.995177
1276155,0.8446966,-0.5072965,10.198574
,0.4785816,-0.31347096,10.478544
,0.36850783,-0.25604117,9.715207
,0.4737958,0.22493336,9.605133
1276234,0.66283554,0.5025107,9.4495945
,0.7394086,0.56711924,9.662563
,0.5814767,0.22254045,9.447201
,0.6101916,0.028714897,10.263183
1276313,0.5934412,0.22732627,9.887496
,0.9786994,0.2991135,9.80853
,0.8638398,0.021536173,9.770244
,0.69872916,-0.17468229,9.84921
1276393,0.7059079,-0.25604117,9.861175
,0.6939433,-0.19143265,10.074143
,0.86862564,-0.5025107,9.9425335
,1.225169,-0.06221561,9.928176
1276472,0.7681235,-0.18186101,10.0837145
,0.69155043,-0.22254045,9.88271
,0.73701566,-0.28954187,9.772636
,0.885376,-0.36372203,9.806137
1276551,0.9404129,0.06221561,9.846817
,0.9858781,0.040679436,9.509417
,0.80880296,0.07418015,9.789387
,0.7346228,0.0071787243,9.80853
