timestamp,x,y,z
1298126,2.17,2.8700001,-23.625
,0.42000002,1.47,-9.38
,-3.29,3.885,-3.78
,-4.935,2.73,-11.935
1298206,-10.78,-0.105000004,-3.43
,-2.45,-0.105000004,-2.975
,-0.14,2.1,-5.11
,-0.63,1.89,-6.895
1298286,-0.28,0.07,6.405
,0.105000004,-2.415,4.305
,-1.75,-4.8650002,-2.66
,-2.66,-7.35,4.235
1298365,-0.7,-2.835,6.055
,0.35,-2.345,4.515
,2.135,-1.05,-8.05
,0.35,0.84000003,-2.73
1298444,-3.325,-0.35,3.78
,-4.375,-2.135,-2.1
,-1.785,-2.66,5.67
,-1.295,-4.55,13.86
1298524,-1.61,-1.4350001,16.065
,-4.62,-0.21000001,10.64
,-5.705,-5.53,27.65
,-1.785,-8.645,49.245
1298603,-3.71,-13.335,73.605
,-6.125,-24.885,129.745
,-15.015,-39.97,178.535
,-16.59,-33.215,149.17
1298682,-13.440001,-27.125,121.87
,-8.68,-22.785,110.46
,-8.295,-17.78,88.41
,-8.365,-13.58,96.95
1298761,-0.84000003,-8.68,126.735
,1.05,-0.945,118.335
,0.455,-2.73,108.535
,1.925,-3.78,96.88
1298841,3.22,1.085,88.48
,9.555,0.49,130.13
,18.935,2.94,154.525
,11.2,-0.35,125.72
1298920,8.75,-1.96,123.55
,4.55,-1.575,110.495
,9.8,-3.29,128.905
,26.25,1.925,164.185
1299000,39.76,0.455,195.79
,31.43,-6.055,170.135
,15.015,-5.95,118.405
,-3.5,-10.6050005,70.56
1299079,0.315,-13.265,80.43
,17.64,-9.87,114.94
,18.13,-17.15,121.8
,8.085,-21.665,105.49
1299158,-0.77,-14.525,66.36
,-9.87,-18.375,53.655
,-1.4350001,-14.77,67.62
,20.51,-15.085,99.295
1299238,32.795002,-15.225,110.005
,11.655,-19.39,75.11
,-20.405,-10.43,35.0
,-22.75,-12.705,50.96
1299317,-12.39,-5.845,56.21
,5.88,-6.93,77.035
,9.485,-25.06,102.585
,-1.645,-27.86,83.055
1299396,-0.84000003,-23.275,70.875
,-0.525,-19.95,68.565
,-9.94,-10.325,50.435
,-17.57,-9.66,39.06
1299475,-0.84000003,-12.67,43.575
,-9.66,-11.9,45.045002
,-15.190001,-15.015,52.115
,-8.225,-13.440001,46.27
1299555,7.175,-15.015,60.62
,-11.83,-18.2,39.48
,-15.505,-3.71,10.5
,-3.395,-4.06,14.455
1299634,2.905,-13.440001,18.795
,6.7200003,-12.915,22.19
,-7.14,-6.195,6.44
,-9.065,0.945,-6.09
1299713,-7.5950003,-0.91,0.42000002
,-7.945,-2.8,-1.295
,-4.97,-2.8,6.7200003
,0.595,-4.62,10.15
1299792,0.315,-8.54,10.045
,3.5,-2.24,0.77
,-16.59,11.76,-32.235
,-23.485,8.47,-24.01
1299872,-20.09,13.825,-16.59
,-23.275,8.12,-9.625
,5.005,5.81,12.39
,11.865,-2.38,21.385
1299952,-5.81,-3.71,-0.945
,-11.27,-1.715,-7.525
,0.56,-0.035,-1.225
,8.505,-4.06,6.44
1300031,17.22,-8.575,14.14
,20.65,-14.875,19.985
,10.78,-13.3,9.94
,-10.6050005,3.465,-14.455
1300110,-12.53,4.305,-23.135
,-3.85,3.045,-15.295
,7.28,-2.765,-3.675
,13.3,-1.89,-13.335
1300189,-5.635,8.225,-48.055
,-26.39,13.335,-84.595
,-41.335,32.095,-145.705
,-30.31,20.16,-134.68001
1300269,-11.025,11.305,-106.785
,-22.75,2.065,-110.11
,-22.26,2.31,-99.96
,-39.795002,18.165,-137.83
1300348,-18.445,10.885,-112.035
,6.51,4.97,-89.425
,-5.145,3.955,-98.77
,-11.9,7.56,-111.545
1300427,-36.015,14.21,-153.93001
,-34.545002,8.68,-140.77
,-30.135,1.715,-117.915
,-26.32,3.815,-121.205
1300506,-22.995,7.805,-137.655
,-35.35,1.6800001,-158.725
,-31.465,-3.815,-144.795
,-39.795002,-1.12,-184.8
1300585,-23.415,-11.34,-125.44
,-15.54,-1.12,-115.08
,-20.16,-6.405,-108.955
,-24.045,-5.81,-122.675
1300665,-30.905,-3.92,-152.67
,-16.835001,6.895,-162.575
,-13.195,-18.445,-127.995
,-1.26,-1.645,-101.955
1300745,-6.58,-5.67,-99.995
,-15.085,-10.01,-84.0
,-21.35,-2.31,-98.91
,-8.085,-6.37,-67.13
1300824,1.645,-7.7,-39.41
,-1.89,-10.92,-46.235
,-3.64,-7.28,-54.95
,-5.495,-3.605,-92.365
1300903,-3.325,-3.78,-69.02
,-7.385,-0.875,-88.06
,-0.525,1.05,-67.095
,3.08,-1.085,-66.535
1300983,-4.2,-8.155,-100.03
,-18.725,2.94,-142.38
,-3.71,4.165,-103.635
,1.05,2.135,-70.665
1301062,-9.135,2.73,-92.505
,-23.415,4.69,-106.19
,-23.065,4.795,-112.840004
,-15.365,6.23,-101.255
1301141,-5.565,3.535,-88.27
,-4.9,-1.82,-100.03
,-6.58,-8.715,-81.62
,-0.7,-10.255,-52.22
1301220,-0.735,-13.965,-20.58
,-0.385,-1.295,-49.14
,1.6800001,-5.705,-61.285
,1.75,-4.445,-35.245
1301300,3.045,-1.575,-28.98
,4.8650002,-4.8650002,-31.08
,3.535,-6.79,-37.555
,1.47,-6.86,-26.25
1301379,1.61,-5.32,-9.555
,-2.485,-4.025,-9.555
,-1.575,-6.965,-3.325
,-0.525,-0.945,8.715
1301458,2.205,-1.47,9.7300005
,-0.385,-0.245,8.05
,-3.465,-2.345,5.95
,-1.19,-2.59,7.035
1301538,-0.805,3.22,16.765
,-2.835,4.305,13.58
,-3.99,1.295,9.17
,-2.94,1.75,8.785
1301617,-3.885,3.5,12.635
,-1.4,2.345,24.325
,-1.085,3.7450001,11.585
,-3.78,2.625,-2.66
1301697,-5.005,0.77,0.07
,-5.67,-0.315,3.01
,-5.985,1.89,11.62
,-4.27,2.8,14.945
1301776,-3.15,3.01,7.5950003
,-3.325,-0.665,-2.625
,-4.235,0.455,-0.49
,-5.32,-1.26,0.945
1301855,-5.355,-2.03,2.415
,-4.585,-3.325,6.16
,-1.4,-0.105000004,7.805
,1.75,0.875,10.36
1301934,2.8700001,3.57,14.49
,-0.945,6.3,7.63
,-1.26,3.29,7.805
,3.605,2.625,19.005
