timestamp,x,y,z
819405,-0.315,0.28,1.225
,-1.6800001,0.595,-0.105000004
,-2.94,-0.805,-1.12
,-2.135,-0.63,-1.05
819484,-1.96,1.6800001,-1.505
,-0.875,2.555,-1.54
,1.575,4.76,1.785
,-0.105000004,0.945,3.115
819564,-3.045,-1.4350001,1.645
,-3.29,-0.665,0.91
,-4.025,-0.805,-0.98
,-3.465,-1.4,-2.8
819643,-3.815,0.0,-4.725
,-5.985,0.84000003,-4.41
,-6.895,-1.47,-5.915
,-4.235,0.105000004,-4.165
819722,-0.105000004,1.96,-0.525
,0.0,3.08,-0.035
,-5.25,-0.245,-2.765
,-4.83,-0.175,-1.33
819801,-6.685,-2.31,-2.695
,-5.075,-2.24,-0.98
,-0.91,-2.205,1.54
,-2.38,-2.31,-0.455
819881,-1.715,0.35,-0.35
,-1.6800001,2.24,0.7
,-5.355,-1.785,-2.8
,-7.0,-2.905,-5.39
819960,-4.655,-1.715,-3.15
,-4.48,-0.735,-1.015
,-4.445,0.77,0.455
,-6.265,-1.365,-1.085
820040,-3.5,-1.4,0.595
,-3.85,0.28,0.385
,-6.37,-0.525,-2.765
,-5.845,-0.21000001,-3.115
820119,0.21000001,1.995,2.275
,-1.155,0.84000003,0.98
,-3.85,0.035,-1.82
,-9.8,26.565,-3.43
820198,-9.835,33.11,-2.975
,-7.28,31.675,-1.575
,-4.8650002,18.935,0.35
,-3.465,1.295,-1.6800001
820278,-1.12,-21.35,-1.96
,0.315,-25.305,-2.135
,0.84000003,-11.655,2.17
,-3.64,1.75,-0.07
820357,-4.76,22.26,0.035
,-7.735,31.745,-3.29
,-9.135,14.665,-1.295
,-7.7,-0.735,2.485
820436,-11.9,0.735,0.665
,-8.47,-8.61,1.96
,-19.18,-20.195,-5.285
,-20.93,-29.015,-6.51
820515,-23.695,-32.41,-5.25
,-34.23,-44.065,0.56
,-39.06,-49.14,4.06
,-36.61,-23.205,7.035
820595,-46.83,13.685,8.61
,-28.595,6.965,8.61
,-28.805,-3.7450001,4.655
,-37.485,-5.6,0.98
820674,-105.245,57.68,-22.855
,-116.095,29.05,-16.625
,-96.355,-16.695,-11.165
,-77.735,-33.845,-0.525
820753,-67.9,-63.49,37.66
,-74.865,-48.895,48.545002
,-98.175,-24.815,36.995
,-91.07,-23.73,21.84
820833,-66.815,-13.125,4.48
,-62.65,-3.465,-6.7200003
,-73.325,-3.535,-12.32
,-99.61,0.455,-16.1
820912,-100.73,4.06,-13.335
,-77.56,-4.165,4.69
,-61.88,-15.995,7.945
,-57.155,-17.535,12.11
820992,-64.05,-17.395,8.61
,-77.875,-15.89,-1.925
,-65.485,-22.015,15.155
,-28.49,-31.885,24.64
821071,-20.79,-20.475,16.625
,-45.71,8.925,16.065
,-63.035,27.545,16.905
,-55.65,56.0,14.91
821150,-63.21,52.08,24.325
,-69.37,16.1,54.39
,-36.575,-11.305,54.32
,-19.53,-20.09,35.28
821229,-28.28,-20.475,16.31
,-33.565,-23.205,-0.77
,-35.63,-25.62,-6.44
,-41.58,-35.315,-12.565
821309,-38.22,-38.08,-11.725
,-54.95,-25.97,-5.88
,-67.55,-16.03,-1.96
,-61.285,-9.135,0.105000004
821388,-50.015,-8.68,-2.205
,-35.77,-8.26,-9.03
,-24.255,-9.135,-7.56
,-18.515,-6.09,-8.12
821467,-28.28,8.47,-10.64
,-47.425,25.48,-22.855
,-75.775,32.795002,-24.43
,-87.185,25.55,-21.735
821546,-92.68,6.02,-18.515
,-69.37,-16.345,-14.035
,-44.835,-21.385,-12.6
,-51.94,-14.665,-12.74
821626,-61.95,-7.245,-13.37
,-58.52,-10.955,-10.99
,-67.095,-9.87,-8.785
,-54.88,-2.625,-1.995
821706,-49.105,5.6,2.52
,-63.175,18.69,6.3
,-84.245,20.195,3.85
,-104.3,13.335,0.77
821785,-109.62,-2.17,1.26
,-85.33,-19.285,0.315
,-43.785,-27.615,-7.455
,-40.005,-21.945,-9.52
821864,-44.59,-24.85,-10.78
,-43.54,-23.625,-9.59
,-79.38,2.94,-4.655
,-95.235,17.710001,-3.885
821943,-83.825,18.48,-9.59
,-66.99,13.3,-12.67
,-53.865,9.625,-8.155
,-41.475,3.045,-2.135
822023,-37.345,-4.55,1.26
,-39.69,-10.08,4.69
,-34.545002,-11.41,5.95
,-24.78,2.24,2.66
822102,-29.575,8.785,6.055
,-38.815,14.07,8.96
,-50.715,11.76,12.005
,-66.465004,14.525,16.345
822181,-65.52,15.435,17.15
,-50.225,17.15,13.86
,-53.795002,18.025,15.89
,-62.265,22.155,19.67
822260,-53.97,18.725,19.95
,-30.555,10.57,14.0
,-18.13,14.455,3.115
,-25.515,20.44,2.695
822340,-37.975,28.210001,5.18
,-28.0,28.7,5.6
,-21.56,31.29,7.245
,-20.58,36.33,4.9
822419,-17.395,30.52,-0.595
,-17.36,21.525,-2.415
,-12.53,11.025,0.525
,-7.105,2.45,4.375
822499,-8.4,-1.82,7.35
,-12.67,-0.875,8.96
,-14.56,3.22,8.365
,-11.515,7.4900002,6.895
822578,-7.28,6.475,4.095
,-3.57,3.22,0.84000003
,-5.565,2.625,0.14
,-9.8,-1.4,1.365
822658,-10.99,-7.035,2.31
,-10.99,-9.52,4.13
,-9.415,-8.225,2.59
,-8.33,-4.165,1.54
822737,-6.23,-2.205,2.065
,-5.25,-5.495,2.695
,-2.8,-4.935,-0.175
,-2.59,-1.295,-2.66
822816,0.105000004,3.64,-2.415
,2.625,9.52,1.155
,-1.33,8.925,4.515
,-4.9,2.94,3.255
822895,-8.785,-6.475,0.42000002
,-12.32,-7.735,-0.84000003
,-11.4800005,-4.48,1.365
,-9.345,-0.245,3.85
822974,-6.965,7.105,3.675
,-3.92,11.97,1.505
,-2.8700001,9.205,-0.35
,-4.375,1.365,1.12
823054,-4.34,-6.23,1.4
,-5.215,-9.24,0.665
,-4.55,-7.105,-0.98
,-3.85,-2.485,-0.07
823133,-3.29,-1.12,2.555
,-4.445,-3.29,5.985
,-4.48,-4.725,7.035
,-3.955,-4.9,4.76
823212,-4.2,-2.765,0.385
,-3.045,-1.785,-4.095
,-0.63,-2.59,-5.32
,-2.625,-1.505,-0.63
823291,0.105000004,0.595,3.185
,3.115,-1.82,6.16
,9.03,0.63,9.1
,15.365,0.07,9.1
823371,31.745,4.13,4.55
,42.385,4.305,4.235
,58.065,-2.94,-0.525
,75.285,-6.825,0.175
823451,83.44,-3.99,3.22
,80.01,-0.315,5.425
,74.83,8.925,6.09
,80.115,11.025,4.165
823530,80.675,9.345,2.135
,84.35,6.37,2.8
,79.52,9.52,5.705
,69.895,9.31,7.875
823609,74.48,-4.2,9.275
,80.43,-7.0,8.68
,78.96,-6.055,5.32
,70.875,-0.245,7.385
823689,64.225,17.78,5.67
,62.58,29.4,1.225
,57.05,33.6,-2.1
,67.48,22.575,-4.2
823768,64.61,21.77,0.735
,62.545002,26.11,10.15
,59.395,37.065,7.63
,44.975,33.32,0.105000004
823847,37.905,24.92,-4.305
,26.915,16.87,-6.93
,26.95,2.94,-4.9
,44.345,-5.005,-0.77
823926,51.1,-8.89,-2.765
,74.725,-13.195,-6.79
,47.075,-5.705,-5.18
,31.325,3.43,2.31
824005,34.755,6.545,7.07
,7.4900002,7.98,6.965
,6.685,-2.485,3.99
,18.83,-14.07,0.49
824085,27.02,-16.205,-2.8
,48.265,-15.26,-7.665
,44.765,-11.69,-4.62
,57.61,-12.215,-3.5
824165,64.295,-4.62,0.805
,88.585,-1.295,2.695
,89.04,4.55,2.765
,81.97,0.49,6.3
824244,84.91,-7.35,9.205
,70.77,-12.285,8.12
,53.48,-6.44,8.47
,58.24,-5.145,8.085
824323,72.66,-5.775,5.88
,96.88,-3.85,7.4900002
,93.24,-0.805,6.895
,80.885,-0.77,7.77
824403,88.27,-9.555,9.38
,71.75,-7.07,14.0
,59.08,3.605,18.27
,73.815,7.455,15.47
824482,72.695,10.78,10.36
,55.23,5.67,8.47
,65.065,-15.785,14.455
,68.215004,-15.54,20.895
824561,48.195,-3.045,15.26
,28.035,-0.735,5.25
,16.905,-4.06,3.71
,24.99,-1.47,0.91
824640,35.455,-0.525,5.635
,26.880001,3.885,8.085
,20.265,5.005,12.67
,30.415,1.155,11.76
824720,29.855,-9.52,15.435
,33.565,-20.86,11.515
,39.585,-23.975,5.565
,47.74,-27.125,3.535
824799,45.01,-50.365,-6.37
,13.545,-77.805,-8.015
,46.725,-24.255,-12.74
,37.73,31.29,-10.325
824878,6.195,38.99,10.465
,15.715,0.245,5.285
,31.605,0.42000002,-6.58
,45.15,6.02,-4.06
824958,52.64,8.96,5.04
,50.96,11.165,12.845
,47.32,13.3,18.27
,45.815,9.485,13.615
825037,42.35,6.58,9.38
,24.885,-1.61,6.65
,32.095,-24.955,5.075
,37.8,-41.79,-4.48
825117,43.295002,-15.12,-5.7400002
,25.2,1.61,-5.6
,-7.91,-1.12,-8.715
,5.005,-10.325,-1.75
825196,16.765,-8.715,1.365
,18.515,0.0,4.13
,24.99,9.03,10.15
,13.195,12.11,9.87
825275,6.51,4.375,4.97
,-9.835,-21.91,1.995
,10.36,-15.365,9.765
,17.605,-7.91,16.73
825354,17.325,-12.6,18.06
,21.35,-12.81,14.175
,13.440001,-10.6050005,6.02
,1.33,-5.11,2.73
825434,9.625,-12.32,5.32
,20.79,-6.895,11.165
,21.735,7.105,12.145
,-41.16,-53.83,-5.67
825513,-31.675,-25.305,-17.675
,3.7450001,-10.43,2.31
,0.455,-18.585001,4.235
,-10.57,-15.365,4.515
825592,6.405,-9.625,6.685
,15.190001,7.42,5.6
,8.05,30.1,-0.175
,10.535,41.615,-4.375
825671,15.12,41.685,-5.67
,9.485,24.22,-3.465
,2.415,4.83,-0.98
,6.37,-6.44,0.245
825751,8.085,-2.345,2.975
,15.015,-0.385,5.04
,15.82,-9.45,9.345
,9.625,1.4,1.75
825831,-3.78,-3.15,-7.42
,-6.86,12.32,-10.85
,10.22,3.22,10.745
,1.54,-6.51,4.445
825910,-2.485,-4.025,-0.77
,1.785,-6.125,-0.315
,3.185,-2.135,1.47
,-0.525,2.66,3.955
825989,-0.07,-0.28,4.41
,0.77,2.03,4.095
,-5.53,-4.55,-2.17
,-7.105,-5.88,-2.45
826068,-0.07,0.77,4.305
,2.975,1.225,6.475
,2.66,-1.4,3.7450001
,2.03,-0.84000003,2.52
826148,-1.05,1.19,1.295
,-4.8650002,-2.59,-0.175
,2.1,-2.275,4.27
,0.175,2.415,3.57
826227,-2.1,0.98,-0.105000004
,-1.4,-0.21000001,-1.05
,-5.11,-0.665,-2.03
,0.385,-1.61,2.8
826306,6.125,5.635,6.44
,2.31,2.38,2.135
,5.775,1.82,3.185
,10.15,10.5,9.135
826385,4.725,2.45,3.22
,1.505,0.84000003,-0.805
,-12.46,-0.945,-10.955
,-14.035,-6.405,-13.09
826465,-3.3600001,-1.61,-2.8
,2.065,1.995,2.065
,0.28,-0.21000001,0.63
,-1.89,0.56,-1.785
826544,-8.26,-0.595,-6.195
,-7.945,-2.59,-6.44
,-2.485,-0.805,-2.52
,-1.015,-1.155,-0.945
826624,-1.89,-0.735,-1.4
,-4.48,-2.45,-2.625
,-3.955,-1.575,-1.925
,-6.02,-1.4350001,-3.255
826703,-0.98,-1.19,-0.14
,-1.54,-1.505,-0.595
,-5.845,-2.205,-3.395
,-1.4,-0.07,2.03
826783,0.07,1.54,3.605
,-2.52,-1.54,1.05
,-0.98,-0.665,2.52
,-1.4,-1.925,1.4350001
