timestamp,x,y,z
1649450,-0.09571633,0.047858164,-9.681706
,-0.09093051,0.023929082,-9.672134
,0.20100428,-0.12443122,-9.662563
,-0.12203831,0.035893623,-9.684099
1649529,-0.08614469,0.055036888,-9.667349
,-0.0598227,0.021536173,-9.684099
,-0.067001425,0.067001425,-9.679314
,-0.08135887,0.06221561,-9.662563
1649609,-0.11246668,0.052643977,-9.674527
,-0.09810923,0.033500712,-9.672134
,-0.09332342,0.07418015,-9.705635
,-0.057429794,0.009571632,-9.621883
1649688,-0.07418015,0.021536173,-9.66017
,-0.045465253,0.040679436,-9.542917
,3.5103962,0.22014755,-10.177038
,-1.222776,0.37090075,-10.160288
1649767,1.1892753,-0.019143265,-8.48286
,0.004785816,-0.7441944,-8.511574
,-2.1823323,-0.5527618,-9.128944
,0.7705164,0.09571633,-12.117686
1649846,2.9360983,-1.1079165,-4.36945
,0.5647263,-0.48097453,-8.884868
,-1.4788172,0.5934412,-8.686256
,2.3043704,0.28236315,-10.411543
1649926,0.6269419,-0.45704544,-4.718815
,0.47618872,-0.6556568,-5.9296265
,0.31825677,-0.8901618,-6.905933
,2.1560102,0.32064968,-8.128709
1650005,-0.68915755,0.5431901,-11.306491
,-0.49054617,0.3804724,-14.010477
,-1.849718,-0.19621846,-11.234703
,1.2897775,0.6460852,-12.038721
1650084,1.0911661,-0.045465253,-7.138045
,1.251491,-0.07657306,-7.2289753
,0.045465253,0.3613291,-14.170802
,-1.6989647,-0.7896597,-8.971012
1650164,-1.2012398,-1.2730271,-8.982977
,1.8808258,0.16032484,-13.125101
,-0.24407662,-0.30389932,-7.0160065
,-0.047858164,-0.56711924,-5.568297
1650244,-0.8805902,0.4115802,-11.481173
,-0.43550926,1.0289505,-10.220111
,-0.5934412,0.6580497,-9.839638
,-0.6676214,0.5360114,-12.464658
1650323,-1.7803236,1.8305746,-16.441671
,-0.9451987,0.416366,-8.528324
,1.2825987,-2.0267932,-3.1203523
,-0.571905,0.4785816,-12.897775
1650402,0.20339718,0.09093051,-7.4826236
,-0.8159817,0.78248096,-12.636948
,-1.6104271,0.20339718,-10.875768
,2.132081,-0.5838696,-10.966698
1650481,-1.639142,-0.22971918,-7.286405
,0.3254355,0.40679437,-10.710656
,0.8446966,0.13160995,-10.325398
,-1.117488,0.10050214,-9.136123
1650560,0.12443122,0.28236315,-9.779816
,0.72744405,-0.14118157,-9.806137
,-0.7441944,0.63651353,-11.564925
,0.16032484,1.4692456,-15.9678755
1650640,-0.39482984,-0.37568656,-6.925076
,-1.4429235,0.009571632,-9.954497
,-1.2825987,-0.20339718,-9.15766
,-0.4115802,-0.571905,-7.5328746
1650719,1.3854938,-0.13160995,-9.832459
,-2.263691,0.598227,-12.304334
,0.21536173,0.6269419,-10.413936
,-0.71787244,0.74658734,-9.765458
1650798,-0.4737958,-0.10050214,-9.021263
,0.09093051,0.48336744,-11.5314245
,-0.9834852,0.13160995,-10.215324
,0.19621846,0.4498667,-10.68912
1650877,-0.6101916,-0.24886245,-8.592933
,-0.885376,-0.22971918,-9.416093
,-0.21057591,-0.110073775,-9.619491
,-1.304135,0.16271774,-9.571632
1650957,-0.12443122,0.047858164,-9.662563
,-0.13400285,0.014357449,-9.69367
,-0.040679436,0.002392908,-9.66017
,-0.12682413,-0.002392908,-9.674527
1651037,-0.0598227,0.06460852,-9.657777
,-0.07657306,0.0598227,-9.645813
,-0.045465253,0.035893623,-9.667349
,-0.107680865,0.023929082,-9.674527
1651116,-0.25125536,0.071787246,-9.684099
,-0.035893623,0.009571632,-9.696064
,-0.17946811,0.07418015,-9.698457
,-0.2392908,0.10289505,-9.636241
1651195,-1.0792016,0.33979294,-7.3893003
,-0.052643977,0.49293905,-12.505338
,0.21296883,0.08375178,-12.32587
,0.7992313,0.03828653,-11.849681
1651274,-0.9140909,0.39961565,-9.038013
,0.46901,-0.12682413,-10.18661
,-1.5841051,-0.11246668,-7.889418
,-0.16511066,0.1172525,-7.97317
1651354,-2.0124357,-0.6101916,-4.1038375
,-0.22732627,0.15075321,-11.143773
,-0.42354473,-0.057429794,-12.837952
,-0.93562704,-0.2656128,-4.656599
1651433,-0.49533197,-0.8255533,-1.926291
,1.1294526,1.3208853,-10.7298
,-0.416366,0.42593765,-11.9645405
,1.0433079,-0.20100428,-7.683628
1651512,0.28714898,-0.5336185,-5.362507
,-0.16750357,0.72744405,-11.368707
,2.1225095,0.42115182,-6.8389316
,-2.184725,0.54558307,-12.725485
1651591,-1.7013576,-0.30389932,-7.853524
,1.9478272,-0.6532639,-8.937511
,-2.4790528,-0.33979294,-3.2615337
,2.0411506,-0.48097453,-10.090894
1651671,1.0528796,-0.002392908,-9.94014
,1.7492158,0.052643977,-7.733879
,3.6061125,0.21057591,-13.730507
,1.6367491,-0.46661708,-12.569946
1651750,1.1485959,0.17707519,-13.842974
,0.2368979,0.5312256,-9.416093
,-0.98109233,-0.07896597,-6.613998
,-1.277813,-0.14118157,-8.308177
1651830,-0.69872916,0.37807947,-8.801116
,0.2991135,-0.10050214,-10.397185
,-0.07657306,-0.7059079,-11.789858
,-1.1246668,-0.014357449,-4.611134
1651909,0.7202653,-0.48097453,-9.0571575
,2.5891266,0.8997334,-13.565396
,-0.2967206,0.234505,-8.61447
,2.4000869,-0.208183,-16.065985
1651989,-0.016750356,1.5841051,-15.486901
,1.2730271,0.11485959,-6.9155045
,0.69155043,0.033500712,-11.229918
,-1.6798215,-0.06460852,-6.50871
1652068,-1.2610626,0.6652284,-9.2988405
,1.2538838,-0.09571633,-9.983212
,2.00765,-0.028714897,-9.327556
,-1.3711363,0.23211208,-9.633848
1652147,-0.859054,-0.028714897,-6.798252
,1.2682413,-0.11485959,-9.466345
,2.4407663,0.1483603,-11.533817
,-1.8545038,0.4091873,-10.287112
1652226,0.32064968,0.9786994,-12.866667
,-0.28714898,0.62454903,-9.463951
,1.1414171,0.12443122,-10.339756
,0.12203831,-0.08135887,-9.712814
1652305,-0.09571633,0.033500712,-9.662563
,-0.10050214,0.016750356,-9.686492
,-0.12921704,0.004785816,-9.669742
,-0.088537596,0.011964541,-9.650599
1652385,-0.11246668,0.047858164,-9.686492
,-0.11246668,0.031107806,-9.684099
,-0.07418015,0.033500712,-9.669742
,-0.071787246,0.035893623,-9.710421
