timestamp,x,y,z
1656827,-1.855,-0.875,0.315
,-2.94,-0.63,0.14
,-4.97,-0.42000002,0.49
,-3.815,-0.735,0.385
1656907,-2.31,-0.84000003,3.08
,-0.315,-0.805,1.365
,-0.875,-0.7,0.385
,-1.645,-0.84000003,0.245
1656986,-2.59,-0.77,0.175
,-3.5,-0.7,0.315
,-3.57,-0.805,1.26
,-2.8700001,-0.84000003,2.38
1657065,-1.89,-0.77,0.945
,-0.42000002,-0.875,0.315
,0.455,-1.015,0.35
,-1.33,-0.805,0.42000002
1657144,-2.31,-0.63,0.28
,-2.135,-0.735,0.385
,-1.855,-0.875,0.315
,-2.03,-0.875,0.28
1657224,-1.89,-1.12,0.385
,0.035,-2.38,-6.965
,-0.7,-1.995,-2.17
,-1.82,-1.26,0.84000003
1657303,1.6800001,-8.995,4.515
,7.35,-15.33,-6.7200003
,0.63,2.38,-1.015
,-4.13,5.04,4.62
1657382,0.91,-10.325,28.28
,-0.28,2.8700001,6.825
,-2.555,-0.77,12.565
,-1.6800001,-5.005,12.565
1657461,-1.82,-8.995,15.365
,-1.085,0.315,10.185
,-3.78,-0.84000003,9.765
,-1.925,-1.505,-10.43
1657541,-4.76,-0.385,-6.65
,-4.27,-4.06,4.55
,-2.59,-6.265,-11.165
,-6.6150002,6.895,-2.52
1657621,-0.77,0.84000003,7.385
,-3.71,-4.69,8.61
,-2.8,-4.305,11.41
,-3.465,-6.65,-10.745
1657700,-1.085,-1.96,-22.68
,-8.8550005,4.97,-14.14
,-3.15,-1.82,-13.65
,-5.46,-9.03,-9.485
1657779,1.33,-3.5,-3.325
,-1.715,-3.885,-8.155
,-3.7450001,-7.245,-6.37
,-2.73,-7.14,-11.2
1657858,-3.15,-5.81,-5.775
,-0.63,-4.76,-1.575
,-4.55,-0.035,-4.13
,-0.385,3.57,-7.84
1657938,-2.835,-0.21000001,-3.85
,-4.445,1.645,-3.605
,-2.8700001,-5.775,-6.3
,-3.08,0.245,-7.945
1658017,-4.095,-4.935,3.43
,-4.06,-3.15,5.39
,-3.15,-5.005,-2.31
,-0.595,-2.24,-4.55
1658096,-3.22,1.855,-2.31
,-4.41,6.055,-0.21000001
,-1.82,3.64,4.935
,-2.835,-1.505,-6.23
1658175,-2.59,-0.56,-11.865
,-5.215,0.84000003,-3.535
,-3.57,3.01,8.225
,-2.31,-3.43,4.76
1658254,-1.19,-2.415,-3.115
,-2.975,-2.765,-1.19
,-5.705,0.385,-3.3600001
,-3.535,-0.91,9.975
1658334,-0.595,-3.3600001,6.3
,-0.665,-2.135,10.535
,-1.96,0.945,4.935
,-1.12,4.375,6.055
1658414,-3.465,5.04,6.16
,-5.075,7.035,4.13
,-3.255,1.33,3.955
,-1.645,0.385,1.995
1658493,-3.185,1.925,0.49
,-4.69,3.255,0.14
,-2.835,0.21000001,0.175
,-2.24,-0.945,0.105000004
1658572,-2.8,-0.385,0.07
,-2.765,-0.175,0.245
,-2.905,-0.07,0.21000001
,-3.115,0.0,0.245
1658652,-3.22,0.105000004,0.105000004
,-3.115,0.035,0.105000004
,-3.22,-0.77,7.63
,-1.645,-2.275,7.735
1658731,-2.8,-0.14,2.695
,-3.115,-1.33,-3.3600001
,2.03,-2.52,-1.365
,6.335,-0.735,-2.31
1658810,-6.335,2.485,-11.27
,-10.045,-0.21000001,2.24
,-4.9,-2.59,6.755
,-11.725,-1.225,-7.4900002
1658889,-7.035,3.3600001,-12.67
,-6.37,3.7450001,-8.225
,10.78,-1.26,10.85
,10.22,-3.64,6.825
1658969,-3.92,1.4350001,-9.87
,-10.045,2.31,6.965
,-17.955,8.085,12.25
,-0.735,7.665,1.995
1659048,-2.205,1.785,-4.095
,-3.605,1.085,0.245
,-2.24,1.47,11.55
,-0.28,3.395,-11.76
1659127,-1.05,2.065,-13.02
,-4.305,1.855,-0.84000003
,-17.43,6.44,3.255
,-5.39,1.085,0.175
1659207,-2.345,-1.575,-2.31
,-5.25,5.7400002,-4.585
,-6.16,3.15,-9.24
,-7.945,-2.065,-1.12
1659286,-11.935,2.52,3.15
,-1.12,1.61,11.935
,-3.64,-3.325,9.765
,-4.025,-1.6800001,2.135
1659366,-1.4,-3.115,-0.875
,-3.15,-2.31,21.98
,1.33,-1.015,28.105
,-2.03,-4.795,8.225
1659445,-9.695,-0.14,-7.21
,-6.23,2.66,-0.98
,1.4350001,2.03,5.32
,1.015,-0.49,-4.935
1659524,-0.49,0.56,-8.89
,0.805,-1.4,-1.61
,-6.79,1.61,-2.485
,-0.42000002,-0.7,-3.255
1659603,-4.655,-4.305,3.3600001
,-4.165,-2.94,-3.605
,0.77,-3.185,-4.445
,-7.7,0.28,5.7400002
1659683,-8.295,-0.175,-1.75
,-3.78,-1.015,-1.47
,-3.22,-0.84000003,-0.035
,-4.375,-0.77,0.21000001
1659762,-3.99,-0.805,0.035
,-2.8700001,-0.945,0.0
,-2.52,-0.945,0.14
,-2.415,-0.77,0.175
1659841,-2.345,-0.7,0.735
,-1.925,-0.77,0.49
,-1.925,-0.77,0.21000001
,-1.505,-0.665,0.35
1659920,-1.365,-0.735,0.14
,-2.695,-0.7,0.14
,-3.045,-0.56,0.105000004
,-2.73,-0.63,0.175
