timestamp,x,y,z
465865,-0.21000001,0.105000004,-0.49
,-1.12,-0.805,0.245
,-2.555,-0.84000003,0.455
,-3.255,-0.665,0.42000002
465944,-3.395,-1.75,0.91
,-3.115,-1.995,1.085
,-2.205,-0.735,0.07
,-1.225,-0.07,-0.98
466024,-0.945,-1.05,-0.455
,-2.03,-2.45,0.42000002
,-3.22,-1.855,1.365
,-2.8,-1.995,1.89
466103,-1.925,-1.855,2.345
,-0.245,-3.185,2.205
,0.525,-1.995,1.645
,1.47,-0.84000003,0.105000004
466182,0.805,-0.49,-0.21000001
,-0.91,-0.07,0.595
,-0.945,-0.14,1.155
,-0.42000002,-0.735,1.855
466261,-0.315,-0.455,2.135
,0.385,0.875,1.96
,0.665,0.0,2.03
,-0.35,0.84000003,2.345
466341,-1.12,0.665,2.135
,-1.12,0.07,1.96
,0.035,-0.735,1.75
,1.295,0.21000001,0.84000003
466420,1.61,-0.175,-0.28
,1.19,-0.175,-0.14
,0.56,0.525,0.84000003
,1.785,0.525,0.91
466500,4.235,-0.91,0.21000001
,2.8,-0.735,-0.035
,3.99,-0.07,-0.175
,-9.135,3.99,-13.335
466579,-22.12,13.195,-14.1050005
,-11.69,5.11,-1.26
,3.71,-1.96,7.805
,17.64,-4.725,8.295
466659,19.425,-6.405,6.895
,7.175,-5.355,3.64
,-2.835,-3.99,0.21000001
,-6.545,-3.85,-0.42000002
466738,-5.7400002,-3.7450001,-0.21000001
,-1.4350001,-1.785,-0.91
,1.19,-3.045,-1.96
,1.785,-4.375,-1.19
466817,1.645,-6.965,-2.8700001
,1.155,-7.315,-0.455
,-0.42000002,-6.825,5.565
,-3.22,-8.925,7.105
466896,-6.6150002,-7.735,4.585
,-8.82,-10.22,1.96
,-10.185,-18.34,1.645
,-14.35,-29.785,2.765
466976,-17.92,-35.245,4.235
,-17.78,-41.09,3.535
,-12.3550005,-50.82,1.96
,-4.55,-62.23,0.035
467055,0.0,-67.865,-0.665
,-1.4350001,-69.37,0.0
,-5.81,-59.255,2.135
,-7.42,-46.095,1.925
467134,-9.065,-72.555,-3.185
,-3.535,-86.415,-0.21000001
,0.665,-85.015,0.91
,0.035,-70.77,1.715
467213,-4.725,-60.165,0.07
,-8.33,-54.775,-2.275
,-7.14,-51.345,-3.185
,-4.935,-50.085,-2.765
467292,-3.535,-44.065,-1.6800001
,-3.22,-45.36,-0.875
,-4.41,-53.585,-0.21000001
,-7.525,-70.525,-0.91
