timestamp,x,y,z
31660,-1.1031306,-0.6389065,10.155502
,-1.1557746,-0.703515,10.1339655
,-1.2897775,-0.9547703,10.464187
,-1.2347406,-0.5934412,9.73435
31739,-0.99784267,-0.77530223,9.67692
,-1.0433079,-0.8877689,9.655384
,-1.0193789,-0.8877689,9.710421
,-0.8805902,-1.0289505,9.755886
31818,-1.0074143,-0.9164838,9.638634
,-0.9858781,-0.95955616,9.901854
,-0.9284483,-0.94280577,9.813316
,-1.040915,-0.6867646,9.751101
31898,-1.2012398,-0.6125845,9.873138
,-1.1031306,-0.84948236,10.066964
,-1.0863802,-0.7418015,9.925783
,-0.9858781,-0.83751786,9.7917795
31977,-1.0169859,-0.78248096,9.763065
,-0.99066395,-0.93562704,9.82528
,-0.99784267,-1.0002356,9.894675
,-1.0648441,-0.8710185,9.86596
32056,-1.0887731,-0.87580436,9.8922825
,-1.2371335,-0.75855184,10.0334635
,-1.0480938,-0.859054,9.47113
,-1.1366314,-0.8638398,9.913818
32135,-1.2419193,-1.0122001,9.856388
,-1.1007377,-1.0074143,9.786994
,-0.9763065,-1.0289505,9.624276
,-0.9691278,-1.0696299,10.064571
32214,-1.0002356,-1.0361292,9.887496
,-1.0576653,-0.9834852,9.621883
,-1.0169859,-0.9691278,9.674527
,-1.0241647,-0.68915755,9.490273
32294,-1.0289505,-0.885376,9.810924
,-0.93084127,-1.0289505,9.918604
,-1.0624512,-0.7681235,10.177038
,-1.0289505,-1.0289505,9.863567
32374,-0.9954498,-1.0265576,9.949712
,-0.93562704,-1.0026284,9.875532
,-0.96434194,-1.0241647,9.856388
,-0.9451987,-1.0433079,9.935354
32453,-0.98109233,-0.84948236,9.662563
,-1.0265576,-0.8901618,9.88271
,-1.0433079,-0.90691215,9.822887
,-0.94280577,-1.0576653,9.827674
32532,-0.99066395,-0.9188767,9.987998
,-0.9858781,-0.8877689,9.645813
,-0.9739136,-0.9212696,9.86596
,-0.9786994,-0.93323416,9.502238
32612,-0.9547703,-1.117488,10.114822
,-0.9739136,-1.014593,9.784601
,-0.80641,-1.119881,9.743921
,-0.81358874,-1.1294526,9.971248
32691,-0.98109233,-0.99066395,9.6003475
,-0.8351249,-1.196454,10.105251
,-0.8566611,-1.0839874,9.810924
,-0.9475916,-0.9164838,9.758279
32770,-0.9571632,-0.99784267,9.858782
,-0.8518753,-1.0217718,9.80853
,-0.9212696,-1.0624512,9.98082
,-0.9954498,-0.97152066,10.028678
32849,-0.95237744,-0.93084127,9.815709
,-0.99066395,-0.89494765,9.930569
,-1.0026284,-0.885376,9.966462
,-0.98109233,-0.72983694,9.844424
32928,-0.8542682,-1.1988469,10.526402
,-0.39004403,-1.4501023,10.457008
,-0.6532639,-1.4022441,10.555118
,-1.1940612,-1.3878866,10.315826
33008,-1.2634555,-1.2419193,10.100465
,-1.1079165,-1.5386399,10.514439
,-1.1414171,-1.5577831,10.253612
,-1.2754201,-1.433352,10.337363
33087,-1.3113136,-1.5386399,10.165073
,-1.3878866,-1.4788172,10.339756
,-1.4166015,-1.5984626,10.0932865
,-1.0169859,-1.8186102,10.358899
33166,-0.911698,-1.8880045,10.526402
,-0.832732,-1.9885067,10.629298
,-1.0792016,-1.7540016,10.442651
,-1.0959519,-1.9238981,10.629298
33246,-1.1031306,-1.7922882,10.679549
,-1.0122001,-2.0124357,10.495295
,-0.72505116,-2.0722585,10.521617
,-1.1031306,-1.7372513,10.509652
33326,-0.98109233,-1.5194967,10.272755
,-0.7992313,-1.5793194,9.564454
,-0.4091873,-1.6822144,9.818102
,-0.5264398,-1.7755378,9.968855
33405,-0.8997334,-1.5721406,10.239254
,-0.8638398,-1.4477094,9.94014
,-0.55036885,-1.8138243,9.901854
,-0.5312256,-1.6463208,9.715207
33484,-0.8734115,-1.1844895,8.944691
,-1.1820966,-1.1390243,9.526167
,-1.0863802,-1.2658484,10.531189
,-0.7226582,-1.4620669,10.062179
33563,-0.3517575,-1.9550059,9.985605
,-0.72983694,-1.4548881,9.925783
,-1.1892753,-1.0744157,9.425665
,-1.3902797,-0.7059079,10.796802
33642,-1.040915,-0.9212696,9.959284
,-0.45704544,-1.3567789,9.928176
,-0.6843717,-0.9499845,10.232075
,-0.9093051,-0.5814767,9.114587
33722,-0.46422416,-1.0002356,10.526402
,-0.06460852,-1.170132,10.30147
,0.12203831,-1.0528796,9.535739
,0.22014755,-1.2012398,9.667349
33801,0.040679436,-0.90691215,9.416093
,-0.13400285,-0.6867646,10.07175
,-0.0071787243,-0.7106937,9.88271
,0.023929082,-0.83751786,10.349327
33880,0.16511066,-0.885376,9.533346
,0.22971918,-0.5838696,9.43763
,0.51208234,-1.014593,10.169859
,0.31107804,-0.4498667,9.5405245
33959,0.45943835,-0.5623334,9.712814
,0.75615895,-0.9954498,9.54531
,0.47140288,-0.36372203,9.303627
,0.22014755,-0.31825677,8.942298
34039,-0.42593765,-0.0598227,10.122002
,-0.45465255,-0.22014755,10.346934
,-0.15075321,-0.72983694,10.047821
,0.033500712,-1.4524952,10.270362
34119,-0.15075321,-0.57429796,9.667349
,-0.3613291,-0.4091873,9.798959
,-0.5623334,-0.13878867,9.786994
,-0.33979294,-0.5288327,10.14593
34198,-0.5599405,-0.14118157,9.712814
,-1.0576653,0.36611494,9.712814
,-0.93323416,0.0071787243,10.552725
,-0.80880296,-0.040679436,10.267968
34277,-0.22971918,-0.72505116,10.165073
,-0.1483603,-0.5264398,9.968855
