timestamp,x,y,z
53869,-5.075,0.98,3.71
,-8.05,2.24,2.45
,-10.465,6.3,1.19
,-5.915,8.995,1.085
53948,-3.5,8.015,1.925
,-7.7,2.835,3.08
,-6.93,-1.295,2.38
,-3.535,-1.82,2.205
54028,-1.925,1.645,2.555
,1.925,1.26,2.555
,0.42000002,-0.735,2.94
,-3.08,-1.295,2.73
54107,-5.18,-0.63,2.38
,-6.09,0.14,2.765
,-6.3,-0.07,3.325
,-7.735,-1.365,4.025
54186,-6.23,-1.295,3.255
,-4.375,-0.105000004,2.03
,-8.75,1.645,2.38
,-9.59,-0.35,3.7450001
54265,-9.765,-3.85,5.285
,-9.485,-4.375,5.425
,-5.495,-2.17,2.345
,-2.485,1.645,1.505
54344,-6.65,2.8700001,2.73
,-12.495,0.77,4.585
,-20.3,0.21000001,5.565
,-12.915,0.455,0.945
54424,-11.375,3.85,0.175
,-8.26,2.59,3.08
,-14.525,1.05,4.48
,-6.58,-2.205,0.805
54503,0.98,-1.855,-1.89
,-7.21,2.135,-3.78
,-4.55,0.77,-1.225
,-2.52,-2.24,2.485
54583,-1.505,-2.52,2.38
,3.325,-1.47,0.28
,5.25,-2.66,0.91
,7.07,-5.005,1.995
54662,8.05,-5.32,1.89
,7.28,-4.165,1.12
,11.095,-4.9,-0.49
,8.505,-6.3,-0.175
54742,9.065,-7.455,-0.245
,8.715,-6.37,-0.525
,9.205,-4.55,-1.085
,13.055,-3.7450001,0.0
54821,14.1050005,-3.395,1.61
,9.38,-4.13,3.955
,4.34,-5.11,5.46
,-0.035,-2.59,3.465
54900,4.795,-1.33,1.47
,4.62,-0.735,0.245
,2.065,-1.505,0.14
,-1.085,-3.71,0.07
54979,-6.23,-4.445,1.61
,-7.105,-3.045,1.75
,-5.53,-1.785,0.385
,-3.7450001,-1.505,0.035
55058,8.33,-4.06,-1.19
,6.965,-3.64,0.07
,4.655,-4.27,1.645
,0.385,-1.75,2.135
55138,0.56,0.91,1.785
,1.015,-0.56,1.75
,-5.25,0.805,2.065
,-1.47,1.47,5.145
55217,-0.595,5.775,4.62
,4.585,3.29,4.62
,3.255,2.345,4.27
,1.54,-0.14,2.66
55296,2.8,-2.24,-0.385
,2.485,-2.485,-1.12
,0.805,-2.8,-0.77
,-0.595,-3.15,0.0
55375,-1.575,-2.625,0.0
,0.56,-2.275,-1.295
,-0.315,-0.665,-1.54
,-2.485,2.555,-0.945
55455,-4.62,5.6,0.63
,-3.22,6.335,1.82
,0.175,4.27,2.52
,-3.325,0.595,2.8
55535,-7.245,-2.485,1.925
,-7.455,-1.785,1.33
,-4.2,-0.63,0.98
,-2.345,0.875,0.49
55614,-4.655,2.38,-2.975
,-7.735,2.135,-3.71
,-11.935,0.175,-2.8700001
,-3.99,-2.695,-3.045
55693,-0.735,-2.66,-2.905
,1.54,-3.395,-3.92
,2.905,-3.01,-2.8
,1.925,-3.115,-0.455
55772,3.99,-6.44,-0.595
,5.355,-8.295,-1.61
,-2.625,-7.56,-1.61
,4.935,-10.71,-0.665
55852,4.2,-6.195,-0.63
,-2.52,-0.77,-0.105000004
,-5.215,1.155,2.625
,-9.835,1.715,3.64
55931,-14.385,0.91,2.835
,-21.245,2.695,2.38
,-12.425,1.47,1.19
,-14.49,1.54,1.96
56010,-9.625,1.365,1.365
,-7.42,4.935,-2.73
,-4.83,4.445,-0.56
,-2.695,2.345,3.045
56089,4.34,1.82,2.905
,2.695,3.185,2.73
,3.185,0.77,1.365
,-0.175,0.805,0.84000003
56169,-0.595,0.105000004,0.28
,-4.27,1.47,0.56
,-1.295,1.05,0.28
,5.425,-1.75,-0.91
56249,-5.985,-1.365,-0.91
,-6.265,0.42000002,-0.315
,-7.63,2.205,0.525
,-4.48,0.28,1.96
56328,-7.77,0.28,2.275
,-1.505,-2.38,2.205
,-4.2,-2.625,3.43
,-3.045,-2.1,3.99
56407,-3.185,-2.415,2.31
,-4.095,-3.535,-0.35
,-12.67,-1.995,-2.205
,-11.165,-0.385,-1.855
56486,-2.555,-1.6800001,0.42000002
,3.64,-4.8650002,3.5
,3.815,-6.09,5.25
,1.715,-5.635,4.62
56566,0.385,-7.385,4.2
,3.5,-9.17,4.445
,13.895,-7.84,3.64
,18.025,-2.8,2.345
56645,19.775,-4.55,0.735
,16.38,-10.325,0.63
,9.38,-10.99,3.115
,-4.62,-7.455,3.3600001
56724,-10.08,-3.7450001,4.795
,-20.86,-0.7,5.565
,-17.85,-3.15,5.075
,-13.755,-6.02,4.34
56803,-6.16,-6.79,4.025
,-12.18,1.4,3.64
,-15.75,2.66,4.585
,-12.25,-2.905,4.445
56883,-5.95,-5.88,2.835
,-9.8,-2.66,1.54
,-5.53,-2.485,3.57
,-3.885,1.505,4.795
56962,2.66,-1.4,2.94
,4.27,-7.035,1.365
,-3.7450001,-9.17,-0.42000002
,-1.575,-8.015,-1.12
57041,4.69,-5.53,0.735
,1.995,-0.175,2.03
,-4.34,-0.665,1.225
,-11.97,-1.925,1.365
57121,-4.655,-3.675,1.61
,-8.82,0.77,2.905
,-18.48,3.185,4.515
,-20.16,5.88,5.495
57200,-20.055,7.385,6.51
,-22.575,8.05,7.91
,-3.3600001,7.5950003,8.26
,12.18,6.755,8.19
57280,14.56,3.605,7.735
,10.15,1.855,6.475
,2.24,1.575,4.935
,-5.25,1.225,3.85
57359,1.75,-3.43,2.03
,1.295,-0.875,1.61
,-1.33,-0.56,2.135
,-7.175,-3.43,2.415
57438,-11.27,-1.54,-0.385
,-12.11,-0.07,-0.875
,-10.43,0.63,0.035
,0.63,-3.815,0.665
57517,-5.915,-7.805,-0.91
,-7.175,-9.485,-3.535
,-8.68,-4.445,-4.585
,-4.095,-2.415,-2.555
57597,-1.855,-5.215,-1.365
,-0.56,-8.54,-2.8
,1.6800001,-9.625,-3.64
,7.91,-8.645,-2.415
57676,18.48,-6.44,1.47
,25.515,-4.655,4.585
,17.255,-5.7400002,4.97
,7.525,-6.475,2.555
57755,-2.135,-7.245,0.245
,-5.81,-8.75,-0.14
,-6.195,-8.085,2.8700001
,2.45,-6.44,6.685
57834,2.1,-3.78,6.23
,1.47,-1.54,3.64
,2.065,-3.3600001,1.785
,7.245,-6.055,1.4350001
57914,4.655,-3.99,1.365
,7.455,-2.695,1.855
,9.835,-1.75,3.01
,5.915,-2.345,3.08
57994,3.115,-4.62,1.12
,1.645,-2.695,-0.735
,4.795,0.0,0.315
,9.17,0.875,2.415
58073,5.53,3.045,3.64
,6.195,0.77,1.995
,2.8700001,-1.05,0.63
,-1.61,1.82,2.205
58152,-0.49,0.385,3.395
,-4.795,1.19,3.955
,-7.77,1.89,3.675
,-10.255,1.155,2.625
58231,-13.265,1.4350001,4.585
,-3.29,0.7,8.295
,4.06,-1.085,8.89
,2.625,-4.13,6.58
58311,3.3600001,-3.885,4.935
,3.22,-1.715,4.725
,2.24,-0.385,4.725
,4.06,-1.75,4.34
58390,-0.63,-1.12,1.54
,-7.035,-3.64,-2.17
,-1.6800001,-5.915,-2.765
,2.625,-2.625,-2.275
58469,2.485,0.175,-0.77
,4.62,0.245,1.155
,7.0,0.77,1.96
,10.08,-0.07,2.03
58548,10.99,-1.995,2.24
,7.07,-2.8,2.205
,6.7200003,-1.575,2.345
,6.965,0.245,2.8700001
58627,5.6,1.33,2.485
,2.205,0.7,0.875
,2.17,1.26,-0.35
,6.755,-0.035,0.315
58707,10.5,-1.575,1.61
,11.4800005,-1.61,1.96
,4.41,0.385,1.575
,5.32,-0.595,1.365
58787,6.265,-1.015,1.365
,4.2,-6.23,-0.63
,-1.05,-6.475,-3.08
,-0.875,-8.05,-3.85
58866,-0.7,-7.42,-3.5
,-5.005,-4.55,-2.73
,-5.005,-1.505,-2.03
,-3.7450001,-2.205,-1.085
58945,-1.05,-5.46,-1.47
,-4.06,-4.585,-2.17
,-0.385,-6.265,-2.24
,-5.11,-6.37,-2.8
59025,-6.37,-7.91,-1.4350001
,-3.5,-9.835,-1.295
,-5.915,-9.135,-1.505
,0.035,-6.475,-1.61
59104,0.805,-1.6800001,0.0
,0.63,-2.24,1.33
,0.385,-3.01,0.455
,-3.955,-2.345,-2.45
59183,-11.06,-1.505,-4.27
,-3.885,-1.26,-1.89
,0.525,1.015,0.14
,4.235,1.82,-0.525
59262,0.77,4.76,-4.06
,0.945,4.34,-4.9
,4.375,4.725,-2.835
,6.51,4.97,-0.875
59341,4.06,5.705,-0.945
,2.975,4.13,-1.505
,5.075,3.115,-2.8700001
,3.01,3.395,-6.51
59421,-1.19,2.555,-8.225
,-0.875,2.905,-7.5950003
,2.1,3.01,-5.215
,3.57,3.08,-2.8700001
59500,5.005,3.185,-1.715
,4.515,2.52,-1.645
,0.7,2.1,-2.45
,1.89,0.42000002,-1.785
59580,-0.28,-2.765,-1.715
,-4.375,-8.61,-1.995
,-8.19,-7.42,-1.715
,-13.02,-0.245,0.665
59659,-5.46,-0.35,6.685
,-10.08,-1.61,6.475
,-16.73,-3.605,3.045
,-14.49,-3.3600001,0.56
59739,-13.335,-0.945,-0.385
,-8.995,1.575,-0.805
,-2.765,1.575,-0.665
,-2.345,0.0,-0.98
59818,-1.12,-4.305,-1.295
,-0.84000003,-6.09,-1.26
,2.135,-4.41,0.105000004
,3.185,-1.505,1.05
59897,4.725,-2.45,2.205
,1.61,-7.14,1.085
,-0.77,-8.715,-1.715
,-2.94,-5.88,-2.31
59976,2.415,-3.325,1.645
,5.355,-3.43,4.305
,1.925,-7.385,2.345
,2.52,-8.75,0.21000001
60056,1.96,-6.685,-1.61
,0.315,-3.535,-1.785
,4.375,-1.89,-0.14
,0.385,-7.315,-1.575
60135,-7.315,-11.725,-5.46
,-8.4,-10.395,-6.79
,-4.655,-2.31,-4.48
,6.09,3.815,0.42000002
60214,6.09,9.17,2.59
,2.52,6.125,0.49
,1.96,5.075,-0.07
,3.99,8.505,0.945
60293,3.3600001,8.575,1.75
,1.995,4.83,1.645
,4.06,1.365,2.555
,4.725,3.955,2.975
60373,5.18,6.755,3.15
,6.195,5.985,2.45
,2.8700001,3.535,0.105000004
