timestamp,x,y,z
49824,-0.84000003,-0.84000003,-0.735
,-2.8700001,-0.21000001,0.105000004
,-5.705,0.91,0.84000003
,-7.14,1.015,1.085
49903,-10.955,0.385,1.75
,-17.185,0.525,2.8
,-12.565,0.665,2.24
,-20.895,4.34,0.56
49982,-23.625,7.735,0.49
,-23.24,16.17,2.8700001
,-37.765,30.275,-0.98
,-50.89,32.865,-4.76
50061,-56.525,19.74,-5.39
,-73.08,9.03,-1.925
,-70.035,8.715,2.905
,-43.785,7.035,2.1
50141,-46.48,-3.605,-2.275
,-80.71,-16.38,-10.08
,-99.785,-35.28,-12.18
,-103.46,-34.475,-12.95
50220,-68.11,-7.63,-14.455
,-23.555,4.69,-17.710001
,-4.935,-9.065,-20.685
,-0.98,-19.67,-23.485
50299,8.645,-17.815,-25.55
,30.03,-11.55,-19.67
,52.045002,-13.37,-9.695
,62.335,-19.495,-9.975
50378,76.79,-24.36,-12.6
,76.685,-33.11,-9.52
,77.98,-31.78,-4.655
,83.93,-29.47,-4.375
50458,74.515,-26.6,-3.465
,64.645,-15.715,6.44
,56.665,-2.765,13.125
,49.63,5.075,17.01
50538,50.47,-3.115,12.915
,44.66,-5.18,5.075
,44.275,-3.675,0.735
,48.16,-1.365,1.575
50617,45.255,3.92,0.245
,37.52,8.785,-4.165
,34.685,8.61,-5.495
,29.05,12.3550005,-3.5
50696,32.9,11.165,1.33
,30.87,7.105,2.8700001
,20.755,4.9,-0.665
,9.24,8.89,-2.94
50775,11.865,14.42,0.35
,6.79,15.505,3.01
,4.41,4.27,3.43
,-3.815,-1.575,1.33
50855,-5.32,0.21000001,2.135
,-2.1,0.595,6.335
,-1.33,-1.89,8.47
,0.28,-8.47,8.05
50934,-3.85,-9.03,5.775
,-4.445,-6.44,4.76
,-2.8,-1.295,4.55
,-2.03,-1.19,3.85
51013,-7.63,-1.995,0.315
,-7.455,0.49,-1.645
,-3.43,2.345,0.035
,-1.47,-2.03,1.54
51092,-2.38,-7.315,0.595
,-1.4350001,-5.67,-0.665
,1.645,-0.84000003,0.945
,5.355,-1.085,2.905
51172,1.855,-3.85,3.3600001
,1.33,-4.97,4.06
,4.655,-2.415,4.48
,5.705,1.89,3.29
51251,0.63,4.235,0.245
,-5.425,1.925,-0.385
,1.785,1.085,2.45
,3.01,3.3600001,3.64
51331,3.15,3.3600001,0.91
,-1.33,3.15,-3.605
,-4.585,2.275,-4.095
,0.0,2.8700001,-0.28
51410,2.065,0.525,2.905
,3.29,-1.225,2.59
,1.82,-2.625,0.665
,-1.365,-1.54,1.75
51489,0.98,-1.015,3.325
,4.445,-1.785,3.92
,0.245,-0.875,2.03
,1.4350001,-1.225,0.77
51569,0.525,-0.77,-0.805
,-1.96,2.03,-1.855
,-1.365,1.855,-1.96
,-1.715,0.945,-1.96
51648,-2.765,0.35,-2.94
,-4.97,-0.35,-3.675
,-3.64,-0.455,-1.54
,-0.56,-1.575,1.61
51727,0.105000004,-1.505,1.96
,-4.935,-0.63,-0.98
,-5.04,1.4,-1.54
,-3.465,0.245,0.42000002
51806,-1.05,0.14,0.735
,-0.665,0.525,-1.155
,-5.705,2.59,-3.885
,-4.095,2.38,-2.1
51886,-3.325,0.105000004,0.315
,-1.75,-1.225,0.315
,-5.145,-1.89,-2.625
,-1.015,-2.345,-1.995
51965,1.26,-1.925,1.89
,2.17,-1.6800001,3.815
,-0.21000001,-0.735,0.63
,-3.08,-0.875,-1.155
52044,-0.91,-1.54,1.05
,1.33,-0.875,3.5
,-0.245,-0.105000004,1.645
,-2.73,0.035,-1.225
52124,-2.485,0.07,-0.35
,-0.14,-0.21000001,2.975
,0.945,-1.4,3.7450001
,-0.77,-1.61,1.89
