timestamp,x,y,z
181065,0.069394335,-1.2562767,9.755886
,0.15314612,-1.117488,9.770244
,0.12682413,-1.14381,9.748708
,0.105287954,-1.1557746,9.794173
181145,0.21775463,-1.067237,9.786994
,0.08614469,-1.1127023,9.739136
,0.17468229,-1.1390243,9.810924
,0.14118157,-1.014593,9.6912775
181224,-0.019143265,-1.0385221,9.60274
,0.4785816,-1.0744157,8.758043
,0.09810923,-1.5194967,9.6912775
,0.09571633,-1.8210031,9.420879
181303,-0.1196454,-1.8042527,9.609919
,-0.17946811,-2.5819478,9.428058
,0.25364825,-3.1347096,9.325163
,0.10289505,-4.3168063,9.497452
181382,0.07418015,-4.168446,9.188767
,0.057429794,-4.8001738,8.7556505
,-0.2680057,-5.23329,8.38475
,-0.107680865,-5.7023,8.155031
181461,0.36850783,-6.118666,7.9994917
,-0.25125536,-6.642713,7.4084435
,-0.234505,-6.905933,6.2430973
,-0.107680865,-7.441944,6.2072034
181541,-0.21775463,-7.8822393,6.532639
,-0.34218585,-8.418251,5.211754
,0.0071787243,-8.293819,4.998785
,-0.19382556,-8.856153,4.611134
181621,-0.5336185,-9.205518,3.9411197
,-0.2967206,-9.05955,3.5080032
,-0.20339718,-9.770244,3.2495692
,-0.51208234,-9.746315,2.7374868
181700,-0.31107804,-9.392164,1.9980782
,-0.5240469,-9.5907755,2.0770442
,-0.54558307,-9.84921,1.5194967
,-0.208183,-9.765458,1.6080343
181779,-0.36850783,-9.767851,1.3113136
,-0.703515,-9.655384,0.7896597
,-0.8542682,-9.382592,0.48815325
,-0.34218585,-10.131573,0.37568656
181859,-0.2656128,-9.995177,0.25604117
,-0.3517575,-9.583597,0.0
,-0.26082698,-9.60274,0.0071787243
,-0.35415038,-9.67692,-0.5336185
181938,-0.17707519,-10.167466,-0.7418015
,-0.045465253,-10.468973,-0.93323416
,-0.27757734,-9.935354,-1.0600582
,-0.17707519,-9.736743,-1.2084186
182017,-0.12203831,-10.052607,-1.0815945
,0.10289505,-9.88271,-1.6630712
,0.16750357,-9.839638,-1.5529974
,-0.03828653,-9.576418,-1.4261732
182096,0.05025107,-9.203125,-1.4812101
,0.30868515,-9.559668,-1.6008555
,0.22493336,-9.99757,-2.0961876
,0.2057901,-9.667349,-2.0387578
182175,0.06221561,-9.664956,-2.0267932
,0.10050214,-9.52856,-2.1057591
,-0.002392908,-9.239018,-1.9215052
,-0.021536173,-9.432844,-2.3570144
182255,0.031107806,-9.607526,-2.3474429
,0.2656128,-9.581204,-2.445552
,0.026321989,-9.588383,-2.2541194
,0.13878867,-9.657777,-2.2230117
182334,0.004785816,-9.705635,-2.3857293
,0.1196454,-9.643419,-2.2110472
,0.09571633,-9.782208,-2.5197322
,-0.026321989,-9.609919,-1.9765421
182414,0.08135887,-10.011928,-2.1775463
,-0.15075321,-9.56924,-2.1153307
,-0.08614469,-9.636241,-1.8401463
,-0.1459674,-10.141145,-1.5482116
182493,-0.20339718,-9.885103,-1.0792016
,-0.3517575,-9.82528,-0.30868515
,-0.24168372,-9.935354,0.5144752
,-0.1196454,-9.420879,1.2132044
182573,0.25364825,-9.722385,2.3043704
,-0.31347096,-12.105722,3.330928
,0.6676214,-8.951869,3.7975452
,0.1172525,-8.770008,4.55849
182652,0.27279153,-8.846581,5.5754757
,0.28954187,-7.647734,6.4967456
,0.73701566,-7.238547,6.8078237
,0.27518442,-6.65707,6.84611
182731,0.3565433,-6.271812,7.5328746
,0.571905,-5.3696856,8.432608
,0.13878867,-5.355328,8.147852
,0.09571633,-4.682921,8.592933
182810,-0.22254045,-4.5465255,8.906404
,-0.40200856,-3.2854629,8.949476
,-0.7657306,-3.048565,8.961441
,-0.677193,-2.6513422,9.193553
182889,-0.81119585,-2.7039862,9.5405245
,-0.6532639,-2.2780485,9.736743
,-0.8542682,-2.187118,9.674527
,-0.96434194,-1.8305746,9.739136
182969,-1.0050215,-1.2993491,9.609919
,-0.6221561,-1.0050215,9.629062
,-0.5336185,-0.9547703,9.705635
,-0.3230426,-0.83991075,9.94014
183048,-0.18425392,-0.10289505,9.607526
,-0.2943277,-0.13639577,9.688885
,0.045465253,-0.20339718,9.8922825
,0.18186101,-0.43072346,10.241647
183127,0.08135887,-0.30150643,10.138752
,0.014357449,-0.10050214,9.889889
,0.3613291,0.043072347,9.928176
,0.28236315,-0.14357449,9.861175
183207,0.13400285,-0.2368979,10.031071
,0.052643977,-0.1172525,9.894675
,0.069394335,-0.033500712,9.80853
,0.12203831,0.019143265,9.751101
183287,0.22971918,-0.023929082,9.810924
,0.37807947,-0.105287954,10.110037
,0.07896597,-0.1196454,9.894675
,0.110073775,-0.17946811,10.062179
183366,0.16511066,-0.2680057,9.913818
,0.10050214,-0.39243692,9.928176
,0.07418015,-0.107680865,9.887496
,-0.047858164,-0.33500713,10.011928
183445,0.10050214,-0.026321989,9.827674
,-0.08135887,-0.15553902,9.696064
,-0.009571632,-0.2919348,9.748708
,0.15553902,-0.83991075,10.382828
183524,-0.21775463,-0.6101916,9.856388
,0.057429794,-0.57908374,10.155502
,0.07418015,-0.63412064,10.016713
,-0.043072347,-0.44747382,9.779816
