timestamp,x,y,z
187490,28.901257,-91.463104,-32.528313
,26.92844,-93.52988,-34.002953
,30.205145,-91.941086,-31.780663
,26.11577,-90.186,-32.00289
187570,28.84132,-90.636375,-30.839315
,29.604685,-96.35112,-32.418205
,28.732536,-91.41984,-31.398026
,28.823692,-93.83992,-32.949123
187649,29.17655,-93.083855,-31.275415
,27.698694,-97.36348,-33.426006
,27.416023,-98.86535,-30.325884
,24.640387,-97.30638,-28.348707
187728,25.725283,-105.19172,-29.613594
,24.697546,-105.77474,-26.766157
,25.61087,-107.49752,-24.974876
,26.683039,-110.026215,-21.925663
187807,26.091215,-110.95482,-19.562963
,24.692133,-116.0572,-22.841234
,27.423683,-115.66697,-18.024036
,27.656134,-118.05732,-15.3652315
187886,28.268406,-120.52526,-13.704028
,25.14669,-122.361206,-12.466522
,23.62992,-123.92998,-10.351293
,23.111273,-126.72287,-7.758815
187966,22.531052,-125.76934,-3.0999503
,24.299082,-127.06774,1.8449197
,20.998343,-129.90294,5.429834
,22.733515,-126.6883,10.614196
188045,23.78859,-127.62067,13.946497
,24.801281,-128.56195,16.015825
,23.129055,-130.64423,17.340143
,23.162024,-130.63728,18.322453
188125,25.881975,-132.1292,20.843483
,25.065807,-131.9859,21.154726
,25.590775,-132.59251,22.165163
,25.736456,-128.32167,26.566101
188204,24.623514,-129.20241,25.716501
,26.572325,-127.90126,29.158371
,27.30073,-126.94391,30.865244
,25.798006,-132.54889,28.339687
188284,25.426388,-129.26973,31.166435
,25.655123,-126.10052,33.408928
,26.786903,-125.21582,34.819847
,26.911026,-127.62896,34.25106
188363,27.549057,-127.730995,34.789448
,26.915737,-127.62797,34.39139
,28.159689,-127.27921,36.82804
,28.940252,-130.0703,36.187862
188442,27.554197,-127.45012,36.100872
,28.880316,-129.24356,37.87686
,29.181366,-128.4984,38.00694
,28.93301,-128.19212,37.92271
188521,29.525696,-126.703766,37.9022
,28.468842,-127.85249,37.565464
,28.318962,-127.80526,39.25707
,29.76167,-125.412735,38.409847
188600,29.464897,-126.43678,37.249004
,28.170858,-125.67695,37.953114
,30.306686,-129.21497,38.433117
,28.664068,-129.4901,36.43275
188680,27.869808,-126.42211,37.823032
,27.646214,-129.31046,36.891968
,31.660313,-127.04221,39.930695
,29.840874,-125.95563,38.453266
188759,27.817999,-126.433014,36.279404
,29.210945,-127.172035,38.522232
,27.616312,-126.39669,36.42738
,26.269604,-126.207504,33.245663
188838,26.154364,-128.59225,31.702211
,27.510088,-128.57854,30.153517
,27.822227,-130.2703,26.346888
,26.427963,-130.8517,24.430748
188917,28.023941,-129.82582,22.358934
,26.346607,-131.70818,18.531849
,25.163908,-131.56323,14.079514
,27.296913,-128.50117,12.645424
188997,25.282595,-129.53632,8.41003
,28.10361,-132.20486,3.151769
,25.147818,-127.00318,-2.4950829
,28.878874,-125.55509,-5.207282
189077,28.62452,-126.08942,-8.94513
,28.639107,-125.325775,-11.193019
,30.13112,-120.56238,-12.461414
,29.920473,-119.76737,-15.262977
189156,29.479877,-118.941986,-18.758545
,29.535213,-115.2497,-19.366072
,31.17829,-114.21391,-20.034584
,28.23574,-110.049805,-23.762665
189235,29.006102,-109.3634,-21.963919
,26.939627,-106.65013,-23.852262
,25.13992,-104.51904,-26.266155
,27.939535,-105.79318,-26.370584
189314,25.59688,-102.499695,-28.014042
,29.93372,-105.60161,-26.2098
,27.882696,-101.56495,-28.003841
,25.698019,-99.63712,-30.731556
189394,27.548353,-98.07693,-29.065523
,27.197678,-96.952835,-28.723724
,24.319744,-94.09525,-30.160496
,24.581799,-94.67843,-30.826372
189473,26.743814,-95.57067,-30.29809
,26.474089,-93.38919,-29.068464
,27.449558,-93.57773,-30.790653
,25.390297,-93.223434,-30.573866
189552,26.859055,-93.18593,-28.754639
,27.360476,-93.79749,-28.44585
,26.116524,-94.14625,-30.8825
,26.814919,-94.795135,-30.862019
189631,25.719069,-97.2722,-31.994707
,27.335176,-95.40274,-29.99191
,26.564814,-96.08914,-31.790655
,26.257843,-93.63571,-30.512573
189711,27.586922,-97.02845,-29.440666
,26.95021,-95.606,-30.305737
,26.290812,-93.62877,-29.530262
,24.86226,-95.53752,-32.102028
189791,27.234064,-97.78452,-31.114372
,29.85729,-97.41709,-29.524767
,26.3216,-95.50199,-30.56346
,27.850294,-96.29121,-30.43323
