timestamp,x,y,z
58124,-3.29,-0.805,1.61
,-1.33,-1.365,-3.395
,-1.015,-0.945,-2.31
,-1.19,0.105000004,2.345
58204,-1.505,-0.175,3.815
,-2.1,-2.73,3.15
,-3.675,-2.94,8.015
,7.0,5.845,14.0
58283,0.595,6.965,39.34
,-16.345,4.2,81.48
,-37.065,9.625,131.775
,-39.62,7.385,124.32
58362,-26.705,1.785,89.88
,-21.455,0.07,90.685
,-18.795,2.765,103.6
,-17.325,6.86,116.515
58441,-12.81,6.6150002,108.15
,-9.31,0.805,87.43
,-11.445,-2.695,99.19
,-19.25,-2.695,114.275
58520,-19.635,3.185,134.575
,-17.92,9.275,151.06
,-11.095,7.63,121.345
,-11.235,3.045,108.325
58600,-9.87,5.495,122.955
,-7.525,7.56,122.255
,-8.05,6.02,106.365
,-6.44,6.86,96.67
58679,-5.81,12.705,108.325
,-8.715,15.8550005,132.65
,-10.465,13.2300005,132.58
,-11.83,10.43,125.055
58758,-10.745,16.24,140.7
,-6.195,20.265,137.585
,-9.555,14.665,127.925
,-11.865,7.77,121.73
58837,-14.805,6.405,143.465
,-18.515,1.925,140.42
,-18.515,1.015,125.195
,-13.055,3.325,102.375
58917,-5.95,2.73,58.52
,-4.8650002,-0.14,47.46
,8.82,9.17,133.875
,14.0,18.585001,181.755
58997,-0.105000004,8.155,168.525
,-13.685,-5.53,131.74
,-15.8550005,-11.41,99.61
,-15.33,-14.14,74.83
59076,-24.22,-19.39,52.605
,-9.205,-10.675,75.565
,-4.76,-7.56,71.015
,-13.195,-13.16,47.075
59155,-4.795,-9.555,37.555
,-4.41,-8.12,33.985
,-11.725,-11.27,29.855
,-15.190001,-8.715,18.305
59234,-17.710001,-5.39,-5.25
,-17.465,-5.565,-17.22
,-6.755,-2.38,-9.66
,-7.175,-4.305,-2.765
59314,-3.85,-4.34,15.715
,6.7200003,-1.4350001,37.24
,15.995,5.67,46.935
,8.89,2.205,30.66
59393,1.12,-0.98,3.71
,-6.3,-4.165,-13.195
,-20.23,-7.035,-39.165
,-30.555,-13.72,-70.07
59472,-10.815,-3.675,-61.915
,-5.845,-5.425,-103.705
,-9.24,-13.405,-171.605
,-0.84000003,-8.96,-267.365
59551,12.39,15.225,-345.24
,27.125,29.26,-386.26
,63.455,50.82,-398.685
,60.760002,40.18,-320.53
59631,47.075,21.14,-231.80501
,39.375,0.945,-218.61
,36.225,-12.215,-219.24
,38.99,-18.165,-232.47
59710,41.755,-21.735,-225.19
,31.99,-25.76,-189.875
,19.285,-29.925,-154.07
,15.8550005,-25.41,-129.64
59790,17.710001,-22.855,-131.565
,14.805,-14.595,-130.97
,12.915,-17.29,-120.05
,10.115,-19.355,-101.85
59869,9.59,-17.43,-84.14
,11.235,-12.495,-74.97
,15.4,-11.655,-72.87
,16.31,-10.36,-74.41
59948,4.375,-9.87,-62.685
,-4.235,-11.76,-60.935
,-6.755,-9.87,-59.78
,-7.105,-9.835,-55.965
60028,1.085,-2.66,-66.71
,5.32,-2.275,-49.805
,6.475,-1.365,-38.675
,8.75,-1.89,-33.495
60107,11.655,-0.315,-28.315
,11.585,1.295,-26.39
,7.455,-0.49,-26.775
,3.78,-1.925,-26.005
60186,-0.84000003,-1.365,-17.815
,-1.225,3.255,-14.84
,4.235,3.815,-19.25
,2.03,1.4350001,-9.66
60265,-2.625,0.49,-0.385
,-5.775,-1.015,5.565
,-8.365,-3.64,13.965
,-7.28,-2.94,11.585
60344,-4.13,1.4350001,3.64
,-4.095,0.84000003,4.795
,-5.985,-0.945,8.995
,-7.0,-1.96,11.305
60424,-0.14,-1.365,-1.505
,-1.26,-0.875,-0.315
,-5.985,0.49,8.8550005
,-3.5,2.45,6.51
60503,-1.89,0.245,0.07
,-3.7450001,-0.805,1.4350001
,-4.13,0.0,4.655
,-6.685,1.015,12.075
60583,-8.96,1.645,18.62
,-9.7300005,1.89,19.495
,-9.45,2.275,14.665
,-6.58,1.61,7.84
60662,-4.34,-0.105000004,6.125
,1.925,-1.4350001,-3.99
,0.035,-1.82,-0.105000004
,-0.91,0.21000001,0.7
