timestamp,x,y,z
61455,26.75283,-95.36777,-35.028503
,26.62992,-96.154205,-36.0082
,25.721735,-94.150566,-36.488056
,26.401722,-94.523544,-35.8578
61535,24.681648,-92.65548,-37.057175
,27.08895,-96.77471,-36.962387
,28.807383,-95.72305,-35.38562
,26.346954,-92.93516,-36.69735
61614,25.756802,-96.30267,-38.552017
,24.005482,-93.32205,-36.04932
,25.397135,-94.90069,-37.319782
,28.50469,-93.54851,-35.1383
61693,26.020576,-95.76636,-34.533512
,21.989927,-91.63841,-34.89625
,22.360764,-91.438126,-35.003414
,22.387272,-93.03246,-35.005844
61772,24.03974,-92.475494,-31.55372
,23.855143,-94.03549,-31.688835
,20.954872,-94.382454,-35.375744
,21.60407,-92.88222,-33.71229
61852,19.308083,-89.85869,-35.123543
,20.913427,-89.792435,-29.234745
,19.135084,-89.53655,-32.962494
,18.987734,-91.36849,-33.14606
61931,18.39855,-89.656265,-31.436733
,17.92803,-86.3979,-31.556915
,15.792093,-87.37988,-33.258724
,15.3115835,-89.40419,-32.212486
62010,14.299866,-83.38315,-30.717823
,15.001223,-85.63133,-31.40142
,13.140258,-83.99393,-31.799627
,13.389932,-82.9798,-32.042084
62089,14.432198,-82.59473,-29.45746
,12.850484,-78.61682,-29.582832
,13.629837,-78.20831,-28.674522
,10.834069,-77.49293,-30.771954
62169,14.579226,-76.52265,-29.223186
,10.381956,-74.51048,-31.501911
,13.131377,-79.19604,-29.68739
,13.827812,-72.68508,-29.238811
62249,10.523817,-69.20007,-28.739088
,11.899132,-73.14264,-28.606071
,12.339434,-69.2471,-28.899775
,12.527312,-73.52652,-29.519445
62328,15.857925,-74.08587,-28.799795
,15.4109535,-70.82256,-28.218327
,15.41698,-69.50115,-28.404682
,14.441541,-68.83181,-30.52247
62407,15.944158,-67.74682,-29.218716
,14.950739,-66.52168,-29.55563
,16.74149,-67.89409,-30.091278
,14.463018,-66.187004,-30.614523
62486,17.577816,-66.713005,-30.167889
,17.715286,-65.643715,-27.5961
,16.657572,-67.35218,-30.275026
,18.64616,-68.202156,-28.756788
62566,16.832428,-61.554035,-30.36987
,16.908674,-60.49763,-29.622372
,15.816213,-64.29412,-30.288042
,16.483822,-63.069782,-29.234365
62645,17.437922,-61.38313,-29.6427
,18.238213,-63.1297,-31.219341
,17.949648,-60.95218,-30.551037
,18.8609,-60.03512,-29.553461
62724,20.281136,-65.84793,-30.032648
,18.522604,-60.50834,-29.635082
,18.214663,-63.13466,-31.920992
,19.351583,-61.969086,-29.198647
62803,19.153744,-62.49152,-31.252533
,20.230646,-64.53842,-31.902966
,21.034437,-63.08441,-31.79079
,23.070122,-63.924473,-28.869251
62883,18.42063,-63.449863,-33.099735
,20.043089,-64.49913,-31.334
,21.871515,-65.8636,-30.74701
,21.16841,-65.215706,-30.90782
62962,20.924765,-64.90843,-30.851719
,21.033548,-64.124954,-30.293007
,16.742834,-66.09287,-34.257942
,19.43628,-65.99045,-31.734482
63041,19.330454,-68.37322,-32.997272
,22.177599,-69.357574,-30.527308
,17.674568,-68.09156,-33.07644
,18.058105,-73.72871,-33.657726
63121,15.7452135,-78.34979,-32.218422
,17.070148,-76.46285,-32.73392
,15.171828,-79.0735,-34.305473
,16.022604,-82.129585,-34.011795
63200,16.693174,-82.50455,-33.662197
,18.52763,-82.547615,-33.261562
,18.370401,-85.142204,-31.056913
,17.701933,-86.926285,-34.45278
63280,16.933752,-85.73252,-34.236023
,18.023142,-84.85674,-34.088074
,20.214626,-88.94262,-34.266296
,22.328226,-91.16519,-34.81463
63359,24.02529,-88.238335,-31.924007
,23.903587,-92.22437,-34.452194
,26.014227,-92.84764,-34.296448
,26.346064,-93.9757,-35.199566
63438,27.129696,-93.84606,-35.322025
,25.685804,-92.55821,-36.76629
,26.190186,-94.76908,-37.16158
,28.320093,-95.108505,-35.273415
63517,28.546217,-94.09933,-36.217525
,30.267181,-94.92686,-36.51593
,29.236084,-93.709656,-37.975487
,29.48016,-93.73706,-36.860493
63597,30.605478,-94.453636,-36.43431
,31.832235,-97.02856,-34.936375
,32.72126,-94.79604,-34.967136
,30.709984,-93.39128,-34.844833
63676,32.99448,-93.776955,-34.507946
,32.40476,-96.86459,-35.191517
,33.44366,-94.679306,-36.913887
,28.51029,-92.50697,-36.495758
63755,32.233536,-94.461365,-36.02603
,31.837833,-95.98703,-36.293827
,32.917805,-95.11323,-36.42654
,32.53459,-93.7162,-35.895954
63834,30.60591,-94.17376,-35.263214
,28.914095,-92.29974,-35.62061
,31.004143,-94.52727,-36.87059
,31.931276,-92.00695,-34.607616
63914,30.974997,-95.57376,-36.21479
,32.737915,-96.67223,-36.42132
,30.835855,-94.20414,-34.56921
,28.893505,-93.904,-37.02634
63994,30.069773,-95.16942,-37.398724
,29.212076,-94.47528,-36.008255
,31.937626,-94.92567,-34.84468
,30.77331,-95.53744,-36.066814
64073,30.258621,-94.369095,-34.4544
,29.174398,-94.483215,-37.130898
,30.069313,-95.930084,-34.729843
,32.072918,-95.736534,-34.2884
