timestamp,x,y,z
68118,0.70112205,-0.7776951,9.846817
,0.8734115,-0.55036885,9.772636
,0.9499845,-0.72744405,9.827674
,0.61497736,-0.8877689,9.887496
68197,0.5360114,-0.7896597,9.839638
,0.48815325,-0.8279462,9.839638
,0.60779864,-0.9093051,9.909033
,0.78487384,-0.7154795,9.954497
68277,0.48576033,-0.80880296,9.813316
,0.703515,-0.7441944,9.904246
,0.44747382,-0.5144752,9.672134
,1.5003533,-0.9954498,10.086107
68356,0.7944455,-1.1605604,10.813552
,0.031107806,-2.5101607,10.169859
,-0.17946811,-1.2802058,9.746315
,0.3613291,-0.13160995,9.703242
68435,0.70112205,-1.0480938,9.373021
,0.46183127,-1.5553902,9.492666
,0.3828653,-1.8449322,9.86596
,-0.107680865,-2.3211207,9.820495
68514,-0.6795859,-1.7827165,9.806137
,-0.9954498,-2.3498356,9.727171
,-1.6534995,-1.9813279,9.504631
,-0.56711924,-1.6726427,9.731957
68593,-0.6795859,-2.1990826,9.638634
,-0.9021264,-2.474267,9.708028
,-0.98109233,-2.5316968,9.638634
,-1.2132044,-1.797074,9.7415285
68673,-0.90451926,-1.4668527,9.753493
,-0.41875893,-1.2538838,9.751101
,-0.5049036,-2.0626867,9.612311
,-0.9188767,-2.1225095,9.56206
68752,-1.304135,-2.0961876,9.440022
,-1.8473251,-2.3594074,9.480701
,-2.2995846,-2.1895108,9.554882
,-2.7135577,-0.8566611,9.4495945
68832,-1.7635733,-1.1557746,9.681706
,-1.8425392,-1.067237,9.423272
,-1.3232782,-1.5338541,9.566847
,-1.4979604,-2.6944146,9.571632
68911,-1.9597918,-2.6465564,9.344306
,-2.2421548,-2.5149465,9.597955
,-2.452731,-1.277813,9.621883
,-1.6702498,-0.6101916,9.557275
68990,-1.5673548,-1.0552725,9.810924
,-2.445552,-0.911698,9.729565
,-2.4886243,-1.1079165,9.880318
,-2.8595252,-1.4429235,9.516596
69070,-2.8978117,-0.9140909,9.334735
,-2.627413,-0.7657306,9.755886
,-2.4168372,-0.5312256,9.509417
,-2.6513422,-0.98827106,9.576418
69149,-2.9911351,-0.64369226,9.509417
,-2.605877,-1.0504867,9.593168
,-2.6345918,-0.83991075,9.435237
,-2.7781663,-0.6795859,9.566847
69228,-3.1299238,0.009571632,9.631455
,-2.8571322,-0.09332342,9.731957
,-2.9624202,-0.25125536,9.621883
,-2.234976,-0.6006199,9.60274
69307,-2.2995846,-0.78008807,9.45438
,-2.5867336,-0.97152066,9.597955
,-2.94567,-0.6795859,9.629062
,-3.0054924,-0.36611494,9.777423
69387,-2.7135577,-0.33022133,9.578811
,-2.8595252,-0.5025107,9.851603
,-2.0961876,-1.2538838,9.949712
,-0.92605543,-1.8951832,9.813316
69466,-1.720501,-2.0722585,9.373021
,-2.0363648,-2.1440456,9.559668
,-1.8616825,-2.268477,9.633848
,-1.8353605,-2.160796,9.15048
69545,-1.1055236,-2.3594074,9.514202
,-0.8566611,-2.0531151,9.684099
,-0.93562704,-2.3785505,9.571632
,-1.2371335,-2.60827,9.662563
69625,-0.5934412,-1.5817122,9.490273
,-0.42833054,-1.7946811,9.542917
,-0.27997026,-2.1201165,9.56206
,0.34457877,-2.0124357,9.794173
69704,0.28714898,-2.4144442,9.712814
,0.5838696,-1.7372513,9.521381
,0.1196454,-1.7827165,9.7176
,-0.5934412,-1.4501023,9.341913
69784,-0.39722276,-1.5003533,9.674527
,-0.3613291,-1.6941789,9.571632
,-0.15075321,-1.9191123,9.727171
,0.442688,-1.9047549,9.911426
69863,0.3828653,-1.5984626,9.698457
,0.6173703,-1.3137065,9.559668
,0.26082698,-1.8856115,9.923389
,-0.05025107,-2.8762755,10.177038
69942,-0.83751786,-2.2230117,9.875532
,0.069394335,-1.9478272,9.928176
,-0.14118157,-1.2467052,9.667349
,0.11485959,-0.9858781,9.559668
70021,1.5984626,-0.9667349,9.98082
,0.66044265,-1.5242825,9.909033
,-0.22014755,-1.8856115,9.947319
,0.23211208,-1.7779307,10.148323
70101,-0.7513731,-1.1462029,9.631455
,-0.37568656,-0.9164838,9.655384
,-0.16989647,-0.75376606,9.813316
,0.20339718,-1.1581675,10.160288
70180,0.1459674,-1.0624512,10.12918
,-0.57669085,-0.46901,9.724778
,-0.011964541,-0.45704544,9.822887
,-0.22971918,-0.38765112,9.69367
70259,0.20100428,-0.39722276,10.114822
,0.24646953,-0.6867646,10.179431
,-0.2584341,-0.57908374,9.920997
,0.057429794,-0.5910483,9.897068
70338,-0.16271774,-0.33500713,9.724778
,-0.16032484,-0.22971918,9.7415285
,-0.15314612,-0.8805902,10.12918
,-0.24886245,-0.8351249,10.026285
70417,-0.25125536,-0.53840435,9.887496
,-0.3326142,-0.5623334,9.801352
,0.023929082,-0.40440148,9.925783
,0.009571632,-0.3278284,9.904246
70497,0.33500713,-0.43311638,9.923389
,0.069394335,-0.6795859,9.95689
,-0.17468229,-0.8231604,9.911426
,-0.16750357,-0.70830077,9.94014
70577,-0.18903974,-0.47140288,9.820495
,0.110073775,-0.8710185,10.028678
,-0.3278284,-0.7322299,9.937747
,-0.12203831,-0.45225963,9.755886
70656,0.21296883,-0.57908374,9.861175
,-0.11485959,-0.80162424,9.889889
,0.055036888,-0.69872916,9.928176
,-0.09810923,-0.6197632,10.007142
70735,-0.040679436,-0.9499845,9.983212
,-0.088537596,-1.0385221,10.026285
,-0.18664683,-0.78487384,9.837245
,-0.2656128,-0.63412064,9.777423
