timestamp,x,y,z
159838,-0.83751786,-5.2955055,8.281855
,-0.8901618,-5.2691836,8.423037
,-0.8805902,-5.2476473,8.394321
,-0.8446966,-5.266791,8.379964
159917,-0.89734054,-5.23329,8.353642
,-0.9284483,-5.206968,8.437394
,-0.9834852,-5.1830387,8.346463
,-0.9451987,-5.2476473,8.358428
159997,-0.8518753,-5.3242207,8.308177
,-0.8901618,-5.3026843,8.286641
,-0.8829831,-5.2021823,8.176567
,-0.9404129,-5.2931128,8.38475
160076,-0.84230363,-5.329006,8.425429
,-0.83751786,-5.1950035,8.305784
,-1.0457008,-5.068179,8.19571
,-1.2682413,-5.333792,8.336892
160156,-1.2275618,-5.510867,8.360821
,-0.8710185,-5.4295087,8.439787
,-0.58626246,-5.2428617,8.659934
,-0.46422416,-5.3577213,8.485252
160235,-0.703515,-5.4271154,8.566611
,-1.3232782,-5.4701877,8.446965
,-1.2849916,-5.391222,8.528324
,-0.8734115,-5.379257,8.356035
160314,-0.6676214,-5.5850477,8.511574
,-0.80880296,-5.673585,8.324927
,-1.0983448,-5.5395823,8.394321
,-0.9451987,-5.4055796,8.389536
160393,-0.45465255,-5.104073,8.559432
,-0.047858164,-4.929391,8.528324
,0.057429794,-4.943748,8.466109
,-0.20100428,-4.867175,8.7053995
160472,0.035893623,-4.6972785,8.76283
,0.2392908,-4.307235,8.817866
,0.27757734,-4.23784,8.942298
,0.18664683,-4.113409,8.975799
160552,-0.22014755,-4.0799084,9.124159
,0.2967206,-4.1421237,8.994942
,0.6843717,-4.020086,9.234232
,0.7154795,-3.7903664,8.968619
160631,0.90691215,-3.668328,8.808294
,0.73701566,-3.6396132,9.332341
,0.98109233,-3.5869691,9.143302
,0.57908374,-3.668328,9.2485895
160710,0.7944455,-3.4051082,9.384986
,0.87580436,-3.3524642,9.172017
,0.9164838,-3.1131735,9.320377
,1.0337363,-3.1801748,9.507024
160790,1.1749178,-3.256748,9.071514
,1.2921704,-3.017457,9.250982
,1.3184924,-2.967206,9.554882
,0.93562704,-3.1418884,9.418487
160870,0.80162424,-3.125138,9.33952
,1.2323477,-2.730308,9.67692
,1.3902797,-2.658521,9.399343
,1.1103094,-2.7207365,9.375414
160949,1.0792016,-2.9337053,9.406522
,1.0074143,-2.7949166,9.207911
,1.3902797,-2.6369848,9.404129
,1.3735292,-2.9289196,9.207911
161028,1.4501023,-2.6010911,9.083479
,1.1940612,-2.500589,9.949712
,1.1414171,-2.7015932,9.11698
,1.2754201,-2.5723763,9.284483
161107,1.4213874,-2.392908,10.01432
,1.2371335,-2.6154485,9.772636
,1.0050215,-2.6513422,9.1983385
,1.3615648,-2.6513422,9.071514
161186,1.7037506,-2.5675905,9.681706
,1.5960697,-2.5891266,9.696064
,1.691786,-2.4886243,9.375414
,1.225169,-2.3785505,9.7415285
161266,1.3448143,-2.5819478,9.423272
,1.483603,-2.5125535,8.918368
,1.5769265,-2.4311945,10.0430355
,1.4883888,-2.3618002,9.801352
161345,1.3735292,-2.6728783,9.114587
,1.586498,-2.5699832,9.143302
,1.6008555,-2.4575167,9.47113
,1.6271775,-2.629806,10.021499
161424,1.4285661,-2.837989,9.169623
,1.6582853,-2.4670882,9.373021
,1.6893932,-2.474267,9.576418
,1.4477094,-2.6130557,9.9425335
161503,1.2993491,-2.680057,9.303627
,1.5194967,-2.5484471,9.356271
,1.7563945,-2.41923,9.428058
,1.6606783,-2.3546216,9.179195
161583,1.562569,-2.5293038,9.626669
,1.4644598,-2.5460541,9.332341
,1.4740313,-2.6465564,9.518989
,1.5912839,-2.6202343,9.406522
161663,1.6774286,-2.6130557,9.28209
,1.665464,-2.8427749,9.358664
,1.6104271,-2.7901309,9.356271
,1.6893932,-2.603484,9.382592
161742,1.5458187,-2.574769,9.636241
,1.6008555,-2.6633067,9.303627
,1.6893932,-2.6848428,9.337128
,1.6702498,-2.7015932,9.451987
161821,1.5386399,-2.7781663,9.423272
,1.4213874,-2.7422726,9.401736
,1.5434257,-2.7949166,9.406522
,1.6295704,-2.7805593,9.246197
161901,1.6558924,-2.711165,9.279697
,1.6319634,-2.7566302,9.554882
,1.4883888,-2.8403819,9.526167
,1.6152129,-2.7542372,9.272519
161980,1.6798215,-2.6680925,9.329948
,1.5936768,-2.629806,9.418487
,1.483603,-2.6872358,9.514202
,1.5721406,-2.7231295,9.294055
162059,1.7133222,-2.7135577,9.337128
,1.6941789,-2.7135577,9.52856
,1.5003533,-2.7566302,9.456773
,1.5242825,-2.658521,9.327556
162138,1.6343563,-2.6752713,9.346699
,1.639142,-2.7398798,9.495059
,1.6080343,-2.6513422,9.4998455
,1.4118158,-2.6896286,9.4998455
162217,1.5673548,-2.6369848,9.363449
,1.6487137,-2.6250203,9.392164
,1.6678569,-2.5197322,9.4137
,1.6439278,-2.6321988,9.497452
162297,1.5553902,-2.711165,9.425665
,1.6080343,-2.5628045,9.377807
,1.720501,-2.6489491,9.495059
,1.5841051,-2.5986981,9.380199
162376,1.6032485,-2.6537352,9.473523
,1.5673548,-2.6393776,9.418487
,1.5075321,-2.6417706,9.4137
,1.5697477,-2.5843408,9.495059
162456,1.5529974,-2.6178415,9.473523
,1.5386399,-2.627413,9.485488
,1.5266753,-2.6250203,9.502238
,1.562569,-2.603484,9.404129
162535,1.5769265,-2.5915194,9.535739
,1.5314612,-2.658521,9.382592
,1.586498,-2.5388756,9.442415
,1.6726427,-2.574769,9.425665
