timestamp,x,y,z
159838,-2.1,-0.35,0.315
,-2.135,0.105000004,0.28
,-2.24,0.21000001,0.28
,-2.1,0.07,0.175
159917,-2.1,-0.14,0.105000004
,-2.52,-0.315,0.0
,-2.8700001,-0.665,-0.21000001
,-2.695,-0.945,-0.315
159997,-1.645,-0.805,0.035
,-1.4,-0.245,0.455
,-3.465,3.01,0.98
,-4.83,5.11,1.47
160076,-4.06,2.135,0.49
,-3.08,0.105000004,-0.035
,-7.77,2.275,0.525
,-9.38,-0.315,-1.12
160156,-5.915,-6.755,-2.835
,-1.26,-10.15,-1.47
,-2.17,-9.345,0.56
,-5.425,-7.42,2.765
160235,-5.46,-5.32,3.535
,-3.29,-5.075,2.415
,1.925,-9.415,1.26
,6.825,-17.57,-0.14
160314,12.565,-21.49,0.035
,18.095,-22.995,0.455
,22.75,-26.355,0.385
,27.72,-32.445,0.28
160393,31.22,-37.52,0.245
,33.46,-37.835,0.07
,33.845,-33.95,0.63
,31.745,-30.695,0.56
160472,32.55,-31.395,1.61
,32.48,-32.165,2.94
,31.675,-28.805,4.235
,29.925,-25.41,4.76
160552,27.195,-25.97,5.04
,27.825,-28.525,4.97
,29.505001,-30.66,5.285
,28.665,-29.575,6.3
160631,27.825,-24.08,6.58
,25.375,-19.495,5.32
,24.185,-18.515,5.705
,24.36,-17.22,6.265
160710,21.98,-16.52,5.39
,20.16,-15.33,4.935
,18.655,-14.0,3.885
,17.08,-16.17,2.94
160790,17.64,-13.58,3.045
,16.765,-7.945,2.415
,13.2300005,-3.7450001,1.4
,9.87,-4.06,0.42000002
160870,10.885,-5.7400002,0.805
,8.645,-9.94,1.4
,7.21,-9.065,1.26
,8.085,-4.55,0.21000001
160949,8.54,-3.01,0.245
,5.95,-5.355,0.805
,3.92,-8.26,0.21000001
,7.525,-6.93,-1.54
161028,7.665,-6.93,-1.225
,2.695,-4.9,-0.735
,3.29,-2.73,-1.225
,5.32,-3.185,-1.19
161107,0.595,-6.51,-0.28
,-1.925,-7.98,-1.225
,-2.485,-8.715,-2.1
,2.94,-7.4900002,-2.415
161186,5.145,-5.355,-2.625
,5.285,-3.955,-3.57
,4.375,-4.97,-3.465
,-1.015,-6.755,-2.73
161266,-1.96,-6.6150002,-1.61
,0.63,-4.515,-2.485
,-2.555,-2.415,-3.3600001
,-6.055,-3.15,-3.885
161345,-5.67,-3.955,-3.85
,-2.765,-1.575,-5.11
,-5.6,-3.815,-5.215
,-9.205,-2.625,-5.81
161424,-6.86,-0.35,-6.195
,-5.6,0.735,-7.105
,-6.93,2.765,-8.785
,-10.08,2.1,-8.19
161503,-10.6050005,-0.98,-6.685
,-10.675,-4.585,-5.705
,-9.485,-2.485,-6.685
,-6.895,-0.945,-4.795
161583,-5.285,0.7,-2.45
,-5.775,-0.77,-0.665
,-7.665,-3.7450001,-0.35
,-8.05,-6.02,0.0
161663,-6.755,-3.5,-0.63
,-4.34,0.315,-1.225
,-0.84000003,1.785,-0.245
,0.35,1.75,0.875
161742,-2.17,0.63,1.05
,-2.17,-1.085,1.015
,-1.6800001,-0.49,0.735
,-2.135,0.7,1.05
161821,-2.8,1.085,1.4350001
,-2.52,-0.63,1.61
,-1.6800001,-2.065,1.015
,-1.05,-1.75,0.56
161901,-0.35,0.14,0.21000001
,-1.47,0.14,0.21000001
,-1.89,-1.225,0.49
,-1.085,-1.995,0.385
161980,-0.14,-0.98,0.385
,-1.155,-0.315,0.805
,-2.8,-1.19,0.49
,-2.8,-1.085,-0.14
162059,-1.4,-0.455,-0.07
,-0.77,1.085,0.245
,-1.225,0.56,0.175
,-1.365,-0.63,0.035
162138,-1.19,-1.05,-0.07
,-0.63,0.0,0.245
,-0.63,-0.105000004,0.665
,-0.245,-1.015,0.63
162217,1.05,-2.03,0.665
,1.785,-1.225,0.875
,0.63,-0.945,0.98
,-1.015,-0.595,0.91
162297,-1.785,-0.28,0.63
,-1.505,-0.28,0.455
,-1.61,-0.28,0.315
,-1.33,0.28,0.28
162376,-1.225,0.595,0.56
,-1.225,0.77,0.49
,-1.225,0.455,0.455
,-1.225,0.35,0.42000002
162456,-1.225,0.21000001,0.385
,-1.295,0.175,0.245
,-1.54,-0.595,0.21000001
,-2.135,-1.26,0.035
162535,-1.925,-1.4350001,0.35
,-1.715,-1.645,0.21000001
,-0.91,-1.33,0.315
,-0.805,-0.595,0.28
