timestamp,x,y,z
159838,-221.08765,-29.32671,-416.7052
,-219.58896,-31.722164,-418.26135
,-223.87782,-27.569792,-420.1601
,-220.53232,-32.08642,-417.89905
159917,-222.13594,-31.033188,-419.10345
,-221.04831,-31.757692,-419.79993
,-221.2166,-31.434559,-417.49854
,-222.30806,-29.670504,-418.4402
159997,-220.78539,-31.781128,-418.12363
,-221.68459,-30.055378,-419.4939
,-219.63092,-31.451212,-418.35324
,-219.48784,-29.34039,-417.13892
160076,-220.67233,-31.27654,-418.59567
,-220.9197,-25.409716,-418.95587
,-218.60323,-31.348988,-417.3607
,-220.82428,-28.589478,-417.69775
160156,-222.75557,-31.20707,-420.25165
,-220.91936,-29.649845,-419.0066
,-219.11319,-30.179651,-415.60794
,-219.94139,-32.19836,-418.76398
160235,-221.82755,-27.646204,-419.48645
,-221.64056,-32.966175,-418.60834
,-220.74211,-30.731665,-418.35843
,-218.86998,-30.766798,-416.83514
160314,-220.84148,-31.513151,-418.63647
,-218.79295,-33.189857,-418.80725
,-220.0595,-28.463814,-418.38153
,-217.35585,-31.838863,-418.297
160393,-215.60869,-30.020603,-418.54712
,-215.97482,-30.2199,-418.29965
,-216.87105,-30.093445,-420.37402
,-216.91168,-28.502079,-420.79257
160472,-215.96024,-29.456257,-420.54755
,-216.21536,-26.511126,-421.5658
,-214.13081,-25.260183,-420.2365
,-214.08456,-25.810017,-421.1754
160552,-213.09882,-25.436838,-420.27475
,-212.22743,-26.407867,-422.4153
,-213.8122,-25.350672,-423.0584
,-213.65073,-23.51575,-422.45386
160631,-213.20111,-24.13823,-423.6887
,-213.43576,-24.108845,-424.52304
,-214.44289,-22.606821,-424.10983
,-212.90642,-20.474342,-423.32156
160710,-212.5438,-23.475622,-425.25787
,-210.44379,-20.901289,-423.8343
,-209.97797,-24.160633,-423.85446
,-209.17242,-21.106335,-422.89786
160790,-210.01422,-18.328146,-424.08197
,-208.70267,-20.404434,-423.89807
,-211.61566,-15.394754,-423.27087
,-208.60583,-17.743774,-421.74484
160870,-208.84398,-20.914968,-424.268
,-210.30333,-20.950499,-425.80655
,-208.97754,-18.503809,-423.97986
,-211.15796,-17.335663,-423.89838
160949,-210.40257,-17.211985,-424.86282
,-209.3843,-17.11174,-424.15094
,-208.75906,-15.896329,-424.36023
,-208.0093,-16.814182,-423.9672
161028,-210.26772,-18.302727,-425.47763
,-209.9028,-14.903843,-424.17664
,-209.49646,-16.575787,-425.17667
,-208.33215,-15.964016,-423.95453
161107,-209.21852,-15.555707,-424.57715
,-207.02661,-19.36171,-423.58426
,-208.0106,-18.134598,-423.64053
,-207.41147,-15.04497,-422.6763
161186,-208.04182,-16.541248,-423.77844
,-208.5968,-17.540869,-426.47525
,-208.52484,-16.205585,-424.697
,-208.03152,-15.498721,-424.99554
161266,-206.35637,-15.496541,-423.18396
,-209.41759,-12.8785515,-425.08255
,-208.82622,-12.71062,-424.77637
,-206.62181,-13.593937,-422.9851
161345,-208.90082,-16.686737,-425.90125
,-207.85678,-14.220577,-426.3122
,-207.61916,-15.84926,-426.18195
,-207.70265,-15.027482,-425.19458
161424,-207.2492,-16.689512,-424.79132
,-207.82216,-17.133352,-425.70728
,-207.81317,-17.411242,-426.59772
,-208.45253,-18.62963,-426.80942
161503,-207.89622,-16.309595,-424.43927
,-208.21909,-15.459425,-424.42657
,-206.86086,-17.805674,-424.01047
,-207.95111,-19.241205,-426.5006
161583,-206.82964,-19.399025,-423.87256
,-209.43742,-18.44306,-425.3679
,-206.95636,-19.145914,-426.4904
,-207.8466,-18.17885,-424.91113
161663,-206.93108,-17.54067,-424.94434
,-205.84389,-19.025845,-422.97192
,-208.37465,-20.492939,-426.4393
,-208.04533,-19.741827,-425.46725
161742,-207.83586,-16.856453,-424.95718
,-208.20978,-19.977448,-425.3677
,-206.71657,-18.894432,-424.34464
,-209.00621,-18.789629,-425.99295
161821,-209.88657,-17.059914,-426.8019
,-207.99307,-18.970251,-426.5925
,-206.72598,-18.896416,-424.6253
,-207.04117,-19.644556,-425.17636
161901,-206.5243,-18.932737,-424.7733
,-205.31804,-18.591919,-423.45926
,-207.10196,-19.377571,-425.82956
,-207.33401,-17.188152,-423.4773
161980,-208.49448,-18.358677,-426.90128
,-207.56133,-14.516946,-424.82468
,-208.36642,-17.29137,-424.61017
,-208.07184,-18.147484,-425.4648
162059,-207.56264,-15.837364,-424.498
,-207.20857,-18.280878,-424.37277
,-205.72052,-17.478733,-424.6611
,-207.64581,-19.255718,-423.56134
162138,-206.75085,-20.22179,-425.00024
,-208.89273,-18.005169,-425.2939
,-207.83334,-18.735622,-426.83237
,-208.48804,-16.757399,-425.91656
162217,-209.443,-19.0038,-427.8504
,-208.04872,-18.422401,-425.93427
,-206.68907,-14.928229,-424.62305
,-208.48463,-18.076822,-425.44952
162297,-207.49242,-16.102367,-423.56412
,-206.4061,-18.147285,-423.9339
,-207.15588,-17.229431,-424.3269
,-207.00864,-19.91749,-425.36514
162376,-207.43767,-17.690758,-422.72458
,-205.11163,-18.62725,-423.46692
,-208.14294,-18.923023,-424.90088
,-207.01674,-18.599054,-425.9725
162456,-206.89043,-19.132034,-424.5258
,-206.57437,-17.343355,-425.4725
,-207.94421,-17.36005,-424.3448
,-206.71526,-17.574018,-424.67133
162535,-207.89163,-20.828606,-425.52075
,-209.77483,-17.87574,-426.9473
,-207.19958,-18.558767,-425.26318
,-208.25041,-18.386078,-425.7863
