timestamp,x,y,z
64416,-2.8700001,-0.105000004,-0.035
,-2.52,-0.14,-0.455
,-1.96,-0.315,-0.595
,-1.505,-0.42000002,-0.315
64496,-1.925,-1.225,0.28
,-2.66,-0.595,0.595
,-3.255,1.155,-0.105000004
,-1.995,0.315,-0.14
64575,-0.875,-2.94,1.47
,-2.31,-1.75,0.455
,-3.185,0.245,0.105000004
,5.285,-1.47,5.285
64655,18.41,-4.025,10.71
,25.2,1.26,9.905
,31.99,11.97,4.795
,43.435,11.9,2.17
64734,50.855,7.945,3.815
,51.695,6.09,3.85
,50.96,3.85,2.8
,49.35,4.48,1.225
64813,51.73,1.925,2.275
,55.72,1.365,2.555
,58.38,3.01,0.84000003
,58.415,3.7450001,-1.365
64892,57.365,3.92,-2.905
,57.785,3.99,-3.815
,59.29,5.005,-3.43
,60.585,5.635,-3.675
64971,61.18,5.355,-4.095
,61.04,1.4,-3.01
,59.71,-1.365,-2.625
,61.145,1.4350001,-2.45
65051,62.72,6.16,-2.17
,63.735,7.28,-1.4350001
,63.49,3.01,-1.05
,62.895,-0.91,-0.7
65130,63.105,2.8700001,-1.855
,66.675,8.75,-1.19
,71.015,3.78,3.045
,71.435,2.905,4.2
65209,70.665,3.78,4.83
,70.945,5.215,5.11
,71.085,9.17,2.555
,70.315,7.455,2.94
65289,69.44,4.235,1.61
,68.775,0.875,4.025
,66.29,4.025,3.85
,64.54,5.46,2.8700001
65369,62.545002,4.8650002,2.625
,60.13,1.575,3.57
,59.15,5.005,3.185
,60.34,6.7200003,3.57
65448,59.255,7.84,3.675
,57.82,2.38,5.005
,58.135002,-1.4,6.055
,60.375,2.345,5.565
65527,62.475,6.86,6.125
,62.825,7.84,7.525
,61.670002,9.975,7.07
,59.920002,10.36,6.335
65606,57.855,7.56,6.265
,56.0,7.175,5.145
,56.315,5.6,5.845
,56.07,5.285,6.755
65685,54.915,4.515,6.475
,53.13,7.28,4.515
,51.765,8.8550005,3.535
,53.235,7.875,4.8650002
65765,53.445,5.53,5.285
,51.135,6.965,2.8700001
,49.455,6.895,1.645
,49.385,10.08,0.98
65844,50.995,9.065,3.325
,51.765,5.25,5.6
,53.34,5.39,6.23
,54.075,9.485,6.195
65923,54.355,7.14,8.295
,52.29,2.94,9.485
,50.925,2.205,7.665
,50.82,8.785,3.605
66002,50.05,17.08,0.98
,48.65,13.65,2.485
,46.13,6.51,4.445
,43.75,5.075,4.62
66082,41.685,11.55,2.8
,41.055,7.455,-1.61
,41.615,12.46,2.8
,40.285,14.63,5.81
66162,37.45,10.92,6.37
,34.405,11.62,3.955
,34.125,16.03,2.835
,36.855,14.035,6.51
66241,39.97,7.4900002,11.41
,39.62,4.76,12.915
,35.14,4.8650002,10.745
,30.45,4.06,6.02
66320,27.09,6.7200003,1.4350001
,25.235,9.485,-0.175
,23.73,5.285,0.315
,21.49,2.31,-1.54
66399,19.355,0.07,-1.19
,17.22,-0.105000004,0.07
,15.61,-2.625,2.38
,13.58,-1.33,3.185
66479,9.17,-0.91,0.98
,3.535,-1.96,-0.805
,2.73,-3.7450001,-1.05
,3.29,-3.045,-1.085
66558,2.275,-2.45,-1.015
,1.295,-2.135,-1.61
,0.105000004,-1.4350001,-1.155
,-0.035,-3.78,0.035
66637,0.595,-2.94,-0.7
,2.52,-0.35,-1.155
,2.17,0.0,-0.42000002
,0.105000004,-0.42000002,0.42000002
66716,-1.82,-1.365,0.49
,-2.31,-1.995,0.875
,-2.17,-2.1,-0.28
,-2.835,-1.75,-1.12
66796,-4.55,-1.19,-1.19
,-7.0,-0.805,-1.54
,-7.56,-1.085,-0.875
,-7.945,-2.275,-0.28
66875,-5.6,-1.645,-0.245
,-4.13,-0.805,-0.665
,-4.445,0.14,-0.875
,-2.975,1.505,-0.595
66955,-1.54,0.315,0.805
,-1.715,-2.625,2.275
,-2.275,-3.22,2.345
,-3.395,-2.275,0.735
67034,-3.955,-3.29,0.35
,-4.48,-2.59,-0.175
,-5.215,-0.385,-0.42000002
,-5.705,-1.715,0.49
67113,-4.935,-2.905,0.49
,-4.13,-1.505,-0.595
,-2.31,-0.49,-1.12
,-1.295,1.365,-1.05
67193,-1.155,0.91,0.56
,-2.24,-0.49,1.89
,-3.01,1.225,-0.07
,-2.94,0.63,-1.05
