timestamp,x,y,z
64496,-230.88521,1.2342565,-416.12866
,-231.4975,3.7022011,-417.78986
,-229.20447,2.2779741,-415.6745
,-230.50189,4.357233,-415.43744
64575,-230.37042,4.5859156,-416.51926
,-230.59227,3.2978563,-416.60593
,-231.4769,5.306455,-416.38412
,-229.2358,-0.648679,-417.0342
64655,-230.6775,2.5193439,-416.46298
,-230.85475,3.6011643,-417.11115
,-229.93068,3.200785,-415.36588
,-230.41371,3.53645,-416.28445
64734,-232.10081,5.411457,-416.5015
,-230.83844,5.4842997,-414.67462
,-232.50243,7.08439,-415.36115
,-232.25879,6.777117,-415.41727
64813,-230.56993,6.5023994,-414.35577
,-229.20218,8.678137,-412.4372
,-228.65234,9.3968935,-411.05182
,-228.42929,7.4853663,-412.51364
64892,-230.33638,14.192604,-410.75116
,-229.68259,11.173838,-410.16916
,-229.41406,12.191936,-409.8503
,-229.29672,12.417642,-411.35312
64971,-231.25058,14.874841,-411.04465
,-231.31096,15.4217,-410.52676
,-229.49449,15.934415,-408.34525
,-229.43443,19.627686,-408.81244
65051,-229.55003,21.002268,-406.4652
,-230.78632,19.05521,-409.4656
,-230.33028,19.553217,-405.87573
,-230.21895,18.457516,-407.1922
65130,-230.75543,21.221195,-405.437
,-229.25887,20.984781,-403.9469
,-229.25974,19.944237,-402.44913
,-228.31595,20.588366,-401.64035
65209,-228.9287,22.295639,-400.63266
,-227.38205,20.469841,-398.44333
,-229.95422,24.073574,-399.60968
,-229.5033,24.290716,-397.33127
65289,-228.66951,27.350962,-395.53268
,-227.81917,24.015007,-396.4101
,-230.03804,28.654682,-394.73166
,-228.98987,25.841162,-393.5552
65369,-231.05939,25.633734,-395.96124
,-229.90231,28.123684,-393.00427
,-227.00984,25.548956,-389.97543
,-227.67865,27.524206,-389.48062
65448,-227.87903,28.880943,-389.65933
,-229.40257,29.951027,-388.47812
,-229.22488,29.14908,-386.65887
,-229.83081,28.6983,-388.55713
65527,-227.25812,29.894442,-384.9979
,-228.76675,27.48804,-386.11526
,-226.8817,30.655468,-382.62253
,-227.50046,31.041334,-381.4285
65606,-228.7534,30.970474,-382.9747
,-228.94435,32.329193,-382.87274
,-227.4975,29.442038,-382.13257
,-228.91217,35.815594,-379.17087
65685,-228.05536,34.080917,-379.06354
,-229.5421,34.59919,-379.1019
,-227.29277,31.845625,-377.92285
,-226.93344,34.202976,-375.2644
65765,-226.49843,32.816853,-374.25137
,-225.71568,31.905935,-372.87604
,-226.05267,32.753128,-373.28433
,-226.21974,29.876678,-372.53143
65844,-226.53789,30.727833,-372.37845
,-228.15346,33.658253,-371.9883
,-225.23566,32.68877,-367.41342
,-225.52344,31.386833,-369.4647
65923,-226.13957,34.413532,-368.92404
,-225.86385,33.07265,-366.50003
,-225.16074,32.42476,-366.33923
,-224.39291,34.990326,-362.6653
66002,-225.57869,31.733759,-363.79538
,-224.53851,34.75867,-362.00446
,-225.2117,32.4928,-361.70068
,-224.97792,31.903673,-363.20853
66082,-224.73341,32.156147,-360.92245
,-223.64534,31.711512,-360.4478
,-223.75798,31.486797,-358.80466
,-223.77638,31.762705,-358.1949
66162,-225.82237,31.560236,-359.89932
,-222.67888,31.320055,-357.4396
,-223.21591,29.283857,-358.07733
,-222.55981,32.665257,-354.25803
66241,-223.5426,30.69278,-355.86276
,-223.74388,31.008974,-354.5437
,-224.33995,30.840052,-354.9902
,-220.89201,30.025614,-351.9334
66320,-222.03957,32.057648,-353.3879
,-223.33153,30.177643,-351.8901
,-223.63904,27.831198,-353.0049
,-221.81314,28.345898,-350.54276
66399,-220.86037,28.712135,-350.62442
,-221.76352,26.47664,-351.01465
,-219.45547,26.09593,-349.9761
,-222.64598,30.3654,-348.77734
66479,-221.01363,30.078789,-349.3998
,-220.26692,26.240229,-349.5245
,-221.85468,28.896723,-349.46353
,-222.47517,27.682299,-349.11392
66558,-221.0659,29.307213,-348.27457
,-222.17456,28.147593,-350.15494
,-219.849,26.45043,-348.2284
,-220.52855,27.103281,-347.68756
66637,-221.69922,29.410233,-348.67264
,-223.74182,27.888338,-349.91003
,-220.06482,26.483778,-348.5014
,-220.74767,32.976055,-347.20578
66716,-221.41156,26.192167,-347.84314
,-221.67567,29.41519,-347.97098
,-221.67918,26.214611,-349.6598
,-222.61343,30.092468,-348.96613
66796,-223.65364,27.067554,-350.75705
,-221.60161,28.591433,-349.23898
,-221.25389,29.066637,-348.8767
,-222.66953,30.360445,-349.479
66875,-220.04465,27.808159,-348.26678
,-220.77383,30.330269,-347.25406
,-220.42963,27.604897,-348.5806
,-222.28589,29.243292,-348.83847
66955,-221.72542,26.764444,-348.7209
,-222.44429,30.329079,-348.92532
,-222.0007,28.385195,-349.97382
,-223.2485,28.595198,-350.2086
67034,-221.3584,28.004284,-350.4662
,-219.96501,27.54514,-347.05225
,-222.18059,26.826183,-349.96857
,-220.24931,29.443779,-347.4147
67113,-220.32556,28.387375,-348.1622
,-221.3905,28.557093,-349.1063
,-220.53105,29.46325,-349.65234
,-220.73528,31.378742,-347.6292
67193,-223.1256,29.381641,-349.22888
,-222.01616,27.061804,-350.06808
,-222.25081,27.091187,-350.90244
,-219.95602,27.267248,-347.9427
