timestamp,x,y,z
43635,-0.43550926,2.7901309,9.56924
,-0.39482984,2.8164527,9.408915
,-0.27279153,2.811667,9.526167
,-0.42833054,2.7925239,9.715207
43715,-0.36611494,2.885847,9.52856
,-0.4402951,2.938491,9.626669
,-0.34218585,2.761416,9.334735
,-0.27518442,2.8762755,9.648206
43794,-0.51208234,2.7470584,9.557275
,-0.4498667,2.7662017,9.724778
,-0.35893622,2.7781663,9.727171
,-0.28714898,2.7925239,9.518989
43874,-0.40200856,2.8260245,9.597955
,-0.28236315,2.9025974,9.815709
,-0.46661708,3.0007067,10.413936
,-0.8925547,3.2639267,11.323241
43953,-1.0983448,3.3452854,11.823359
,-0.3613291,3.5271466,11.995648
,-0.22493336,3.6324344,12.093758
,-0.31586388,3.7903664,12.203832
44033,-0.5168682,3.771223,12.132044
,-0.6173703,3.7090075,11.555353
,-0.66044265,3.5223608,10.84466
,-0.36372203,3.5175748,10.6364765
44112,0.17468229,3.9147975,10.31822
,-0.42833054,3.7855806,9.901854
,-0.4785816,3.9435124,9.605133
,-0.6173703,4.0296574,9.365842
44191,-0.40679437,4.338342,9.466345
,-0.6532639,4.407737,9.492666
,-0.80641,4.5345607,9.274912
,-0.8614469,4.8264956,9.239018
44270,-1.3567789,4.998785,9.17441
,-0.9404129,5.2883267,9.0571575
,-1.2203832,5.391222,8.920761
,-1.6223917,5.6640134,8.956655
44349,-1.6104271,5.709479,8.561825
,-1.5266753,5.549154,7.609448
,-1.119881,5.8482676,7.422801
,-0.9284483,6.3124914,7.3773355
44429,-1.3400285,6.4608517,7.3845143
,-1.3759222,6.5278535,6.719286
,-1.4620669,6.5541754,6.010985
,-1.4692456,6.7336435,5.515653
44508,-1.6343563,7.061472,5.7740874
,-1.8927903,7.3294773,5.5371895
,-1.9286839,7.2768335,4.7547083
,-1.823396,7.370157,4.2091255
44587,-1.6726427,7.592697,4.158874
,-1.9191123,7.8248096,4.374236
,-1.4453164,8.32732,4.29527
,-1.6822144,8.157424,3.644399
44666,-1.6870002,8.193317,3.4481807
,-1.6271775,8.583362,3.8095098
,-1.8664683,8.628826,3.8597608
,-2.112938,8.863332,4.010514
44746,-1.720501,8.973405,3.5558615
,-1.7324655,8.789151,3.177782
,-1.562569,8.963834,3.204104
,-2.00765,9.231839,3.6898644
44826,-1.8329676,9.308413,3.2495692
,-2.0890088,9.085872,2.390515
,-1.588891,9.253376,2.3378713
,-1.4692456,9.404129,2.5723763
44905,-1.7994668,9.382592,2.3091564
,-1.7875023,9.277305,1.770752
,-1.6271775,9.368236,1.509925
,-1.720501,9.509417,1.4142087
44984,-1.6176059,9.542917,1.3256711
,-1.8114314,9.538132,1.2490981
,-1.8975761,9.52856,0.7968384
,-1.7851094,9.440022,0.6101916
45063,-1.8880045,9.657777,0.89734054
,-1.9454343,9.731957,0.67240715
,-1.6152129,9.710421,0.40440148
,-1.7683591,9.619491,0.105287954
45143,-1.9932925,9.609919,-0.107680865
,-2.0650797,9.686492,-0.17707519
,-2.1296883,9.897068,0.043072347
,-2.2493336,9.629062,-0.34457877
45222,-2.08183,9.420879,-1.1150951
,-2.108152,9.4998455,-1.3519931
,-2.0507221,9.566847,-1.067237
,-2.0914016,9.839638,-0.69633627
45301,-1.9215052,9.73435,-0.90691215
,-1.61282,9.782208,-1.2371335
,-1.4692456,9.521381,-1.4692456
,-1.509925,9.73435,-1.3448143
45380,-1.7037506,9.837245,-1.1485959
,-1.5817122,9.803744,-1.5051392
,-0.81119585,10.052607,-1.3759222
,-1.588891,9.834852,-1.4979604
45459,-1.5290682,9.916211,-1.3615648
,-1.718108,9.925783,-1.2802058
,-1.433352,9.655384,-1.7922882
,-1.3878866,9.538132,-2.0770442
45539,-1.4285661,9.389771,-2.4694812
,-1.3137065,9.456773,-2.6226273
,-1.5769265,9.406522,-2.6633067
,-1.8880045,9.270126,-2.782952
45619,-1.8281817,9.351485,-3.1610315
,-1.715715,9.114587,-3.543897
,-1.6223917,9.095444,-3.8310459
,-1.7779307,9.030835,-3.988978
45698,-1.6941789,9.143302,-4.012907
,-1.8090385,9.045193,-4.034443
,-2.010043,9.121766,-3.8669395
,-1.720501,9.040407,-4.1469097
45777,-1.7540016,8.982977,-4.16366
,-1.8521109,8.98537,-4.1516957
,-1.9597918,9.100229,-3.8573678
,-2.1272953,9.143302,-3.6228628
45857,-1.7276796,9.270126,-3.5391111
,-1.6080343,9.363449,-3.383572
,-1.7348584,9.1983385,-3.309392
,-1.74443,9.176803,-3.5223608
45936,-1.8449322,9.296448,-3.3859649
,-1.6104271,9.485488,-2.943277
,-1.8425392,9.394557,-2.837989
,-1.430959,9.463951,-3.2232473
46015,-1.7516087,9.320377,-3.3404996
,-1.7516087,9.308413,-3.4433947
,-1.6630712,9.17441,-3.594148
,-1.9095407,9.28209,-3.2974274
46094,-1.8592896,9.337128,-3.3189635
,-1.899969,9.270126,-3.4051082
,-2.08183,9.286877,-3.275891
,-1.926291,9.270126,-3.3165705
46173,-2.0866158,9.253376,-3.3524642
,-1.7013576,9.289269,-3.383572
,-1.7516087,9.267733,-3.5056105
,-1.7563945,9.253376,-3.4457877
46253,-1.8545038,9.30602,-3.2974274
,-1.6534995,9.1983385,-3.4505734
,-1.74443,9.384986,-3.1849606
,-1.7994668,9.473523,-3.1275308
