timestamp,x,y,z
26584,-1.96,-0.7,1.225
,-1.925,0.21000001,-1.47
,-2.17,-0.28,-2.765
,-1.89,-0.245,0.385
26664,-2.485,-1.085,1.155
,-3.325,-0.665,-0.28
,-4.025,-0.84000003,-1.19
,-3.675,0.455,0.21000001
26744,-3.535,-0.84000003,-0.63
,-2.8,-1.26,-3.045
,-2.24,-1.4,-2.835
,-2.03,0.42000002,-0.28
26823,-1.96,-0.21000001,1.505
,-2.17,-2.485,-1.26
,-3.045,-3.08,-3.64
,-4.235,0.315,1.925
26902,-4.445,-0.42000002,-0.035
,-3.605,-1.645,-2.975
,-1.26,-3.255,-5.67
,-0.595,-0.07,-2.695
26981,0.28,-0.07,0.175
,-0.175,-1.05,-0.91
,1.015,-2.485,-2.905
,3.7450001,0.14,1.05
27061,4.445,-0.245,-0.735
,5.145,-1.4350001,-1.33
,7.665,-0.42000002,2.065
,9.8,-1.785,0.805
27140,10.22,-3.115,-1.645
,10.255,-2.625,-2.345
,6.895,-1.715,-3.955
,6.895,3.325,-0.315
27219,5.88,-2.73,-7.14
,4.76,-12.74,-10.22
,6.825,-13.86,-8.75
,11.69,-9.24,-11.97
27298,10.465,-11.83,-15.785
,9.94,-12.11,-15.645
,16.03,-8.96,-14.315001
,21.63,-4.13,-3.43
27377,25.41,-7.91,-7.035
,22.715,-6.3,-3.815
,19.355,-4.095,-7.175
,17.43,-4.025,-4.8650002
27457,20.23,-7.805,-8.47
,23.975,-4.655,-7.525
,21.945,-2.24,-0.77
,17.85,-8.645,-8.925
27537,17.64,-10.955,-11.83
,24.535,-10.99,-8.015
,28.525,-4.55,-6.895
,22.855,7.21,4.13
27616,12.32,6.79,-11.41
,0.49,-3.885,-22.12
,-2.66,-13.09,-19.74
,6.09,-15.33,-5.53
27695,24.29,-21.245,-9.205
,24.115,-29.05,-17.115
,12.32,-26.775,-12.775
,1.4,-27.09,-9.345
27775,-3.815,-20.825,1.855
,4.725,-15.645,11.62
,13.265,-13.825,-4.62
,14.63,-7.35,-25.97
27854,8.61,-7.63,-44.24
,1.295,-6.16,-23.87
,4.515,-8.89,-11.725
,9.17,-9.345,-7.105
27933,5.67,-16.905,-22.4
,5.39,-21.315,-32.725
,4.9,-18.935,-24.01
,11.2,-6.58,-0.07
28012,22.505,-3.78,10.815
,23.8,-5.18,-6.335
,8.19,-4.9,-17.605
,3.325,-2.135,-16.905
28091,8.61,2.03,7.945
,17.255,6.335,22.575
,21.07,4.655,6.79
,13.685,-3.7450001,-7.735
28171,20.475,-5.46,-11.4800005
,31.710001,-8.295,5.635
,40.95,-9.135,21.945
,40.6,-10.22,20.93
28250,29.995,-11.41,3.85
,19.6,-12.985,-18.55
,23.135,-9.24,-18.97
,31.99,-5.67,-5.915
28330,31.255001,-4.655,-3.92
,24.29,-6.79,-12.845
,12.81,-10.045,-24.78
,9.695,-5.88,-18.515
28409,13.125,-5.7400002,-10.885
,16.205,-2.275,-8.085
,11.83,-5.915,-9.695
,1.155,-5.46,-13.335
28489,-10.535,-4.515,-11.655
,-12.74,-8.12,-1.575
,-10.6050005,-7.945,-2.59
,-2.975,-2.31,-10.43
28568,-4.375,-6.09,-9.695
,-3.08,-7.805,2.59
,-1.155,-5.635,5.565
,2.275,-1.715,1.575
28647,3.29,-2.625,5.25
,4.025,-1.75,6.58
,-2.695,-4.06,4.375
,-2.275,-4.13,1.12
28726,2.625,-2.52,0.735
,2.59,-0.735,0.735
,3.22,-1.05,3.3600001
,4.655,0.105000004,-0.035
28805,1.6800001,0.315,-6.405
,-2.73,-0.49,-2.31
,-4.06,1.015,8.715
,-6.545,0.91,3.185
28885,-8.4,-2.8,-1.365
,-9.59,-2.205,-8.26
,-11.165,-0.84000003,-5.215
,-11.55,0.665,2.135
28964,-9.415,-0.42000002,2.03
,-1.96,-2.905,-1.4350001
,3.465,-3.675,-3.64
,2.52,-6.02,0.875
29043,-4.62,-0.735,-2.205
,-12.67,-0.455,3.7450001
,-16.59,-2.24,10.78
,-13.65,5.565,3.01
29123,-14.84,3.22,-15.89
,-27.44,4.8650002,-19.95
,-46.06,8.05,-11.62
,-47.215,11.41,5.075
29203,-28.91,9.17,20.58
,-18.515,7.175,12.3550005
,-12.425,0.805,-2.45
,-11.4800005,-1.4350001,3.045
29282,-15.575,-1.89,4.795
,-21.14,7.385,10.255
,-7.91,13.72,13.125
,-2.555,8.89,5.25
29361,-11.585,5.775,2.275
,-16.415,0.315,6.965
,-17.395,-2.03,13.16
,-15.12,7.35,18.9
29440,-12.075,10.955,8.015
,-15.26,6.895,3.15
,-23.765,9.485,17.675
,-31.99,2.135,29.89
29519,-27.44,1.155,25.27
,-16.31,-3.465,14.805
,-23.24,-0.875,17.535
,-33.11,5.425,22.75
29599,-36.015,3.395,14.35
,-25.725,-5.285,6.685
,-18.025,-4.235,9.765
,-18.62,8.505,19.355
29678,-29.61,14.07,22.960001
,-33.915,4.2,14.455
