timestamp,x,y,z
32692,0.47140288,-1.5242825,9.909033
,0.22493336,-1.3639576,9.664956
,0.39482984,-1.430959,9.870746
,0.48815325,-1.6032485,10.011928
32771,0.36372203,-1.4644598,9.8922825
,0.416366,-1.7109293,10.019106
,0.416366,-1.7252867,10.057393
,0.3230426,-1.7492158,10.172253
32851,0.09571633,-2.2038684,10.55751
,0.035893623,-2.1033661,10.646049
,0.2632199,-2.290013,10.784837
,0.3565433,-2.1153307,10.622119
32930,0.26082698,-2.2110472,10.808765
,0.5910483,-2.112938,10.638869
,0.2584341,-2.000471,10.780051
,0.026321989,-2.3833365,10.985841
33009,0.1172525,-2.4766598,11.016949
,0.42354473,-2.1416528,10.495295
,0.46422416,-1.8568966,10.205753
,0.5072965,-1.9693633,10.229682
33088,0.54797596,-1.7252867,10.270362
,0.069394335,-1.5338541,10.267968
,-0.047858164,-0.7992313,10.016713
,0.5072965,-1.5434257,10.038249
33168,0.54079723,-1.4118158,9.999963
,0.49293905,-1.5912839,10.296683
,0.78487384,-1.2682413,9.944926
,0.73701566,-0.9667349,9.672134
33248,0.650871,-1.3065279,10.122002
,0.4139731,-1.3113136,9.923389
,0.63172776,-0.9547703,9.880318
,0.36850783,-1.0600582,9.842031
33327,1.0026284,-0.6221561,9.58599
,0.7202653,-0.3852582,9.504631
,0.99305683,-0.09571633,9.440022
,0.79205257,-0.3613291,9.373021
33406,0.66044265,-0.067001425,9.547704
,0.45465255,-0.35893622,9.710421
,0.8255533,0.16032484,9.262947
,1.4285661,-0.055036888,9.1983385
33485,0.8925547,-0.021536173,9.56206
,0.911698,0.18664683,9.435237
,0.78008807,0.2919348,8.966227
,0.8805902,0.5814767,9.270126
33565,0.9667349,0.6269419,9.478309
,0.9786994,0.24886245,9.578811
,0.7633377,0.22493336,9.7176
,0.9499845,0.5695121,9.444808
33644,0.9858781,0.97152066,9.459166
,1.0433079,1.222776,9.250982
,1.0887731,1.119881,9.210303
,0.93323416,0.7154795,9.798959
33723,1.3854938,1.1294526,9.239018
,1.0026284,1.0911661,9.408915
,0.7609448,1.328064,9.645813
,0.43790218,1.5171037,9.408915
33802,0.8518753,1.3448143,9.475916
,1.0911661,1.6415349,9.480701
,1.0792016,1.715715,9.064336
,1.588891,0.92605543,9.7917795
33882,0.7776951,1.0122001,10.162681
,1.1318455,2.1919038,9.176803
,0.93802,2.057901,9.193553
,1.2969562,1.7133222,9.341913
33961,1.0169859,1.4213874,9.925783
,0.6125845,1.3735292,9.631455
,0.5049036,1.9550059,8.9973345
,1.0193789,1.6008555,9.274912
34041,0.5647263,1.3759222,9.681706
,1.1892753,1.5338541,9.578811
,0.9858781,2.706379,8.671899
,-0.17946811,1.4955676,9.284483
34120,-0.28714898,1.4166015,9.911426
,1.2395264,1.536247,9.490273
,1.8856115,0.6460852,10.078929
,1.2993491,0.7633377,10.397185
34199,0.8279462,2.0866158,9.638634
,0.3613291,2.0124357,9.88271
,0.86623275,1.3926725,9.877925
,0.7441944,1.639142,9.578811
34279,-0.004785816,2.6489491,9.483095
,0.50968945,2.555626,9.652991
,0.8518753,2.5699832,9.404129
,0.5360114,1.902362,9.899461
34358,0.63172776,2.5628045,9.341913
,1.2490981,2.4623024,9.559668
,1.1725249,2.0220072,9.995177
,1.2012398,2.6345918,9.662563
34437,0.8997334,2.7901309,9.5500965
,0.78248096,2.785345,9.66017
,1.2802058,1.9837208,9.949712
,0.73701566,1.588891,9.885103
34516,0.9164838,1.5793194,9.904246
,0.9739136,2.8571322,9.317985
,0.7776951,2.452731,9.6410265
,0.8159817,2.084223,9.684099
34596,1.2155973,1.5960697,9.815709
,1.3208853,1.8162172,9.904246
,0.9667349,2.5340896,9.772636
,0.6173703,3.1490672,9.796566
34675,0.6795859,4.6661706,8.975799
,0.51926106,4.4651666,9.143302
,0.10289505,3.8956544,9.703242
,0.54079723,4.271341,9.1480875
34754,0.37568656,4.993999,8.772401
,0.92366254,4.0990515,8.085636
,0.84708947,1.7922882,9.480701
,1.0122001,-0.3254355,10.165073
34833,1.0792016,-1.0241647,10.205753
,0.4115802,0.66283554,10.770479
,0.12203831,2.6154485,8.640791
,0.39482984,4.2593765,7.528089
34913,0.75615895,1.899969,8.664721
,0.63412064,-0.033500712,10.390007
,1.2658484,1.5242825,8.959048
,1.2658484,2.184725,8.791544
34993,1.2467052,2.8571322,7.5568037
,1.6295704,0.832732,8.777187
,0.6269419,-1.2443122,11.052842
,0.7322299,-0.047858164,9.746315
35072,0.5144752,2.1153307,8.169388
,1.1605604,1.9143264,7.965991
,1.0552725,-0.5360114,9.66017
,0.3326142,-1.87604,10.9786625
35151,1.1150951,-1.093559,10.179431
,0.4402951,0.021536173,9.631455
,0.81358874,0.7154795,9.4495945
,1.9358627,-0.22971918,9.88271
35230,0.650871,-1.7396442,11.194024
,0.33979294,-0.7992313,10.897304
,0.9451987,0.57908374,9.820495
,1.3735292,1.0983448,9.11698
35310,1.2203832,1.3902797,9.05955
,0.6580497,0.61497736,9.976034
,0.83991075,0.002392908,10.172253
,1.1892753,0.9140909,9.578811
35389,0.60301286,0.8805902,9.566847
,1.3974583,0.6197632,9.547704
,0.69633627,0.30150643,10.160288
,0.15075321,0.5910483,9.894675
35468,0.5647263,1.0600582,9.207911
,0.5072965,0.7681235,9.215089
,0.93562704,-0.6197632,10.643655
,0.56711924,-0.3804724,10.882946
35547,0.43790218,0.08614469,10.413936
,0.46183127,0.74658734,9.609919
,0.22493336,0.71787244,9.820495
,0.598227,0.19382556,10.248825
35626,0.6580497,0.4091873,10.066964
,0.7944455,0.55036885,9.856388
,0.49293905,0.45943835,9.67692
,0.9858781,0.2368979,9.82528
35706,0.885376,0.105287954,10.306255
,0.54797596,0.08614469,10.172253
,0.84948236,0.48576033,9.861175
,0.99305683,0.69872916,9.88271
35786,0.8255533,0.8279462,9.7415285
,1.0720228,0.7705164,9.748708
,1.3113136,0.45943835,10.263183
,1.1342385,0.5910483,9.995177
35865,0.78487384,0.38765112,10.413936
,0.79205257,0.44747382,10.488116
,1.7516087,0.8614469,9.746315
,0.56711924,0.60540575,10.189003
35944,0.8518753,0.59583414,10.191396
,1.222776,0.8877689,9.990392
,1.251491,0.9451987,9.976034
,1.1868824,0.95955616,9.923389
36024,1.1629534,1.1007377,9.920997
,0.7202653,1.0433079,9.925783
,1.1677392,0.8566611,10.131573
,0.93084127,1.0959519,9.904246
36103,1.1294526,1.1031306,9.6912775
,0.9763065,0.64369226,10.488116
,0.47618872,0.46183127,10.653227
,0.87819725,0.5336185,10.859017
36182,1.1797037,0.48336744,10.765694
,1.2754201,0.42354473,10.856624
,1.1366314,0.46422416,10.46658
,0.99066395,0.60301286,10.308648
36261,1.3184924,0.7059079,10.208146
,1.0648441,0.5312256,10.189003
,1.1079165,0.39961565,10.016713
,0.78248096,0.3254355,9.976034
36340,1.2490981,0.416366,9.856388
,0.68915755,0.2680057,9.899461
,1.3591717,0.5695121,9.459166
,1.4189945,0.5360114,9.739136
36420,0.93802,0.571905,9.60274
,0.72744405,0.34936458,10.035856
,0.84948236,0.31107804,10.11243
,1.7396442,0.57669085,9.351485
36500,1.2203832,0.37329367,9.801352
,0.8351249,0.6269419,9.638634
,0.84230363,0.34457877,9.763065
,1.2730271,0.24168372,9.98082
36579,1.1222739,0.2943277,9.918604
,0.99784267,0.5025107,9.588383
,1.2275618,0.12203831,10.306255
,1.3328499,0.107680865,10.0334635
36658,1.2108115,0.37807947,9.751101
,1.1031306,0.39722276,9.875532
,1.1127023,0.598227,9.633848
,0.8518753,0.31107804,9.932961
36738,1.483603,0.2967206,9.9425335
,0.93323416,0.24168372,9.880318
,1.3208853,0.18186101,9.9927845
,0.92605543,0.34218585,9.9425335
