timestamp,x,y,z
37610,37.173775,-95.23334,-30.448349
,38.760303,-94.69025,-28.960844
,35.595882,-92.29499,-28.935606
,36.39617,-94.041565,-30.512247
37689,37.535618,-94.75516,-29.665077
,37.69107,-94.241646,-28.87416
,36.69251,-93.297386,-30.522503
,36.363205,-94.0485,-31.494558
37768,36.52982,-91.932724,-29.578573
,36.352894,-95.09103,-30.277435
,38.755592,-94.69124,-29.101175
,38.024338,-89.52928,-28.882166
37848,35.07815,-93.56655,-31.68089
,36.483585,-91.38288,-28.63968
,34.888954,-90.607544,-30.734531
,36.25792,-91.63139,-30.364452
37927,36.27458,-93.50759,-31.818638
,37.294617,-91.80705,-30.26235
,36.45358,-92.98913,-30.32607
,37.732708,-90.27247,-28.731583
38006,35.61004,-91.811226,-32.35459
,37.213657,-92.86445,-31.150177
,36.85488,-90.42192,-31.415728
,37.834167,-91.65002,-31.499802
38085,39.461338,-92.6983,-29.593737
,36.452393,-89.30873,-32.617558
,38.974937,-91.043205,-30.979319
,36.906715,-89.930214,-33.71207
38165,38.10489,-88.270966,-33.00541
,39.338104,-89.24461,-30.522736
,37.898495,-88.235634,-32.997765
,38.851704,-87.58952,-31.908316
38245,36.362907,-89.32757,-35.28383
,40.52118,-92.66809,-33.80106
,37.988007,-87.73601,-34.17147
,40.618904,-88.96688,-33.145615
38324,41.083076,-89.30651,-32.788372
,42.96245,-91.219826,-32.99994
,39.949547,-91.791504,-35.0437
,41.039474,-86.11585,-32.502853
38403,39.038834,-87.9087,-33.648376
,39.844265,-89.3744,-33.913593
,37.647526,-90.089386,-36.268593
,37.74907,-87.42774,-33.975037
38482,38.354565,-87.256836,-33.24787
,41.053925,-90.353004,-32.13257
,39.448235,-86.659935,-34.130688
,36.466118,-89.104836,-37.20764
38562,39.263638,-88.21993,-34.2658
,41.121643,-88.25804,-33.163513
,39.625484,-87.74175,-33.48253
,38.54729,-86.53447,-36.345387
38641,38.26123,-86.71692,-33.712276
,38.302757,-87.26774,-34.7915
,38.86629,-86.82588,-34.156204
,39.253326,-89.26246,-33.048676
38720,36.01651,-88.48235,-35.972797
,39.57882,-87.471794,-33.714733
,38.270218,-86.994804,-34.602715
,38.653866,-88.11196,-33.962204
38799,37.716534,-87.15481,-33.78625
,39.74272,-92.03605,-36.20715
,38.55964,-88.61258,-32.92883
,38.77075,-88.64692,-32.796143
38879,37.20099,-86.54621,-34.51603
,37.80548,-91.935844,-33.51288
,37.87319,-89.84088,-34.543823
,36.39413,-90.92091,-35.145927
38958,37.904415,-91.43423,-34.405922
,34.504906,-89.28947,-36.386116
,33.60821,-89.923676,-35.791603
,34.682587,-90.091415,-34.56686
39038,34.88855,-90.40662,-35.7456
,33.049816,-90.08467,-35.11547
,34.40169,-89.5122,-34.462303
,34.65772,-91.416794,-34.941826
39117,35.134804,-88.553856,-32.6151
,36.53028,-91.172035,-32.24745
,34.949776,-90.39373,-33.92131
,32.89612,-88.997894,-35.061977
39196,35.25465,-90.68812,-32.153122
,32.66792,-87.36723,-34.911575
,32.082123,-86.97443,-32.73523
,32.429302,-91.2991,-34.76585
39276,33.579063,-90.97017,-35.1358
,31.935234,-88.0457,-35.58768
,30.640764,-87.565735,-36.05467
,32.559566,-87.87083,-34.29919
39355,33.886574,-88.623726,-34.020985
,33.063625,-85.841576,-34.643776
,35.963787,-90.0146,-32.17867
,33.341877,-89.061615,-34.09496
39434,31.641962,-85.86917,-35.059704
,34.505337,-89.00959,-35.21502
,35.54585,-90.22481,-33.474804
,30.783836,-85.45491,-34.840336
39513,34.490425,-85.53311,-32.916424
,33.200127,-89.85203,-35.635983
,34.945957,-89.35418,-35.559425
,37.261784,-86.813194,-33.862835
39593,37.531937,-88.714806,-33.921364
,38.398163,-90.447495,-33.533386
,37.29903,-87.08514,-33.911293
,39.72649,-89.87998,-33.581867
39672,37.838585,-86.92811,-35.148743
,38.790047,-87.882286,-34.9037
,39.321476,-86.88763,-32.908524
,40.85566,-91.15531,-35.35755
39751,37.709213,-89.31583,-37.113186
,39.967175,-88.58796,-32.93389
,39.0384,-88.18857,-34.819473
,38.189266,-88.0522,-35.49054
39831,39.923035,-90.19717,-35.04127
,40.183422,-88.34143,-31.48978
,36.36762,-89.32658,-35.143497
,38.2851,-90.95208,-33.061333
39910,38.500916,-90.98543,-32.78832
,35.821175,-91.36476,-36.061882
,35.55441,-90.78257,-35.536335
,37.77162,-92.98333,-32.997406
39990,34.518143,-90.327034,-34.467342
,35.24009,-90.97096,-33.74521
,36.90747,-93.89047,-32.59168
,35.699444,-95.83159,-34.7501
40069,34.050556,-89.14877,-31.451626
,33.692417,-95.18651,-31.818583
,33.738655,-95.73634,-32.757477
,34.466633,-95.05887,-32.2217
40148,32.90836,-95.59601,-32.86722
,33.859818,-96.550186,-32.62218
,32.451077,-93.37523,-31.06863
,33.82004,-94.39907,-30.698551
40227,31.198135,-93.44608,-32.61484
,32.503235,-97.12365,-33.41568
,34.655052,-94.538414,-30.448475
,32.609947,-93.70034,-33.650673
40307,32.288383,-92.01056,-30.1247
,34.430244,-94.22718,-29.831053
,32.70196,-95.56068,-32.859577
,34.577164,-92.67511,-30.81858
40386,33.452164,-96.19866,-31.295465
,33.913376,-94.938995,-30.234142
,34.50517,-94.49119,-28.756868
,35.676727,-95.7576,-29.269579
40465,32.50202,-93.924065,-31.867193
,34.160088,-92.32557,-29.772522
,33.957973,-92.569115,-30.795643
,32.940548,-92.10961,-29.165327
40544,37.37971,-96.029335,-27.787113
,34.490612,-94.77403,-30.348955
,32.89038,-95.04023,-31.086351
,33.922367,-95.21688,-31.124578
40624,33.34217,-93.78255,-30.305689
,32.809963,-91.29775,-29.581282
,32.269547,-92.01453,-30.686022
,35.13378,-94.5952,-28.499146
40704,32.485363,-92.047874,-30.413008
,32.225384,-94.10453,-28.953426
,33.295933,-93.23271,-29.366796
,30.777992,-96.01724,-32.086506
40783,30.58069,-91.73981,-31.747498
