timestamp,x,y,z
435287,32.765907,-88.86775,-26.626884
,32.69098,-88.603745,-27.701069
,34.82724,-91.8619,-26.049967
,32.87337,-89.4047,-25.741486
435366,32.441734,-89.338,-26.287514
,34.715496,-91.04607,-25.9046
,33.587215,-88.730194,-25.6267
,32.77226,-91.786476,-26.863947
435445,33.910065,-89.58036,-25.639383
,35.93119,-90.70326,-24.30993
,35.16126,-91.10979,-24.93758
,33.19754,-88.93445,-26.080854
435524,33.87314,-93.54855,-25.641632
,33.808952,-91.96214,-26.761845
,34.057735,-91.988556,-25.50652
,36.58631,-92.40163,-24.054636
435603,34.378944,-89.919,-25.141811
,33.679234,-90.59053,-24.835604
,37.5656,-93.629715,-24.138712
,36.2742,-90.22905,-24.08798
435683,35.841248,-91.48278,-24.307322
,32.654594,-87.77206,-25.310421
,36.491657,-93.18212,-24.192358
,33.763145,-91.13244,-24.651855
435762,35.07263,-90.56888,-25.26166
,35.30126,-91.91968,-24.240967
,34.24102,-91.74897,-25.044718
,34.902164,-92.125916,-24.975782
435841,34.851215,-91.57707,-24.17722
,33.608128,-91.36607,-24.271677
,33.207714,-92.89272,-24.679804
,34.129166,-95.45314,-26.121153
435920,34.756996,-92.0777,-23.143845
,33.953205,-93.5317,-23.256021
,34.755245,-93.67798,-23.988255
,36.77341,-93.20159,-21.954723
436000,33.629925,-92.9614,-24.414434
,34.98048,-93.70935,-23.43458
,37.034145,-95.10519,-22.293913
,35.899834,-94.11072,-21.829657
436080,34.484524,-97.05704,-22.482647
,34.636154,-95.503975,-23.329844
,37.062836,-94.81937,-20.280836
,34.471714,-95.73959,-23.230324
436159,36.13866,-98.93899,-23.247889
,34.53076,-97.606865,-23.421537
,34.041832,-94.07261,-22.931942
,33.658077,-97.47546,-24.794256
436238,32.835556,-94.41343,-24.24595
,33.002068,-96.81765,-23.551767
,35.766613,-95.93968,-21.592236
,32.64754,-95.1348,-21.008106
436317,33.936436,-96.1755,-23.023636
,34.669556,-95.21716,-21.176435
,33.59989,-95.04844,-22.260849
,32.516525,-94.60281,-22.595154
436397,34.839912,-98.180145,-22.684114
,33.62683,-96.3629,-21.09218
,32.82393,-96.77637,-22.70214
,33.684235,-95.31046,-20.906004
436476,34.204063,-96.197945,-21.206991
,31.149311,-91.978676,-22.120825
,34.174915,-97.24444,-20.55119
,32.592342,-93.82629,-23.018753
436555,34.826645,-97.62336,-20.76291
,32.218864,-96.6674,-22.258213
,33.679092,-95.59133,-22.21743
,32.883408,-98.36378,-21.72226
436634,33.78306,-99.32886,-23.02085
,34.361156,-98.60416,-20.793468
,31.505018,-97.34191,-22.373
,34.226295,-97.513405,-20.178654
436714,33.75402,-95.85534,-21.143246
,33.81318,-93.202614,-20.11266
,33.73868,-92.65873,-20.015747
,32.605152,-95.14372,-22.271076
436793,34.08115,-96.98439,-22.186695
,33.482117,-95.554016,-21.929125
,33.354923,-96.06158,-21.87806
,34.179195,-97.523315,-21.581955
436873,32.836308,-98.37369,-23.125559
,33.129692,-96.03021,-22.431734
,34.177124,-94.88348,-22.375658
,33.93348,-94.57621,-22.31956
436952,32.0759,-94.258224,-22.250748
,34.776157,-96.31385,-22.633228
,33.45561,-93.95968,-21.926695
,34.621136,-96.54749,-22.25305
437031,37.531284,-95.43787,-20.95436
,33.88724,-94.026375,-21.380667
,33.73782,-93.218475,-22.35794
,33.953205,-93.5317,-23.256021
437111,33.364803,-95.29893,-24.26628
,34.20966,-95.15641,-22.564445
,33.28735,-93.15575,-23.46529
,33.92242,-91.65848,-22.222826
437190,31.466593,-93.38958,-24.61603
,34.148865,-94.88943,-23.21764
,32.861744,-91.76765,-24.197676
,34.599014,-90.71203,-22.059586
437269,33.801147,-95.36463,-23.57992
,34.22643,-92.51261,-22.79683
,34.50514,-94.971985,-24.916891
,37.030754,-93.78576,-22.760931
437348,36.32765,-93.13786,-22.921741
,36.073265,-94.15299,-22.819613
,33.632996,-90.040695,-23.896713
,35.110313,-90.56095,-24.139019
437428,35.190376,-90.5441,-21.753407
,35.104713,-91.60249,-22.781565
,32.478985,-89.60994,-26.33597
,37.5245,-92.79902,-21.888393
437507,33.275856,-90.51788,-24.539654
,35.80914,-90.92996,-22.947441
,35.62379,-88.52971,-24.202944
,32.97656,-89.66276,-23.825321
437586,36.709656,-91.3353,-21.90384
,34.97973,-89.749084,-24.554972
,34.81058,-89.9857,-24.595781
,33.165,-88.661514,-25.892069
437666,34.417057,-89.631195,-22.848074
,35.049946,-90.01409,-23.621117
,33.48696,-90.55222,-24.40697
,32.093132,-90.85375,-25.15201
437745,34.19742,-88.5583,-24.759201
,35.395916,-91.139175,-24.103245
,33.955845,-90.89086,-23.909395
,32.305126,-89.84754,-26.51711
437825,35.820766,-88.567024,-24.491251
,32.845543,-89.130775,-25.412369
,32.821106,-90.17627,-24.616236
,33.612835,-91.36508,-24.131346
437904,34.753605,-90.75826,-23.610863
,34.83752,-91.30017,-23.427113
,34.51292,-92.05029,-24.25884
,31.536514,-88.933655,-27.471445
437983,33.646263,-90.597466,-25.817915
,33.967903,-88.248055,-24.28211
,33.87917,-92.22715,-25.82799
,31.709482,-89.736595,-25.792522
438062,32.09873,-89.81221,-26.509464
,36.864674,-91.101654,-22.284018
,33.969543,-91.16777,-24.659502
,33.7041,-89.26516,-24.460642
438142,32.20576,-90.62903,-26.795162
,33.22405,-90.528786,-26.083284
,32.124027,-88.20697,-24.963406
,32.76798,-91.5076,-25.83318
438221,33.987522,-91.72355,-26.440374
,34.69709,-90.77016,-25.294823
,34.775085,-88.11347,-23.702917
,31.608908,-87.3185,-24.522085
