timestamp,x,y,z
438776,-3.255,-0.385,-0.63
,-1.4350001,-2.45,-0.945
,-3.08,-1.96,-0.21000001
,-2.66,-1.155,0.035
438856,-3.01,-0.175,-0.245
,-0.35,-1.785,-1.715
,1.365,-3.7450001,-2.17
,1.715,-4.2,-0.175
438935,-3.01,-0.385,2.345
,-3.29,-0.42000002,2.17
,-4.13,-2.905,2.73
,-4.8650002,-3.01,4.935
439014,-6.7200003,1.19,7.945
,-7.91,4.76,10.115
,-4.445,3.605,9.52
,-2.625,3.045,10.5
439093,-3.185,5.285,14.7
,-5.985,6.3,18.06
,-3.535,5.25,17.92
,-3.045,-1.645,16.31
439173,-3.325,-1.33,16.24
,-5.39,2.905,15.61
,-4.27,3.395,12.705
,-2.415,1.995,9.87
439252,-3.78,3.255,10.395
,-1.295,0.84000003,10.325
,-6.685,2.625,10.22
,-4.2,-0.14,9.03
439332,-1.75,0.875,8.435
,-5.46,1.785,8.575
,-5.18,-0.245,8.75
,-1.785,-0.175,7.77
439411,-4.585,1.47,8.645
,-5.81,2.065,8.82
,-3.85,-0.35,8.085
,-4.725,-1.645,9.275
439490,-8.155,1.12,11.375
,-6.685,2.205,10.85
,-3.92,1.12,8.8550005
,-4.445,1.47,8.8550005
439570,-4.795,3.99,10.57
,-3.115,6.055,11.34
,-4.48,5.215,10.92
,-2.52,5.04,10.6050005
439649,-1.05,3.3600001,12.18
,-4.095,4.41,14.805
,-5.705,4.2,15.085
,-4.27,0.21000001,12.6
439728,-0.945,-3.29,9.205
,-1.225,-4.27,8.365
,-3.045,-2.835,8.75
,-5.46,-1.715,9.8
439807,-7.21,0.455,9.065
,-4.375,-0.595,6.335
,-3.325,0.525,4.69
,-3.185,0.42000002,5.11
439887,-2.765,-0.455,4.62
,-2.45,0.77,4.62
,1.12,2.205,3.85
,0.385,4.41,4.585
439966,-3.01,7.28,6.02
,0.28,4.935,6.37
,-0.595,4.76,7.42
,-2.835,4.235,8.645
440045,-3.255,3.29,9.24
,-1.4,0.35,9.24
,-2.625,0.56,9.87
,-3.92,-0.28,10.395
440125,-5.075,-1.295,9.87
,-5.46,-1.82,7.91
,-2.45,-2.345,5.11
,-3.325,-5.565,3.395
440204,-1.89,-5.67,1.575
,-2.24,-2.94,0.63
,-3.675,0.7,-1.575
,-1.715,2.94,-4.76
440284,-1.61,3.43,-6.02
,-2.59,4.725,-5.635
,-2.065,4.375,-4.41
,-0.665,2.94,-2.8700001
440363,-2.8700001,0.805,-1.75
,-2.765,-1.54,-1.47
,-4.375,-1.61,-1.4350001
,-3.395,-3.01,-2.1
440442,-1.995,-4.095,-3.5
,-2.485,-4.55,-5.005
,-1.785,-3.57,-6.965
,-0.35,-1.89,-9.87
440521,0.63,1.33,-12.53
,-0.875,3.535,-14.1050005
,-0.735,6.23,-14.63
,1.505,6.16,-13.755
440601,0.805,3.99,-12.285
,0.455,-0.315,-11.235
,1.155,-2.31,-10.745
,-0.665,-4.445,-10.43
440680,-3.675,-5.67,-10.185
,-3.535,-7.84,-10.885
,-1.855,-10.71,-11.515
,-2.73,-10.395,-11.165
440759,-2.03,-7.91,-12.145
,-1.015,-7.21,-13.79
,-1.75,-4.655,-14.385
,1.155,-2.765,-15.225
440838,-0.245,-2.59,-13.755
,-1.575,-1.785,-13.02
,-0.105000004,1.96,-13.615
,0.21000001,4.34,-14.7
440917,0.91,3.64,-15.365
,1.015,3.78,-14.945
,0.0,2.065,-12.88
,-2.065,0.595,-11.795
440997,0.315,0.21000001,-12.95
,2.485,-1.225,-13.615
,1.05,-2.625,-12.18
,-1.89,-2.45,-10.6050005
441077,-0.945,-3.15,-10.99
,0.805,-3.15,-12.25
,1.6800001,-3.64,-12.74
,-1.155,-2.275,-12.145
441156,-1.365,-2.695,-11.795
,-0.595,-4.025,-12.145
,0.77,-4.13,-12.985
,0.63,-2.38,-13.79
441235,0.455,-1.015,-13.65
,0.56,-0.84000003,-12.74
,1.995,-3.255,-11.4800005
,-1.575,-1.12,-9.52
441315,-3.255,0.56,-8.8550005
,-3.29,0.105000004,-8.82
,0.14,1.995,-8.75
,0.49,4.585,-8.54
441394,2.625,2.695,-8.05
,2.66,2.94,-7.035
,2.38,6.055,-5.775
,0.035,5.32,-4.48
441473,-1.61,5.915,-2.905
,-0.805,4.97,-1.26
,1.155,2.8700001,-0.455
,3.675,0.175,-0.7
441552,2.8,-2.8,0.63
,-1.33,-1.225,2.765
,-3.92,0.525,2.695
,-2.45,-2.415,1.505
441631,-2.415,-3.5,1.4350001
,-3.85,-3.185,2.59
,-3.71,-2.065,2.24
,-2.73,-3.29,0.98
441711,-3.01,-4.97,1.54
,-3.15,-4.27,2.8700001
,-4.97,-3.01,3.15
,-2.17,-1.575,0.875
441791,0.245,-3.675,-0.245
,-1.4,-3.71,1.26
,-3.605,-2.275,3.71
,-4.48,-3.43,3.64
441870,-3.255,-4.165,2.8700001
,-3.15,-3.535,3.64
,-2.8700001,-4.41,4.62
,-1.6800001,-2.905,4.13
