timestamp,x,y,z
449247,-1.2969562,0.057429794,9.798959
,-1.1031306,0.14118157,10.12918
,-1.2634555,0.13400285,9.899461
,-1.4118158,0.2392908,9.696064
449326,-1.5697477,0.12921704,9.719993
,-1.7803236,0.055036888,9.853995
,-1.87604,-0.021536173,9.758279
,-1.8903974,0.002392908,9.935354
449405,-1.8138243,0.0598227,9.98082
,-1.8042527,-0.011964541,9.925783
,-1.8880045,-0.03828653,9.770244
,-1.9047549,-0.08375178,9.873138
449485,-1.6534995,-0.021536173,10.050214
,-1.6487137,0.12443122,9.861175
,-1.6989647,0.110073775,9.6003475
,-1.7635733,0.12203831,9.576418
449564,-1.6558924,-0.057429794,9.26534
,-1.3974583,0.0598227,9.576418
,-0.7896597,0.2656128,10.413936
,-0.70112205,0.21057591,10.430686
449643,-0.95955616,0.12443122,10.378042
,-1.536247,-0.09332342,10.0837145
,-1.9215052,-0.21536173,9.66017
,-1.9167194,-0.033500712,9.70085
449722,-1.8664683,0.2632199,9.547704
,-1.9382555,0.21536173,9.39695
,-1.8927903,0.20339718,9.4495945
,-1.8186102,0.28954187,9.557275
449802,-1.8210031,0.19861138,9.478309
,-1.7228938,0.08135887,9.765458
,-1.5027462,0.09810923,9.899461
,-1.5242825,0.06460852,10.040643
449881,-1.457281,-0.055036888,9.822887
,-1.4931747,-0.12921704,10.059786
,-1.301742,0.12203831,9.987998
,-1.4046371,0.09810923,9.770244
449960,-1.509925,0.13160995,9.56206
,-1.3639576,-0.021536173,10.028678
,-1.3950654,-0.06460852,9.9927845
,-1.3376356,-0.09093051,9.897068
450040,-1.2897775,0.067001425,9.777423
,-1.2849916,0.06221561,9.813316
,-1.2730271,-0.028714897,9.932961
,-1.3567789,-0.026321989,9.7917795
450120,-1.3591717,0.004785816,9.67692
,-1.2706342,0.18186101,9.820495
,-1.2490981,0.08135887,9.954497
,-1.2897775,0.20100428,9.73435
450199,-1.3831009,-0.033500712,9.827674
,-1.2586696,0.002392908,9.887496
,-1.1868824,0.033500712,9.832459
,-1.1342385,0.10050214,9.664956
450278,-0.8901618,0.16750357,9.88271
,-0.67240715,0.16750357,9.815709
,-0.77530223,-0.057429794,9.667349
,-0.8231604,-0.105287954,9.760673
450357,-0.6173703,-0.0071787243,10.102858
,-0.6867646,-0.3230426,9.834852
,-0.42115182,-0.22971918,9.889889
,-0.1172525,-0.021536173,10.332577
450436,-0.028714897,0.22254045,10.521617
,-0.416366,0.035893623,10.023892
,-0.63412064,-0.069394335,9.961677
,-0.71787244,-0.004785816,9.98082
450516,-0.9834852,0.016750356,9.760673
,-1.0193789,-0.105287954,9.719993
,-0.93084127,-0.03828653,9.796566
,-0.9451987,0.05025107,9.705635
450595,-0.9021264,0.19382556,9.86596
,-0.63651353,0.22014755,10.086107
,-0.46901,0.36850783,10.023892
,-0.5312256,0.19621846,9.925783
450674,-0.79205257,-0.026321989,9.973641
,-1.040915,-0.27997026,9.894675
,-1.0289505,-0.19143265,9.937747
,-0.8734115,-0.10050214,10.0430355
450753,-0.83991075,0.040679436,10.011928
,-1.0313433,-0.067001425,9.999963
,-1.1868824,-0.19143265,9.949712
,-1.3089207,-0.37090075,9.746315
450833,-1.14381,-0.09332342,9.904246
,-0.9786994,0.10050214,9.746315
,-0.9140909,0.12921704,9.844424
,-0.9547703,0.009571632,9.925783
450913,-0.9786994,0.009571632,9.873138
,-1.0265576,-0.06221561,9.870746
,-1.0289505,-0.052643977,9.863567
,-1.0193789,0.014357449,9.6912775
450992,-0.83033913,0.24646953,9.789387
,-0.832732,0.1196454,9.901854
,-0.7202653,0.24646953,9.7917795
,-0.6748001,0.37568656,9.674527
451071,-0.78487384,0.028714897,9.944926
,-0.6125845,0.23211208,9.794173
,-0.5551547,0.110073775,10.066964
,-0.5623334,0.057429794,9.82528
451150,-0.650871,-0.05025107,10.160288
,-0.650871,-0.08614469,10.208146
,-0.7872668,-0.055036888,10.167466
,-0.9858781,0.055036888,9.897068
451230,-1.1222739,-0.16989647,10.031071
,-1.2754201,-0.14118157,10.009535
,-1.4022441,-0.10050214,9.909033
,-1.3854938,0.023929082,9.95689
451309,-1.4477094,-0.055036888,9.894675
,-1.6295704,-0.25125536,9.899461
,-1.6056414,-0.2656128,9.810924
,-1.4692456,-0.09810923,10.004748
451388,-1.4596739,-0.03828653,10.086107
,-1.6846073,-0.2057901,9.856388
,-1.6439278,-0.2632199,9.906639
,-1.4022441,-0.09332342,10.153109
451467,-1.1868824,0.047858164,9.94014
,-1.2921704,0.12203831,9.588383
,-1.2825987,0.105287954,9.6912775
,-1.1773108,-0.016750356,9.607526
451547,-1.0098072,0.28714898,9.576418
,-0.7633377,0.2656128,9.786994
,-0.48815325,0.27039862,10.0430355
,-0.27279153,0.38765112,10.086107
451626,-0.39243692,0.46901,9.863567
,-0.55036885,0.2943277,9.868353
,-0.6939433,0.09571633,9.868353
,-0.64129937,0.16750357,9.875532
451706,-0.6748001,0.22732627,9.880318
,-0.7609448,0.17707519,9.880318
,-0.86623275,-0.011964541,9.873138
,-0.89734054,-0.009571632,9.863567
451785,-0.72505116,0.055036888,10.0932865
,-0.6532639,0.24646953,9.906639
,-0.75376606,0.17707519,9.863567
,-0.8159817,0.09810923,9.856388
451864,-0.9212696,-0.105287954,9.813316
,-0.911698,-0.057429794,9.786994
,-0.8566611,0.11485959,9.794173
,-0.93084127,0.031107806,9.708028
