timestamp,x,y,z
177734,0.93802,-0.80162424,9.794173
,0.9093051,-0.9451987,9.803744
,0.80880296,-0.9093051,9.839638
,0.73701566,-0.8183746,9.66017
177813,0.80162424,-1.0002356,9.84921
,0.72744405,-0.8997334,9.6912775
,0.80162424,-1.0983448,9.916211
,0.6293348,-1.2419193,9.86596
177893,0.49533197,-1.4094229,9.746315
,0.40440148,-1.9980782,9.52856
,0.46901,-2.4096584,9.775029
,0.28236315,-3.0820656,9.727171
177972,0.33979294,-3.4242516,9.270126
,0.208183,-3.907619,9.069121
,0.047858164,-4.524989,9.358664
,-0.11485959,-4.400558,8.432608
178051,-0.12443122,-4.869568,8.408679
,-0.057429794,-5.3529353,8.437394
,-0.15314612,-5.798016,8.0617075
,-0.35893622,-5.7956233,7.5591965
178130,-0.6676214,-6.774323,7.3342633
,-0.38765112,-6.712107,7.236154
,-0.3828653,-7.3270845,6.4799953
,-0.72983694,-8.097601,6.195239
178209,-0.69872916,-7.748236,5.7645154
,-0.7418015,-8.044957,5.29072
,-0.6389065,-8.425429,5.075358
,-0.73701566,-8.992549,4.682921
178289,-0.80162424,-8.89444,3.8406174
,-0.677193,-8.987762,3.5821834
,-0.48336744,-9.289269,3.493646
,-0.53840435,-9.325163,3.515182
178369,-0.6939433,-9.210303,2.6609137
,-0.47140288,-9.428058,2.835596
,-0.57429796,-9.760673,2.266084
,-0.10050214,-9.349092,2.5604117
178448,-0.33022133,-9.944926,2.0172215
,-0.25604117,-9.760673,1.7540016
,-0.17707519,-9.837245,1.8951832
,-0.21536173,-9.877925,1.6726427
178527,-0.16750357,-9.6410265,1.6534995
,-0.30868515,-9.5405245,1.1916683
,-0.25604117,-9.6912775,1.0026284
,-0.069394335,-10.658012,0.43790218
178606,-0.208183,-9.786994,0.70112205
,-0.43790218,-9.803744,0.21775463
,-0.27997026,-9.80853,0.11485959
,-0.5886554,-9.416093,0.2943277
178686,-0.46422416,-9.920997,-0.035893623
,-0.13878867,-10.054999,-0.09093051
,-0.49054617,-9.971248,-0.4450809
,-0.37568656,-9.595561,-0.14118157
178765,-0.40679437,-9.39695,-0.107680865
,-0.24646953,-9.698457,-0.31825677
,0.035893623,-10.095679,-0.42115182
,-0.27518442,-10.086107,-1.1079165
178844,-0.39482984,-9.609919,-0.8805902
,-0.3254355,-9.779816,-1.2347406
,-0.24407662,-9.863567,-1.2275618
,-0.18186101,-9.810924,-1.3089207
178923,-0.30150643,-9.868353,-1.4644598
,-0.28236315,-9.662563,-1.2275618
,-0.42593765,-9.765458,-1.4237803
,-0.2967206,-9.767851,-1.251491
179003,-0.22493336,-9.712814,-1.0528796
,-0.17946811,-9.863567,-1.4764243
,-0.31825677,-9.777423,-1.5482116
