timestamp,x,y,z
181065,30.291023,-99.64283,-32.02501
,30.31928,-99.63688,-31.18303
,28.945175,-98.8939,-32.864532
,31.44285,-101.95374,-31.60126
181145,30.949213,-98.42048,-31.251993
,30.97879,-97.09411,-30.7367
,31.78804,-99.599365,-29.363802
,32.072002,-97.25787,-28.950638
181224,29.71379,-99.807785,-31.9102
,33.323193,-98.78731,-28.248835
,31.27973,-100.86895,-31.828426
,29.67576,-96.05638,-29.142159
181303,29.924007,-100.88267,-30.279732
,29.333075,-100.77072,-29.414814
,29.810057,-102.427795,-28.309893
,29.779911,-109.03483,-27.378109
181382,32.137234,-107.525475,-22.920763
,29.867188,-111.37697,-22.887367
,29.21578,-115.23817,-22.726349
,30.424988,-116.97744,-18.276443
181461,28.086905,-118.68376,-17.161396
,30.777279,-121.502045,-15.155659
,30.077564,-122.17357,-14.849452
,27.690283,-121.73076,-12.091434
181541,28.90377,-123.748924,-8.672296
,27.67642,-126.935455,-4.8831778
,26.73688,-128.33926,-2.882757
,27.40995,-131.07419,-0.56835926
181621,26.224236,-130.29155,3.3633387
,27.243813,-129.3517,7.588505
,25.133497,-132.96854,7.382051
,27.110565,-131.66145,11.665903
181700,29.320538,-131.98404,15.939677
,29.037437,-133.7658,17.868706
,27.22314,-132.39835,17.702702
,30.066006,-133.1038,21.203436
181779,27.2595,-133.71083,19.15203
,27.511784,-130.53665,22.096174
,25.976282,-127.58938,24.871885
,27.6235,-131.83327,25.790783
181859,28.047031,-130.58154,25.729464
,28.837553,-128.57076,27.762844
,27.767,-129.44258,28.176214
,28.294928,-131.6485,28.482573
181938,24.565222,-131.29538,27.028107
,26.549637,-127.346466,30.798912
,28.8889,-129.32054,31.975353
,27.16401,-131.97345,29.413845
182017,29.982113,-129.4843,33.761417
,29.003256,-127.97632,35.016586
,32.96883,-131.5584,35.756897
,31.95108,-126.85877,37.43792
182096,32.0431,-128.7191,38.229015
,31.580566,-131.2992,37.494377
,31.762205,-128.13988,38.33357
,30.246,-124.427986,39.001724
182175,31.678291,-127.59799,38.149822
,33.25069,-127.05788,39.216335
,31.071476,-129.08931,37.74934
,31.874056,-124.43572,39.410004
182255,31.789145,-129.45436,39.50224
,31.301855,-128.83981,39.61444
,28.972008,-126.86377,38.718662
,29.326187,-124.787285,40.06568
182334,29.405392,-125.33018,40.1091
,30.21257,-125.195595,40.688293
,29.477707,-127.75423,37.99668
,28.561745,-128.67229,36.858776
182414,30.333735,-126.00944,40.823586
,29.681574,-125.910385,39.864212
,29.92686,-129.13736,39.430717
,28.206785,-127.2693,38.231342
182493,29.515844,-126.98563,36.450443
,27.727196,-127.77226,33.93982
,29.484545,-129.43147,31.250765
,26.591944,-131.37675,27.000109
182573,29.261005,-131.35823,22.639748
,26.455847,-130.16403,16.42168
,29.824945,-133.71411,11.70441
,27.701096,-131.57248,5.7899113
182652,28.793152,-127.575066,1.4445122
,29.78014,-129.92067,-3.0432887
,32.131493,-128.77113,-6.0795403
,31.213915,-126.28867,-10.680029
182731,31.145477,-123.94258,-14.60945
,30.462988,-121.20964,-17.204508
,29.576603,-120.80133,-17.82712
,30.911848,-117.871864,-19.559742
182810,30.027672,-115.10259,-22.006824
,29.383718,-111.80197,-21.13705
,26.248795,-112.11955,-25.658293
,25.649868,-106.169174,-24.178923
182889,27.133108,-109.888016,-25.829388
,25.579222,-106.184044,-26.283875
,25.520176,-104.31677,-26.092659
,25.895292,-104.39536,-27.23059
182969,27.620964,-105.2219,-27.388668
,23.584312,-101.93455,-31.405027
,26.464993,-97.6313,-29.399828
,24.412971,-99.155174,-30.917887
183048,27.28248,-96.454185,-30.037758
,26.558784,-97.41055,-31.6043
,29.018892,-95.95831,-30.241863
,26.073704,-94.43504,-33.316566
183127,29.890717,-96.649475,-31.211336
,30.076204,-94.048935,-32.57401
,28.933794,-91.73604,-32.7171
,28.768036,-93.29207,-32.29089
183207,31.112011,-95.26514,-30.974123
,29.49897,-94.21389,-32.459194
,30.599422,-96.25584,-32.407978
,32.182564,-94.393326,-31.387493
183287,30.357527,-94.348274,-31.507467
,30.531387,-94.11067,-31.326328
,29.51738,-94.4898,-33.06897
,31.57575,-95.88464,-31.787973
183366,29.620565,-94.74786,-31.152807
,27.56647,-93.6319,-33.46457
,29.632944,-96.34518,-31.576225
,29.555487,-94.201996,-30.775234
183445,29.05571,-96.51013,-31.461414
,29.122536,-95.45571,-30.994576
,28.89598,-96.74476,-31.221563
,30.079136,-96.12903,-29.43811
183524,28.583437,-94.852066,-32.426006
,26.218416,-95.24393,-32.47962
,29.85861,-96.096664,-29.851456
,30.119022,-93.76014,-30.13994
