timestamp,x,y,z
193995,-19.6,-3.99,4.025
,-23.555,-2.8700001,5.915
,-40.845,1.015,7.98
,-66.78,-9.835,3.955
194074,-105.595,-13.3,5.355
,-158.62,-22.925,12.775
,-231.14,-69.615,3.605
,-187.495,-71.26,-4.69
194153,-140.98,-39.69,-4.76
,-164.57,-31.99,1.505
,-189.0,-8.015,4.69
,-209.685,0.175,3.43
194232,-224.80501,6.65,8.68
,-181.44,20.265,14.035
,-148.225,23.625,28.28
,-152.775,34.09,26.355
194311,-175.91,34.93,40.425
,-153.335,26.215,33.18
,-154.21,33.53,30.380001
,-161.35,38.57,24.465
194391,-132.685,34.51,2.73
,-120.33,22.085001,-0.84000003
,-116.865,-2.8700001,-9.94
,-120.995,6.755,-19.460001
194470,-106.68,9.345,-17.465
,-99.61,23.905,-24.185
,-84.56,17.92,-13.09
,-78.015,13.3,-6.58
194549,-77.07,4.795,-7.035
,-73.64,-5.7400002,-4.375
,-70.28,-7.21,0.805
,-72.66,4.165,7.7
194628,-66.08,16.625,5.005
,-60.97,32.515,-5.04
,-66.85,21.945,1.96
,-62.195,-4.025,4.27
194708,-59.43,11.2,-1.47
,-57.085,16.52,-1.54
,-45.325,6.7200003,-4.55
,-37.065,-0.805,-12.95
194788,-46.97,4.445,-15.33
,-41.79,-1.925,-24.15
,-32.97,-18.41,-25.585001
,-15.295,-12.95,-29.365
194867,-17.185,3.535,-16.905
,-17.185,6.475,-8.015
,-8.61,-5.355,-16.415
,-2.625,-15.26,-19.495
194946,-0.21000001,-14.0,-15.715
,-0.7,-11.34,-7.07
,-9.03,2.45,1.19
,-14.315001,11.4800005,0.7
195025,-12.495,16.1,0.315
,-7.14,12.495,1.54
,-5.18,8.96,3.92
,0.105000004,0.175,3.675
195105,7.98,-5.845,4.445
,12.005,-4.375,5.215
,16.205,-7.665,8.575
,26.18,-12.705,11.095
195184,44.03,-12.705,9.87
,68.39,-5.11,10.255
,102.655,-6.335,18.83
,124.18,-14.28,28.91
195263,124.355,-11.865,34.965
,120.82,-13.475,32.235
,105.735,-39.655,71.4
,174.965,-43.12,51.59
195342,242.62,-27.79,-19.95
,354.2,-31.08,-44.66
,404.6,13.65,-101.71
,348.67,37.8,-102.445
195422,270.165,40.215,-58.135002
,205.87,45.815,-15.365
,197.19,30.345,-3.395
,200.865,28.84,-17.955
195501,164.57,34.79,-6.86
,133.42,35.84,8.295
,118.685,57.68,8.995
,123.06,41.335,17.78
195581,118.475,17.815,15.225
,110.95,10.22,20.265
,101.605,7.35,17.115
,87.185,8.995,13.825
195660,85.68,2.555,5.705
,96.005,-10.535,9.905
,76.615,-14.0,11.27
,67.83,-12.53,9.415
195739,54.635002,-13.3,19.460001
,57.96,-14.805,9.1
,53.97,-11.445,9.205
,53.585,-22.225,6.16
195819,39.41,-24.815,8.12
,22.995,-10.115,13.16
,8.19,-6.93,12.3550005
,10.71,-9.03,11.4800005
195898,11.515,-19.88,9.52
,4.13,-9.1,8.8550005
,-7.21,-1.05,6.6150002
,-2.52,-8.54,4.8650002
195977,-1.89,-3.5,3.815
,-10.115,-6.965,-0.14
,-13.965,-5.11,-2.24
,-2.17,-8.085,-6.09
196056,-7.63,-1.33,2.1
,-12.11,-0.77,-1.295
,-0.315,-11.9,-8.995
,-7.245,-2.8700001,-0.455
