timestamp,x,y,z
342163,-1.89,0.56,0.42000002
,-2.275,-1.12,1.365
,-3.185,0.035,0.665
,-3.71,-0.525,0.525
342243,-2.415,2.905,0.21000001
,-1.925,1.12,0.42000002
,-2.555,-1.645,1.015
,-2.1,0.0,-0.07
342322,-1.995,-0.665,0.07
,-1.785,0.42000002,-0.105000004
,-2.1,1.505,0.0
,-2.415,-2.275,1.225
342401,-2.205,1.75,-0.315
,-2.205,3.5,-1.4
,-2.24,2.975,-0.805
,-2.17,-0.455,0.595
342481,-1.715,1.61,-0.315
,-2.31,0.56,0.14
,-0.665,9.1,-1.505
,-1.19,8.61,-0.245
342560,-0.84000003,9.345,-0.315
,0.105000004,12.215,-1.26
,0.84000003,22.12,-1.82
,3.22,31.92,-4.375
342639,1.365,60.025,-4.935
,-2.8700001,86.415,-7.035
,-0.42000002,96.74,-6.3
,-5.11,132.615,-2.17
342718,0.91,185.185,-11.55
,4.795,176.225,-6.265
,3.43,142.45,0.77
,-2.52,153.37,0.525
342798,-1.295,144.48,-6.7200003
,2.31,150.71,-11.4800005
,-1.505,165.025,-8.225
,-0.385,153.23,-10.325
342877,0.21000001,131.32,-5.355
,1.785,133.245,-5.7400002
,5.32,160.3,-9.31
,9.03,130.06,-6.09
342957,4.83,95.305,-1.785
,4.2,145.635,4.13
,9.59,126.105,4.41
,12.005,105.42,-0.875
343036,16.73,110.39,-1.645
,18.76,95.2,-0.875
,18.305,81.27,-5.285
,30.065,131.74,-15.925
343115,58.52,170.835,-20.37
,66.955,180.145,-19.075
,57.82,163.31,-16.59
,51.205,145.32,-14.945
343195,49.7,130.515,-17.57
,53.9,141.61,-15.26
,47.46,135.065,-8.365
,24.605,99.015,-7.14
343274,3.01,60.655,-11.375
,-5.18,43.47,-15.89
,-3.01,46.55,-17.43
,0.49,48.895,-13.58
343353,-7.525,38.395,-9.135
,-11.865,22.47,-9.66
,-13.545,7.665,-12.425
,-10.255,6.58,-13.440001
343432,-9.45,9.1,-9.52
,-9.52,-0.42000002,-1.925
,-14.875,-20.16,8.645
,-21.175,-28.525,11.4800005
343512,-9.555,-21.805,-0.875
,-9.94,-26.845,-5.285
,-15.575,-43.715,-3.08
,-19.04,-57.015,-0.21000001
343591,-24.395,-76.125,7.28
,-25.515,-100.205,6.79
,-26.11,-139.825,4.025
,-23.765,-177.275,-5.565
343670,-28.945,-195.58,-6.79
,-33.915,-248.605,-0.455
,-34.825,-285.145,5.88
,-21.56,-259.73502,-0.91
343750,-7.42,-226.45,-3.3600001
,-5.95,-207.655,2.8700001
,-10.115,-213.57,16.415
,-10.08,-221.445,28.84
343829,-11.375,-227.045,27.895
,-12.3550005,-195.86,18.13
,-5.11,-151.795,8.085
,-7.35,-166.18001,23.205
343909,-7.07,-169.715,39.06
,-3.115,-160.44,43.015
,-6.7200003,-158.445,42.63
,-6.93,-137.76,28.98
343988,-3.92,-114.205,18.62
,-3.535,-107.24,21.805
,-6.44,-133.385,34.58
,-5.985,-152.075,42.56
344067,-3.185,-126.35,31.36
,-7.14,-84.665,15.575
,-6.79,-59.57,5.32
,-8.26,-58.485,10.885
344146,-11.13,-57.89,20.02
,-15.015,-54.635002,21.595
,-13.055,-31.325,12.25
,-10.115,-18.025,4.9
344226,-5.95,-7.805,0.84000003
,-4.375,-10.36,3.78
,-5.46,-7.35,4.48
,-2.45,5.18,0.84000003
344305,1.505,12.565,-1.54
,2.275,11.515,-0.805
,2.695,5.845,-0.28
,0.665,5.7400002,-0.805
344384,-1.715,3.395,0.245
,-2.03,3.64,-1.085
,-1.89,9.625,-3.85
,-0.665,11.97,-5.53
344463,0.945,12.95,-7.805
,1.33,9.695,-8.47
,0.175,6.58,-6.79
,0.42000002,5.985,-4.095
344542,0.035,5.04,-2.17
,-0.07,9.8,-2.17
,-0.315,7.805,-2.03
,-2.415,4.165,-0.385
344622,-1.89,5.88,-1.33
,-2.45,-0.35,1.47
,-2.73,2.695,1.015
,0.105000004,4.8650002,-0.91
344702,0.0,4.41,-0.385
,-2.8700001,-0.875,0.77
,-2.975,5.215,-2.275
,-3.22,5.425,-2.66
