timestamp,x,y,z
350888,1.6152129,0.72983694,10.124394
,1.639142,0.51208234,9.851603
,1.4740313,0.49054617,9.7176
,1.1581675,0.58626246,9.830067
350968,1.0385221,0.39482984,9.535739
,1.5003533,0.5264398,9.863567
,0.8446966,0.98109233,10.110037
,1.0193789,0.83991075,10.1339655
351047,0.35893622,0.56711924,9.796566
,0.20339718,0.58626246,9.657777
,0.24646953,1.0361292,10.54076
,-0.49533197,0.5431901,9.743921
351126,-0.37568656,0.8542682,10.064571
,-1.5147108,0.598227,9.468738
,-2.5604117,0.7681235,9.684099
,-2.3737648,0.42833054,9.411307
351206,-2.4981961,0.66283554,10.205753
,-3.383572,0.66044265,9.45438
,-3.7664373,0.5144752,9.219875
,-4.2737336,0.0598227,8.071279
351286,-6.324456,0.3278284,8.176567
,-6.3148847,0.52165395,7.697985
,-6.164131,0.59583414,8.4541445
,-6.1784887,0.63651353,8.463716
351365,-6.7599654,0.023929082,6.949005
,-7.528089,0.48576033,6.4441013
,-7.961205,0.6652284,7.0399356
,-7.872668,0.45225963,6.1545596
351444,-7.985134,0.35415038,6.300527
,-8.200496,0.45943835,6.2359185
,-8.303391,0.39004403,5.9559484
,-8.588147,0.2943277,5.709479
351523,-8.174174,0.043072347,4.625491
,-8.585754,0.5814767,4.400558
,-8.736507,0.55036885,4.376629
,-9.183981,0.5144752,4.137338
351602,-9.224661,0.5264398,4.1229806
,-9.241411,0.57669085,3.2639267
,-9.270126,0.77530223,3.3428926
,-9.11698,0.4402951,3.2902486
351682,-8.925548,0.19861138,2.9002047
,-9.930569,0.78487384,2.2325833
,-10.33497,0.98109233,2.8260245
,-10.165073,1.0576653,1.8138243
351761,-9.542917,0.416366,2.1177237
,-9.440022,0.21536173,2.1990826
,-9.932961,0.33979294,1.9358627
,-10.066964,0.5623334,1.8425392
351840,-9.60274,0.22493336,1.849718
,-9.672134,0.0071787243,1.9310769
,-9.798959,0.13400285,1.9478272
,-9.6912775,0.15793194,1.7731448
351919,-9.743921,0.110073775,1.9550059
,-9.772636,0.18664683,1.9550059
,-9.815709,0.28236315,2.1775463
,-9.703242,0.0071787243,1.9932925
351999,-10.12918,0.4402951,2.4000869
,-9.719993,0.15553902,2.2565124
,-10.155502,0.4115802,2.443159
,-9.581204,0.21296883,2.3522286
352079,-9.011692,-0.1483603,2.759023
,-8.624041,-0.1459674,2.680057
,-9.126552,0.54797596,3.0054924
,-9.262947,0.8351249,2.7422726
352158,-8.269891,1.4644598,8.49961
,-7.157188,0.15314612,7.518517
,-5.7669086,-0.71787244,6.618784
,-6.6522846,0.6173703,7.10933
352237,-6.719286,1.9597918,8.6048975
,-5.0107493,1.0433079,8.640791
,-3.22564,0.5527618,9.384986
,-3.2974274,0.23211208,8.664721
352316,-3.017457,0.22254045,8.700614
,-2.6848428,1.770752,10.251218
,-3.9219763,1.4524952,9.337128
,-2.4814458,0.72505116,9.179195
352396,-1.2347406,0.6843717,10.122002
,-0.7872668,0.43311638,9.669742
,-0.60779864,0.8638398,9.949712
,-0.885376,1.2179902,10.404365
352475,-0.36611494,0.47618872,9.514202
,-0.2392908,0.5025107,9.7176
,0.21057591,0.8710185,10.447436
,0.033500712,1.0433079,10.555118
352554,0.31825677,0.8255533,10.066964
,-0.107680865,0.9164838,9.763065
,-0.27518442,0.9475916,9.614705
,0.98827106,0.6748001,9.870746
352633,0.9140909,0.73701566,9.971248
,1.2443122,0.6748001,9.758279
,1.5338541,0.78487384,10.086107
,1.5434257,0.66283554,10.066964
352713,1.7827165,0.34936458,9.918604
,1.6870002,0.55754757,10.2847185
,1.6271775,0.70112205,10.165073
,1.3663505,0.27279153,9.581204
352792,1.4931747,0.5144752,9.746315
,1.2203832,0.46661708,9.593168
,1.5841051,0.41875893,9.58599
,1.4596739,0.5336185,9.822887
352872,1.5553902,0.37807947,9.629062
,1.380708,0.63172776,9.7917795
,1.4118158,0.7896597,9.959284
,1.4907818,0.5336185,9.899461
352951,1.588891,0.3613291,9.798959
,1.3519931,0.35415038,9.638634
,1.4237803,0.46422416,9.609919
,1.354386,0.39243692,9.755886
353030,1.4022441,0.598227,9.961677
,1.0839874,0.75376606,10.011928
,1.1246668,0.72505116,9.978427
,1.3137065,0.5910483,9.918604
