timestamp,x,y,z
356203,55.46327,-89.35466,-31.07082
,57.136784,-86.432755,-28.881845
,55.657715,-87.512794,-29.48395
,56.011784,-89.956314,-29.358732
356283,56.383053,-89.47615,-28.294802
,55.215343,-88.7685,-29.983953
,54.695515,-87.88102,-29.682964
,51.73146,-86.84249,-29.479012
356362,51.374325,-87.31969,-30.121954
,49.107346,-88.250465,-29.570833
,46.282433,-88.58157,-31.012463
,43.597088,-90.00243,-32.928574
356441,42.7578,-89.584206,-32.147884
,40.14913,-89.668785,-32.145405
,40.08492,-88.56317,-29.42564
,34.991276,-91.425354,-31.160559
356520,34.4641,-93.179695,-30.346525
,26.883951,-91.37975,-32.21965
,23.413769,-89.73065,-32.464817
,24.181923,-91.40521,-28.841602
356600,21.523197,-89.900406,-29.538342
,17.890215,-91.40664,-30.06138
,19.632196,-90.35004,-27.782963
,18.94793,-89.69817,-27.382454
356679,17.182371,-91.24053,-26.522547
,13.867637,-89.07793,-25.976797
,13.065139,-89.692314,-22.575686
,7.644046,-87.18531,-23.21645
356758,7.3456063,-85.77043,-20.159924
,5.273856,-88.33883,-20.74152
,5.3119645,-88.051025,-18.447783
,3.5686634,-90.42804,-20.399515
356837,2.5868435,-87.32077,-18.440264
,3.7626522,-89.346855,-16.143764
,2.0026927,-89.84767,-16.641312
,5.0035367,-91.91881,-14.224839
356916,2.5649083,-90.72623,-15.679329
,3.498391,-91.124626,-13.653418
,4.2387447,-92.044464,-13.5410595
,0.519776,-90.36895,-15.0415535
356996,-0.5948057,-88.32998,-15.513761
,0.4547002,-89.82309,-14.663982
,1.6399558,-91.366394,-15.926801
,-1.4722017,-88.19956,-17.02681
357076,-0.829892,-88.58047,-17.519192
,1.6793841,-89.75817,-13.95975
,-0.32201308,-87.59077,-16.225664
,0.46029824,-88.781555,-16.021435
357155,1.7033908,-88.992546,-15.92698
,4.5218463,-90.262726,-15.470089
,4.052964,-89.92409,-15.967663
,4.792136,-87.16354,-18.146793
357234,3.90489,-87.31498,-21.111597
,6.812429,-88.365395,-22.99951
,9.2986145,-88.787384,-22.810598
,14.384935,-88.086235,-24.40261
357314,15.1227865,-86.6461,-26.255056
,18.352314,-89.10643,-30.49784
,26.541914,-86.774216,-28.87761
,29.79585,-88.66984,-30.076551
357393,33.193317,-87.69398,-32.73004
,36.83529,-86.46563,-33.09744
,39.192642,-84.47547,-32.480072
,42.384003,-88.1852,-31.336641
357472,44.15602,-85.041565,-31.21181
,46.625896,-87.34669,-33.459393
,49.567696,-87.550545,-30.851704
,48.40645,-85.24161,-31.556116
357551,52.37552,-85.623116,-29.126987
,52.34255,-85.63006,-30.109297
,55.192226,-88.49358,-29.514507
,54.521656,-88.11862,-29.864105
357630,55.92491,-87.8151,-28.838402
,58.940342,-89.122604,-28.669819
,58.881298,-87.25532,-28.478601
,60.172806,-86.13599,-27.307533
357710,61.2921,-88.17397,-26.694996
,61.471874,-91.134964,-27.922014
,62.68768,-86.27216,-25.105545
,62.52445,-89.707375,-26.554512
357790,62.77587,-87.09294,-25.952562
,65.57339,-86.208046,-23.01072
,64.75636,-86.62448,-25.04167
,63.341934,-88.53026,-27.192444
357869,64.73192,-87.66998,-24.245537
,65.10133,-93.31011,-25.247818
,66.39933,-90.108696,-26.931986
,64.551605,-89.508865,-25.411417
357948,66.70934,-90.12222,-23.85237
,65.05388,-89.5607,-22.760437
,65.19434,-89.60991,-24.732704
,67.63254,-91.082344,-24.449308
358028,66.80103,-87.742424,-23.010569
,68.02397,-89.277794,-23.150745
,66.73071,-91.99742,-25.166224
,64.650536,-89.00725,-26.304462
