timestamp,x,y,z
560533,-1.4350001,-0.665,0.945
,-1.085,-0.77,1.33
,0.735,-0.77,2.8700001
,-0.07,-0.7,1.89
560613,-1.855,-0.665,1.82
,-1.995,-0.84000003,2.1
,-1.785,-0.63,1.89
,-1.75,-0.595,1.47
560692,-1.54,-0.77,0.735
,-2.065,-0.665,0.42000002
,-2.065,-0.56,-0.035
,-1.925,-0.49,-0.315
560771,-1.855,-0.49,-0.49
,-2.065,-0.595,-0.49
,-2.555,-0.665,0.07
,-3.08,-0.63,-0.49
560850,-4.025,-0.665,-2.8
,-1.715,-14.91,-1.54
,0.805,2.8700001,-1.365
,-57.645,23.835001,-31.78
560929,-45.115,31.36,-16.765
,-42.665,24.045,-12.775
,-32.795002,14.77,-8.96
,11.97,3.78,1.155
561009,29.68,3.535,-4.725
,14.875,15.505,-17.535
,19.845,13.09,-9.17
,22.015,14.21,-1.855
561088,20.37,15.12,1.505
,15.155,16.52,-0.21000001
,20.93,10.395,7.035
,21.28,13.265,14.21
561167,16.66,13.055,15.82
,30.415,-4.34,23.345
,34.58,-6.51,19.355
,24.395,6.685,13.545
561247,11.025,17.57,8.575
,16.94,18.585001,9.1
,35.945,11.655,12.39
,43.295002,10.535,12.3550005
561327,42.28,15.4,10.43
,36.505,19.355,5.53
,40.11,19.145,5.775
,44.205,14.945,6.195
561406,43.05,12.04,4.445
,34.055,13.755,-1.4
,36.365,11.62,4.06
,35.245,8.085,1.6800001
561485,46.83,-0.07,3.78
,55.65,-9.52,3.78
,48.23,-11.2,3.3600001
,22.12,1.61,2.94
561564,0.21000001,12.495,1.645
,-1.33,10.745,-0.63
,13.2300005,2.765,0.14
,20.895,-1.855,0.35
561643,8.19,3.395,1.365
,-6.79,7.875,0.42000002
,-6.125,3.71,-0.175
,2.135,-1.82,-1.4350001
561723,9.065,-4.375,-0.7
,0.7,1.015,-2.66
,-6.37,1.365,-0.07
,-6.545,-1.505,5.005
561802,1.295,-5.075,8.4
,8.995,-4.515,9.345
,1.05,1.4,3.15
,-3.01,5.355,0.525
